P31946	9606.ENSP00000361930
A2RUQ5	9606.ENSP00000350392
Q96MF6	9606.ENSP00000312587
Q9H8M1	9606.ENSP00000263960
Q32NC0	9606.ENSP00000465517
Q96B23	9606.ENSP00000481626
Q68DL7	9606.ENSP00000464330
Q2VPA4	9606.ENSP00000421736
P17927	9606.ENSP00000356016
P20023	9606.ENSP00000356024
Q96BA8	9606.ENSP00000481956
Q70SY1	9606.ENSP00000329140
Q68CJ9	9606.ENSP00000078445
Q8TEY5	9606.ENSP00000357596
Q9NQ79	9606.ENSP00000359629
Q6ZU35	9606.ENSP00000423366
P78560	9606.ENSP00000439068
P05813	9606.ENSP00000225387
P53672	9606.ENSP00000295728
P53673	9606.ENSP00000346805
P53674	9606.ENSP00000215939
P43320	9606.ENSP00000381273
P26998	9606.ENSP00000215855
Q9Y4K1	9606.ENSP00000358062
Q8N1P7	9606.ENSP00000310435
Q68DQ2	9606.ENSP00000374273
O60519	9606.ENSP00000228865
Q96SW2	9606.ENSP00000231948
H7BZ55	9606.ENSP00000397968
Q96D31	9606.ENSP00000480616
P23508	9606.ENSP00000386227
Q9UGL9	9606.ENSP00000357779
Q9BU40	9606.ENSP00000361112
P16220	9606.ENSP00000387699
O43889	9606.ENSP00000342136
Q02930	9606.ENSP00000350359
O75629	9606.ENSP00000359540
Q8IUH2	9606.ENSP00000315203
Q8IUR6	9606.ENSP00000296953
O75177	9606.ENSP00000333012
Q494W8	9606.ENSP00000299847
P34998	9606.ENSP00000381333
Q13324	9606.ENSP00000340943
P06850	9606.ENSP00000276571
P11844	9606.ENSP00000302105
P07316	9606.ENSP00000260988
P07315	9606.ENSP00000282141
P07320	9606.ENSP00000264376
Q8WXF5	9606.ENSP00000338613
P24387	9606.ENSP00000274368
Q9NZV1	9606.ENSP00000280527
P50238	9606.ENSP00000332449
P52943	9606.ENSP00000426119
Q6Q6R5	9606.ENSP00000361650
Q9P021	9606.ENSP00000238892
P54107	9606.ENSP00000338276
P16562	9606.ENSP00000339155
P54108	9606.ENSP00000389026
P46109	9606.ENSP00000346300
P46108	9606.ENSP00000300574
Q9H336	9606.ENSP00000262207
Q9H0B8	9606.ENSP00000262424
O75462	9606.ENSP00000376188
Q9HC73	9606.ENSP00000383641
Q8IUI8	9606.ENSP00000318804
Q9UJA2	9606.ENSP00000368140
Q96RY5	9606.ENSP00000380559
Q9BZJ0	9606.ENSP00000366557
Q9UBG3	9606.ENSP00000271835
A5YM72	9606.ENSP00000389009
Q5TZA2	9606.ENSP00000364691
Q8N1N5	9606.ENSP00000323978
P02741	9606.ENSP00000255030
Q9H3Y0	9606.ENSP00000217043
O95727	9606.ENSP00000227348
O75718	9606.ENSP00000323696
Q6UUV9	9606.ENSP00000345001
Q53ET0	9606.ENSP00000357622
Q6UUV7	9606.ENSP00000268184
A8MQ03	9606.ENSP00000386453
P82279	9606.ENSP00000356370
Q5IJ48	9606.ENSP00000362734
Q9BUF7	9606.ENSP00000349204
O43186	9606.ENSP00000221996
Q16526	9606.ENSP00000008527
Q49AN0	9606.ENSP00000478187
P02489	9606.ENSP00000482816
P02511	9606.ENSP00000433560
P22914	9606.ENSP00000376287
Q9Y2S2	9606.ENSP00000298248
Q14894	9606.ENSP00000219599
Q9NSK7	9606.ENSP00000376103
Q8NEA5	9606.ENSP00000321519
Q9UFG5	9606.ENSP00000397394
Q9H6X5	9606.ENSP00000221671
Q8N9M1	9606.ENSP00000463159
Q6RUI8	9606.ENSP00000471463
Q5BKX5	9606.ENSP00000367564
Q0VDD7	9606.ENSP00000254336
A6NJJ6	9606.ENSP00000449137
A6NCJ1	9606.ENSP00000327950
C9J6K1	9606.ENSP00000417035
Q9Y600	9606.ENSP00000267085
Q6PB30	9606.ENSP00000359310
Q5T4H9	9606.ENSP00000366317
Q9P1W3	9606.ENSP00000298351
O94886	9606.ENSP00000355800
Q5T3F8	9606.ENSP00000259746
Q9Y534	9606.ENSP00000302485
O75534	9606.ENSP00000481762
Q9Y2W7	9606.ENSP00000295225
P07333	9606.ENSP00000286301
P09603	9606.ENSP00000327513
P15509	9606.ENSP00000394227
P04141	9606.ENSP00000296871
Q99062	9606.ENSP00000362195
P09919	9606.ENSP00000225474
P0DML2	9606.ENSP00000316416
P0DML3	9606.ENSP00000376623
Q14406	9606.ENSP00000309524
P68400	9606.ENSP00000217244
P19784	9606.ENSP00000262506
Q8NEV1	9606.ENSP00000473553
P67870	9606.ENSP00000365042
Q8WXD9	9606.ENSP00000345436
Q8WXE0	9606.ENSP00000325355
A8MUP2	9606.ENSP00000431287
O14936	9606.ENSP00000367408
P41240	9606.ENSP00000220003
Q96PZ7	9606.ENSP00000430733
Q7Z407	9606.ENSP00000297405
Q4G0I0	9606.ENSP00000413100
Q13098	9606.ENSP00000376167
P61201	9606.ENSP00000299259
Q9UNS2	9606.ENSP00000268717
Q9BT78	9606.ENSP00000264389
Q92905	9606.ENSP00000350512
Q7L5N1	9606.ENSP00000304102
Q9UBW8	9606.ENSP00000438115
Q9H9Q2	9606.ENSP00000362710
Q99627	9606.ENSP00000346340
P13611	9606.ENSP00000265077
Q6UVK1	9606.ENSP00000312506
O95196	9606.ENSP00000373244
Q1MSJ5	9606.ENSP00000262210
Q9H8E8	9606.ENSP00000392318
Q96S65	9606.ENSP00000273153
Q9H175	9606.ENSP00000228515
Q8WYN3	9606.ENSP00000318258
P21291	9606.ENSP00000356275
Q16527	9606.ENSP00000310901
P50461	9606.ENSP00000431813
Q9H112	9606.ENSP00000366208
O60676	9606.ENSP00000246012
Q9H4G1	9606.ENSP00000366178
Q5W186	9606.ENSP00000366170
Q05048	9606.ENSP00000217109
P33240	9606.ENSP00000362063
Q12996	9606.ENSP00000315791
Q9H0L4	9606.ENSP00000332444
Q9H114	9606.ENSP00000344907
O94985	9606.ENSP00000366513
Q9H4D0	9606.ENSP00000402460
Q9BQT9	9606.ENSP00000266546
Q96C57	9606.ENSP00000437803
Q9GZN8	9606.ENSP00000217195
Q9H1P6	9606.ENSP00000360210
Q9NUD7	9606.ENSP00000353470
Q9BQM9	9606.ENSP00000364370
Q5TEA3	9606.ENSP00000252032
Q8N268	9606.ENSP00000316457
A1L168	9606.ENSP00000383474
Q9P2B4	9606.ENSP00000271277
Q5HYN5	9606.ENSP00000470185
Q5DJT8	9606.ENSP00000483637
Q8NHU0	9606.ENSP00000471418
P0DMU8	9606.ENSP00000482241
P0DMU9	9606.ENSP00000484601
Q5JQC4	9606.ENSP00000414509
P0C2W7	9606.ENSP00000360360
Q8WUE5	9606.ENSP00000276241
P0C5K7	9606.ENSP00000399356
O75638	9606.ENSP00000247306
Q8WYA6	9606.ENSP00000355050
Q13363	9606.ENSP00000290921
P56545	9606.ENSP00000311825
Q2NKJ3	9606.ENSP00000313759
Q8NI51	9606.ENSP00000415579
P49711	9606.ENSP00000264010
Q9Y5B0	9606.ENSP00000484525
Q9GZU7	9606.ENSP00000273062
O14595	9606.ENSP00000381148
O15194	9606.ENSP00000273179
Q8WVB6	9606.ENSP00000262315
Q16619	9606.ENSP00000279804
P0CG13	9606.ENSP00000408367
P78358	9606.ENSP00000469441
Q96RT6	9606.ENSP00000375220
Q86UF2	9606.ENSP00000474388
A4D2H0	9606.ENSP00000474204
Q96CG8	9606.ENSP00000330523
O43310	9606.ENSP00000372459
Q99708	9606.ENSP00000382628
Q8WWI5	9606.ENSP00000363852
Q8IWA5	9606.ENSP00000336888
Q8N4M1	9606.ENSP00000271227
Q53GD3	9606.ENSP00000229729
Q8NCS7	9606.ENSP00000359892
P16410	9606.ENSP00000303939
P35221	9606.ENSP00000304669
P26232	9606.ENSP00000384638
Q9UI47	9606.ENSP00000389714
P35222	9606.ENSP00000344456
O60716	9606.ENSP00000382004
Q9UQB3	9606.ENSP00000307134
Q9UBT7	9606.ENSP00000320434
O60931	9606.ENSP00000371294
P52569	9606.ENSP00000004531
Q8WY07	9606.ENSP00000363417
O43246	9606.ENSP00000372390
Q6PD62	9606.ENSP00000355013
P17538	9606.ENSP00000354294
Q6GPI1	9606.ENSP00000303963
Q99895	9606.ENSP00000365116
P40313	9606.ENSP00000458537
O14578	9606.ENSP00000376306
Q05D32	9606.ENSP00000260327
Q8NEC5	9606.ENSP00000309052
Q96P56	9606.ENSP00000371180
Q86XQ3	9606.ENSP00000282611
Q7RTX7	9606.ENSP00000390423
Q9H7T0	9606.ENSP00000256343
Q86XM0	9606.ENSP00000371037
Q5SY80	9606.ENSP00000355492
Q6ZRH7	9606.ENSP00000386962
Q9NTU4	9606.ENSP00000443917
Q8WZ74	9606.ENSP00000160373
Q7Z7A3	9606.ENSP00000390011
Q2VPK5	9606.ENSP00000388320
P60606	9606.ENSP00000313226
P0C2S0	9606.ENSP00000406145
Q4LDR2	9606.ENSP00000368758
P58505	9606.ENSP00000291691
Q9NYP8	9606.ENSP00000444950
O60494	9606.ENSP00000367064
Q9NWM3	9606.ENSP00000462717
Q9H467	9606.ENSP00000358953
Q13616	9606.ENSP00000326804
Q13617	9606.ENSP00000444856
Q13618	9606.ENSP00000264414
Q13619	9606.ENSP00000364589
Q13620	9606.ENSP00000384109
Q93034	9606.ENSP00000376808
Q14999	9606.ENSP00000438788
Q8IWT3	9606.ENSP00000252050
O60888	9606.ENSP00000363624
Q9NTM9	9606.ENSP00000359507
P39880	9606.ENSP00000353401
O14529	9606.ENSP00000261726
Q86UP6	9606.ENSP00000357900
Q8WYQ4	9606.ENSP00000384965
Q9Y442	9606.ENSP00000248984
Q6P5X5	9606.ENSP00000382474
Q6IC83	9606.ENSP00000371529
Q9P013	9606.ENSP00000475615
Q9HCG8	9606.ENSP00000387006
Q9NXE8	9606.ENSP00000478070
Q6UX04	9606.ENSP00000370460
Q9HAI6	9606.ENSP00000368245
Q8TB03	9606.ENSP00000330488
A8MYA2	9606.ENSP00000482270
Q8TE69	9606.ENSP00000423099
Q96DE9	9606.ENSP00000359434
Q9H5V9	9606.ENSP00000441786
Q96LI9	9606.ENSP00000368511
A6NEN9	9606.ENSP00000363369
Q5JRM2	9606.ENSP00000359571
P49238	9606.ENSP00000351059
P12074	9606.ENSP00000229379
Q02221	9606.ENSP00000287490
P14854	9606.ENSP00000246554
Q6YFQ2	9606.ENSP00000467266
P24310	9606.ENSP00000292907
P14406	9606.ENSP00000359098
Q8TF08	9606.ENSP00000379784
Q969M2	9606.ENSP00000358358
P17302	9606.ENSP00000282561
Q9Y6H8	9606.ENSP00000241125
P35212	9606.ENSP00000343676
P36382	9606.ENSP00000484552
P48165	9606.ENSP00000358238
P57773	9606.ENSP00000354020
P78310	9606.ENSP00000284878
P08034	9606.ENSP00000363134
P29033	9606.ENSP00000372295
O75712	9606.ENSP00000362464
Q9NTQ9	9606.ENSP00000345868
O95377	9606.ENSP00000340811
O95452	9606.ENSP00000348521
Q6PEY0	9606.ENSP00000435355
P19875	9606.ENSP00000427279
P19876	9606.ENSP00000296026
P42830	9606.ENSP00000296027
P80162	9606.ENSP00000226317
P02775	9606.ENSP00000296028
Q07325	9606.ENSP00000354901
P25024	9606.ENSP00000295683
P25025	9606.ENSP00000319635
P49682	9606.ENSP00000362795
P61073	9606.ENSP00000386884
P32302	9606.ENSP00000292174
O00574	9606.ENSP00000395704
Q9UKL4	9606.ENSP00000290374
Q8N144	9606.ENSP00000463752
Q96KN9	9606.ENSP00000315070
A6NN92	9606.ENSP00000455469
P36383	9606.ENSP00000411528
Q5T442	9606.ENSP00000355675
Q8NFK1	9606.ENSP00000325775
P02778	9606.ENSP00000305651
O14625	9606.ENSP00000306884
O43927	9606.ENSP00000286758
O95715	9606.ENSP00000337065
Q9H2A7	9606.ENSP00000293778
Q6UXB2	9606.ENSP00000472467
Q9P0U4	9606.ENSP00000390475
Q9H2H0	9606.ENSP00000378248
Q7LFL8	9606.ENSP00000302543
P08574	9606.ENSP00000317159
P13498	9606.ENSP00000261623
P04839	9606.ENSP00000367851
P49447	9606.ENSP00000376702
Q8NBI2	9606.ENSP00000389745
O43169	9606.ENSP00000308430
P00167	9606.ENSP00000341625
Q9BQA9	9606.ENSP00000388909
Q9HB71	9606.ENSP00000356652
Q53TN4	9606.ENSP00000319141
P00156	9606.ENSP00000354554
P99999	9606.ENSP00000307786
Q7L576	9606.ENSP00000481038
Q96F07	9606.ENSP00000444645
Q8WWM9	9606.ENSP00000293230
Q15438	9606.ENSP00000354398
Q99418	9606.ENSP00000408236
O43739	9606.ENSP00000297044
Q9UIA0	9606.ENSP00000248901
Q6ZMK1	9606.ENSP00000387426
P35663	9606.ENSP00000331556
Q14093	9606.ENSP00000420256
Q9NQC7	9606.ENSP00000392025
Q9BWK5	9606.ENSP00000376823
Q717R9	9606.ENSP00000371234
P01040	9606.ENSP00000264474
P04080	9606.ENSP00000291568
P01034	9606.ENSP00000381448
P28325	9606.ENSP00000307132
O76096	9606.ENSP00000420384
O60759	9606.ENSP00000264192
Q9NRR1	9606.ENSP00000303550
Q9H1C7	9606.ENSP00000261811
Q15828	9606.ENSP00000311313
P01037	9606.ENSP00000305731
Q69YQ0	9606.ENSP00000325785
Q5M775	9606.ENSP00000261503
P01036	9606.ENSP00000217423
P09228	9606.ENSP00000307540
Q96J86	9606.ENSP00000299340
Q9NWV4	9606.ENSP00000294360
P81534	9606.ENSP00000324633
Q8WTQ1	9606.ENSP00000322191
Q8NG35	9606.ENSP00000335281
Q8N104	9606.ENSP00000335307
Q8IZN7	9606.ENSP00000347810
Q8NET1	9606.ENSP00000333234
P0CZ25	9606.ENSP00000422769
P0DP74	9606.ENSP00000392568
P59861	9606.ENSP00000335538
Q2PZI1	9606.ENSP00000308695
Q6NUT2	9606.ENSP00000315988
Q6ZPD9	9606.ENSP00000344937
Q7Z388	9606.ENSP00000389630
Q8N465	9606.ENSP00000315351
Q9NRG7	9606.ENSP00000382327
Q8WUS8	9606.ENSP00000332407
A6NKP2	9606.ENSP00000473474
Q8NEP3	9606.ENSP00000367815
Q8N9W5	9606.ENSP00000436975
Q8WXU2	9606.ENSP00000323275
Q86Y56	9606.ENSP00000297440
Q9Y4D1	9606.ENSP00000378557
Q86T65	9606.ENSP00000381876
O75553	9606.ENSP00000360280
Q5VWQ8	9606.ENSP00000259371
P98082	9606.ENSP00000313391
Q9UI36	9606.ENSP00000482245
Q96NX9	9606.ENSP00000362217
Q9NYF0	9606.ENSP00000337439
Q5SW24	9606.ENSP00000355760
Q96B18	9606.ENSP00000375783
P61803	9606.ENSP00000250498
P08174	9606.ENSP00000356030
Q14118	9606.ENSP00000442600
Q5D0E6	9606.ENSP00000344989
Q8N907	9606.ENSP00000323155
P59103	9606.ENSP00000483757
P51397	9606.ENSP00000230895
P53355	9606.ENSP00000386135
Q9UIK4	9606.ENSP00000261891
O43293	9606.ENSP00000442973
A0PJW8	9606.ENSP00000309538
Q9P219	9606.ENSP00000374507
Q9UN19	9606.ENSP00000423602
Q8N136	9606.ENSP00000311899
Q9UER7	9606.ENSP00000363668
Q92904	9606.ENSP00000250863
Q96EP5	9606.ENSP00000233078
Q15038	9606.ENSP00000448051
Q30KQ9	9606.ENSP00000360190
Q30KQ8	9606.ENSP00000319126
Q30KQ7	9606.ENSP00000381703
Q30KQ6	9606.ENSP00000312702
Q30KQ5	9606.ENSP00000383398
Q30KQ4	9606.ENSP00000383396
Q96PH6	9606.ENSP00000253381
Q5J5C9	9606.ENSP00000417128
Q8N688	9606.ENSP00000365486
Q8NES8	9606.ENSP00000326309
Q8N687	9606.ENSP00000371847
Q9BYW3	9606.ENSP00000371835
Q9H1M4	9606.ENSP00000371825
Q7Z7B8	9606.ENSP00000335382
Q9H1M3	9606.ENSP00000246105
Q7Z7B7	9606.ENSP00000371813
Q30KQ1	9606.ENSP00000485031
Q4QY38	9606.ENSP00000435010
Q30KP9	9606.ENSP00000371643
Q30KP8	9606.ENSP00000371644
Q9UBU7	9606.ENSP00000265728
Q8NFT6	9606.ENSP00000323663
Q9NR28	9606.ENSP00000398495
Q9H9R9	9606.ENSP00000457625
Q9BQY9	9606.ENSP00000361795
Q9UJU6	9606.ENSP00000417653
Q10586	9606.ENSP00000222122
Q9UK59	9606.ENSP00000260803
A6NMT0	9606.ENSP00000436881
Q6ZNG2	9606.ENSP00000331470
Q5VU92	9606.ENSP00000360167
Q5VW00	9606.ENSP00000353128
O14576	9606.ENSP00000320130
Q13409	9606.ENSP00000380308
Q9Y6G9	9606.ENSP00000273130
O43237	9606.ENSP00000258198
Q8TCX1	9606.ENSP00000474032
Q3SXM0	9606.ENSP00000327796
Q8NA75	9606.ENSP00000316496
A6NGE4	9606.ENSP00000405222
P0C7V8	9606.ENSP00000462745
Q5QP82	9606.ENSP00000366953
Q8TEB1	9606.ENSP00000415556
Q5T6F0	9606.ENSP00000355114
Q9NV06	9606.ENSP00000297579
Q66K64	9606.ENSP00000254337
Q9NXF7	9606.ENSP00000371682
Q5H9S7	9606.ENSP00000364404
Q9Y4B6	9606.ENSP00000393183
Q8WV16	9606.ENSP00000351147
Q96JK2	9606.ENSP00000341351
Q58WW2	9606.ENSP00000356814
P61962	9606.ENSP00000483236
Q5TAQ9	9606.ENSP00000451235
Q8WVC6	9606.ENSP00000308515
P17707	9606.ENSP00000357880
Q8N8Z6	9606.ENSP00000296955
Q96PD2	9606.ENSP00000321573
Q9BVC3	9606.ENSP00000322180
P43146	9606.ENSP00000389140
A2VCK2	9606.ENSP00000386870
A8MYV0	9606.ENSP00000382097
M0R2J8	9606.ENSP00000385936
Q9UHG0	9606.ENSP00000367715
P81605	9606.ENSP00000406773
Q99259	9606.ENSP00000350928
Q05329	9606.ENSP00000365437
P19113	9606.ENSP00000267845
P27707	9606.ENSP00000286648
O15075	9606.ENSP00000255448
Q8N568	9606.ENSP00000303887
Q9C098	9606.ENSP00000394484
O95822	9606.ENSP00000262430
Q96GG9	9606.ENSP00000292782
Q6PH85	9606.ENSP00000417706
Q8IWE4	9606.ENSP00000319482
Q92564	9606.ENSP00000389900
Q9BTE7	9606.ENSP00000260247
Q8TF63	9606.ENSP00000421871
P11926	9606.ENSP00000234111
Q9NPI6	9606.ENSP00000476046
Q8IZD4	9606.ENSP00000280665
Q8IU60	9606.ENSP00000373715
Q96C86	9606.ENSP00000263579
Q6PJP8	9606.ENSP00000355185
Q9H816	9606.ENSP00000358576
Q96SD1	9606.ENSP00000367527
Q5T197	9606.ENSP00000295542
Q5T1A1	9606.ENSP00000357409
Q9H295	9606.ENSP00000297581
P32321	9606.ENSP00000349576
Q14203	9606.ENSP00000354791
Q13561	9606.ENSP00000408910
O75935	9606.ENSP00000259632
Q9UJW0	9606.ENSP00000414906
Q9BTE1	9606.ENSP00000300087
O00399	9606.ENSP00000221114
Q9H773	9606.ENSP00000322524
P06132	9606.ENSP00000246337
Q7Z4W1	9606.ENSP00000303356
O43602	9606.ENSP00000337697
Q9NUU7	9606.ENSP00000306117
Q9UMR2	9606.ENSP00000288071
Q9BW61	9606.ENSP00000352928
O94760	9606.ENSP00000284031
O95865	9606.ENSP00000364945
Q16531	9606.ENSP00000301764
Q92466	9606.ENSP00000256996
P20711	9606.ENSP00000403644
Q8NEL9	9606.ENSP00000327104
O94830	9606.ENSP00000380352
Q8WTU0	9606.ENSP00000302805
Q5TDH0	9606.ENSP00000417748
Q8IXT1	9606.ENSP00000435421
P35638	9606.ENSP00000448665
Q9NX09	9606.ENSP00000307305
Q08345	9606.ENSP00000427552
Q16832	9606.ENSP00000356899
Q96HY6	9606.ENSP00000346483
Q96D03	9606.ENSP00000354830
A6NHG4	9606.ENSP00000215770
Q13206	9606.ENSP00000314348
Q96FC9	9606.ENSP00000440402
Q92841	9606.ENSP00000380033
Q9NVP1	9606.ENSP00000263239
Q92499	9606.ENSP00000370745
Q9UHI6	9606.ENSP00000358716
Q9NR30	9606.ENSP00000346120
Q9BUQ8	9606.ENSP00000310723
Q9GZR7	9606.ENSP00000481495
Q9UHL0	9606.ENSP00000263576
Q96GQ7	9606.ENSP00000483495
Q9NUL7	9606.ENSP00000332340
Q9H8H2	9606.ENSP00000361232
O00571	9606.ENSP00000382840
Q9UJV9	9606.ENSP00000422753
Q86XP3	9606.ENSP00000464050
Q9NXZ2	9606.ENSP00000359361
Q7L014	9606.ENSP00000416534
Q9H0S4	9606.ENSP00000350698
Q9Y6V7	9606.ENSP00000247003
Q9NQI0	9606.ENSP00000424838
Q9BQ39	9606.ENSP00000362687
Q8N8A6	9606.ENSP00000380495
Q9Y2R4	9606.ENSP00000479504
Q86TM3	9606.ENSP00000368667
Q8TDD1	9606.ENSP00000323858
Q8NHQ9	9606.ENSP00000238146
Q9NY93	9606.ENSP00000258772
O95786	9606.ENSP00000369213
Q5T1V6	9606.ENSP00000330460
P17844	9606.ENSP00000225792
Q8IY21	9606.ENSP00000377344
Q5H9U9	9606.ENSP00000260184
P26196	9606.ENSP00000478754
O75398	9606.ENSP00000371846
Q9P2X7	9606.ENSP00000363128
Q9NUI1	9606.ENSP00000219481
Q16698	9606.ENSP00000220764
Q8WXF8	9606.ENSP00000470082
O75618	9606.ENSP00000356985
P59665	9606.ENSP00000372139
P59666	9606.ENSP00000328359
P12838	9606.ENSP00000297435
Q01523	9606.ENSP00000329890
Q01524	9606.ENSP00000297436
P60022	9606.ENSP00000297439
Q9H4E7	9606.ENSP00000319831
Q6ZN54	9606.ENSP00000268676
Q9HBH1	9606.ENSP00000288022
O15121	9606.ENSP00000316476
Q6QHC5	9606.ENSP00000307126
P35659	9606.ENSP00000380414
Q14154	9606.ENSP00000396225
Q08495	9606.ENSP00000427866
Q8TCE6	9606.ENSP00000354688
A4D1U4	9606.ENSP00000445768
Q8TEH3	9606.ENSP00000362727
Q6P3S1	9606.ENSP00000479816
Q8IV53	9606.ENSP00000370889
Q9ULE3	9606.ENSP00000275884
P78524	9606.ENSP00000433528
Q68D51	9606.ENSP00000376955
Q9H6A0	9606.ENSP00000350266
O75064	9606.ENSP00000354597
Q5VZ89	9606.ENSP00000473565
Q6IQ26	9606.ENSP00000328524
Q6ZUT9	9606.ENSP00000373734
Q8IWF6	9606.ENSP00000311401
Q8NEG7	9606.ENSP00000391524
A2RUS2	9606.ENSP00000262585
O94850	9606.ENSP00000390590
O43583	9606.ENSP00000280557
Q9Y315	9606.ENSP00000416583
Q5TB30	9606.ENSP00000412292
Q8WUY9	9606.ENSP00000265036
Q8N2C3	9606.ENSP00000396234
O75140	9606.ENSP00000383105
Q96QD5	9606.ENSP00000241051
Q9NTK1	9606.ENSP00000298295
Q9BUN8	9606.ENSP00000259512
Q9GZP9	9606.ENSP00000158771
Q96Q80	9606.ENSP00000384744
Q07507	9606.ENSP00000356791
Q6ICB0	9606.ENSP00000263256
Q9BSY9	9606.ENSP00000306528
P17661	9606.ENSP00000363071
P15924	9606.ENSP00000369129
P60981	9606.ENSP00000246069
Q7L5Y6	9606.ENSP00000456340
Q05D60	9606.ENSP00000298050
O95424	9606.ENSP00000330509
O15263	9606.ENSP00000424598
O00273	9606.ENSP00000366237
O76075	9606.ENSP00000339524
Q6ZPD8	9606.ENSP00000328036
O75907	9606.ENSP00000482264
Q96PD7	9606.ENSP00000228027
Q9BY27	9606.ENSP00000248879
Q14129	9606.ENSP00000482514
Q8WYQ5	9606.ENSP00000263209
P23743	9606.ENSP00000328405
Q9Y6T7	9606.ENSP00000385780
Q16760	9606.ENSP00000264057
P52429	9606.ENSP00000284061
P49619	9606.ENSP00000265022
Q86XP1	9606.ENSP00000337572
O75912	9606.ENSP00000288490
Q5KSL6	9606.ENSP00000477515
P52824	9606.ENSP00000273814
Q13574	9606.ENSP00000412178
Q9Y4D2	9606.ENSP00000257215
Q8NCG7	9606.ENSP00000297056
Q16854	9606.ENSP00000264093
Q8NBQ5	9606.ENSP00000351035
Q53GQ0	9606.ENSP00000278353
Q7Z5P4	9606.ENSP00000333300
Q9BPX1	9606.ENSP00000263278
P14061	9606.ENSP00000466799
P37059	9606.ENSP00000199936
P37058	9606.ENSP00000364412
P51659	9606.ENSP00000420914
P56937	9606.ENSP00000254521
Q92506	9606.ENSP00000363794
Q15392	9606.ENSP00000360316
Q9UBM7	9606.ENSP00000347717
Q86SQ9	9606.ENSP00000353104
Q9UQ10	9606.ENSP00000221403
P00367	9606.ENSP00000277865
P49448	9606.ENSP00000327589
O43323	9606.ENSP00000266991
Q7Z5J1	9606.ENSP00000480443
P28845	9606.ENSP00000355995
P80365	9606.ENSP00000316786
P09417	9606.ENSP00000281243
Q6UWP2	9606.ENSP00000482704
A0PJE2	9606.ENSP00000411565
Q6UX07	9606.ENSP00000368173
Q96LJ7	9606.ENSP00000288111
Q13268	9606.ENSP00000344674
O75911	9606.ENSP00000480439
Q9BTZ2	9606.ENSP00000326219
Q9Y394	9606.ENSP00000216500
Q9BPW9	9606.ENSP00000389241
Q8N5I4	9606.ENSP00000334113
O14521	9606.ENSP00000364699
Q00796	9606.ENSP00000267814
Q96HY7	9606.ENSP00000263035
O43143	9606.ENSP00000336741
O60231	9606.ENSP00000365625
Q7Z478	9606.ENSP00000251636
Q7L2E3	9606.ENSP00000405620
Q7L7V1	9606.ENSP00000284690
Q9H6R0	9606.ENSP00000225296
Q14147	9606.ENSP00000331907
Q9H5Z1	9606.ENSP00000252011
Q9H2U1	9606.ENSP00000417078
Q8IY37	9606.ENSP00000311135
Q8IX18	9606.ENSP00000251241
Q6P158	9606.ENSP00000405111
Q96C10	9606.ENSP00000251642
Q14562	9606.ENSP00000262415
Q08211	9606.ENSP00000356520
P49366	9606.ENSP00000210060
Q8TF46	9606.ENSP00000321711
Q8IYB7	9606.ENSP00000315569
Q01459	9606.ENSP00000359664
O60610	9606.ENSP00000381565
O60879	9606.ENSP00000321348
Q9NSV4	9606.ENSP00000383178
Q9UPY3	9606.ENSP00000437256
Q9UBX3	9606.ENSP00000461324
Q9BTC0	9606.ENSP00000266070
Q68CQ4	9606.ENSP00000419005
Q5T7M9	9606.ENSP00000359333
Q5VUD6	9606.ENSP00000360757
Q0P6D2	9606.ENSP00000344331
Q8NDZ4	9606.ENSP00000320081
Q9H7Y0	9606.ENSP00000381086
Q9UNQ2	9606.ENSP00000199320
Q14689	9606.ENSP00000392066
Q9P265	9606.ENSP00000301180
Q9Y2E4	9606.ENSP00000280886
O95057	9606.ENSP00000325836
Q96HU8	9606.ENSP00000364919
O95661	9606.ENSP00000360020
Q969H9	9606.ENSP00000307860
Q96SL1	9606.ENSP00000261038
Q9NRI5	9606.ENSP00000355593
Q96F81	9606.ENSP00000284476
A7MBM2	9606.ENSP00000267889
Q9P2K9	9606.ENSP00000294484
Q155Q3	9606.ENSP00000394352
Q9UBS4	9606.ENSP00000414398
Q9NXW2	9606.ENSP00000345575
P59910	9606.ENSP00000344431
Q8TBM8	9606.ENSP00000404381
Q8IXB1	9606.ENSP00000264065
Q9NVH1	9606.ENSP00000366800
Q9UKB3	9606.ENSP00000225171
O75165	9606.ENSP00000260818
Q6Y2X3	9606.ENSP00000350223
Q9Y5T4	9606.ENSP00000368523
Q9Y2G8	9606.ENSP00000365007
Q9NVM6	9606.ENSP00000220496
Q9H819	9606.ENSP00000302843
Q5F1R6	9606.ENSP00000371451
Q8N4W6	9606.ENSP00000446830
Q6P3W2	9606.ENSP00000417548
Q9H1X3	9606.ENSP00000320650
Q9NZQ0	9606.ENSP00000264711
Q9NX36	9606.ENSP00000479716
Q96LL9	9606.ENSP00000378605
O60832	9606.ENSP00000358563
O94907	9606.ENSP00000363081
Q9UBU2	9606.ENSP00000285311
Q9UBP4	9606.ENSP00000379762
Q9UBT3	9606.ENSP00000220812
Q9UK85	9606.ENSP00000221498
P09622	9606.ENSP00000205402
Q9Y238	9606.ENSP00000308597
Q12959	9606.ENSP00000345731
Q15700	9606.ENSP00000365272
Q92796	9606.ENSP00000363480
P78352	9606.ENSP00000382428
