PA37438	P31946
PA142672000	Q5T1V6
PA27228	P17844
PA162383444	Q8IY21;Q9H616;Q9NXV7;Q6B0F7
PA162383445	Q5H9U9
PA27229	P26196
PA27234	O75398
PA134898625	Q9P2X7
PA27235	Q9NUI1
PA141	Q16698
PA134912744	Q8WXF8
PA27236	O75618
PA165585475	P59665
PA27239	P59666;Q6EZE9
PA27240	P12838
PA27241	Q01523
PA27242	Q01524
PA27243	P60022
PA27237	Q9H4E7
PA162383526	Q6ZN54
PA144596394	Q9HBH1
PA27250	O15121
PA134973300	Q6QHC5
PA27251	P35659
PA134992099	Q14154
PA27815	Q08495
PA134935316	Q8TCE6
PA145148613	A4D1U4
PA134876117	Q8TEH3;Q9HCG4
PA134951951	Q6P3S1;B3KR95
PA134893022	Q8IV53
PA134931054	Q9ULE3
PA36172	P78524
PA142671985	Q68D51
PA142671986	Q9H6A0
PA142671629	O75064
PA134939495	Q5VZ89;B3KXP9
PA164718737	Q6IQ26;Q9P1Y6
PA164718788	Q6ZUT9
PA144596431	Q8IWF6
PA144596432	Q8NEG7
PA142671987	A2RUS2
PA134906790	O94850
PA27252	O43583
PA134943367	Q9Y315
PA134974825	Q5TB30
PA134941087	Q8WUY9
PA134981607	Q8N2C3
PA134864958	O75140
PA144596441	Q96QD5
PA128394583	Q9NTK1
PA134926638	Q9BUN8
PA134896343	Q9GZP9
PA25883	Q96Q80
PA27471	Q07507
PA164725008	Q6ICB0
PA164724993	Q9BSY9
PA27253	P17661;Q53SB5
PA27505	P15924
PA27509	P60981
PA134943899	Q7L5Y6
PA143485419	Q05D60
PA165449964	O95424
PA27249	O15263
PA27254	O00273
PA27255	O76075
PA143485448	Q6ZPD8
PA27303	O75907
PA27304	Q96PD7
PA38570	Q9BY27
PA27308	Q14129
PA27309	Q8WYQ5
PA27310	P23743
PA27311	Q9Y6T7
PA27312	Q16760
PA27313	P52429;A1L4Q0
PA27314	P49619
PA27315	Q86XP1
PA27316	O75912
PA142671978	Q5KSL6
PA27317	P52824
PA27318	Q13574
PA162383158	Q9Y4D2
PA162383203	Q8NCG7
PA27319	Q16854
PA162391655	Q8NBQ5
PA38618	Q53GQ0
PA38634	Q7Z5P4
PA162391674	Q9BPX1
PA29478	P14061
PA29479	P37059
PA29480	P37058;Q6FH62
PA29481	P51659
PA29483	P56937
PA29484	Q92506
PA27320	Q15392
PA27321	Q9UBM7
PA134867119	Q86SQ9
PA27322	Q9UQ10
PA28737	P00367
PA28738	P49448
PA27326	O43323
PA144596423	Q7Z5J1
PA29476	P28845
PA29477	P80365
PA34094	P09417
PA164718841	Q6UWP2
PA147358124	A0PJE2
PA147358144	Q6UX07
PA134914102	Q96LJ7
PA38318	Q13268
PA134952810	O75911
PA128395792	Q9BTZ2
PA134974539	Q9Y394
PA134913654	Q9BPW9
PA27330	Q8N5I4
PA35608	O14521
PA36021	Q00796
PA134962952	Q96HY7
PA27204	O43143
PA27205	O60231;Q5SQH4;B4DZ28
PA27215	Q7Z478
PA27217	Q7L2E3
PA27219	Q7L7V1
PA27220	Q9H6R0
PA27221	Q14147
PA27222	Q9H5Z1
PA27223	Q9H2U1
PA27224	Q8IY37
PA27227	Q8IX18;B4DR88
PA134919698	Q6P158;Q8N4U2
PA162383566	Q96C10
PA27231	Q14562
PA27232	Q08211;B3KU66
PA27329	P49366
PA162383675	Q8TF46
PA162383714	Q8IYB7
PA26997	Q01459;Q8TC97
PA27333	O60610;Q6URC4
PA27334	O60879
PA27335	Q9NSV4
PA38437	Q9UPY3
PA35856	Q9UBX3
PA27147	Q9BTC0
PA142672491	Q68CQ4
PA142671883	Q5T7M9
PA142671884	Q5VUD6
PA165428999	Q0P6D2
PA143485334	Q8NDZ4;B3KTD4
PA134972038	Q9H7Y0
PA162383599	Q9UNQ2
PA134888233	Q14689;Q96NX2
PA143485449	Q9P265;Q96IB4;Q7Z3H2
PA134961070	Q9Y2E4;Q86XV3
PA134951835	O95057
PA134958969	Q96HU8
PA24980	O95661
PA27340	Q969H9
PA27341	Q96SL1
PA27342	Q9NRI5;C4P0A5;C4P0D1;C4P0A4;C4P0C8;C4P0D3;C4P0C4;C4P0D0;C4P098
PA134938043	Q96F81;B3KPN9
PA134876083	A7MBM2
PA142671116	Q9P2K9
PA134988674	Q155Q3
PA27413	Q9UBS4
PA27414	Q9NXW2
PA142671972	P59910
PA142671973	Q8TBM8
PA134917195	Q8IXB1
PA134893823	Q9NVH1
PA134931354	Q9UKB3;Q6IAH1
PA134947358	O75165
PA134940402	Q6Y2X3
PA134932264	Q9Y5T4
PA142671964	Q9Y2G8
PA142671965	Q9NVM6
PA142671966	Q9H819
PA162383874	Q5F1R6
PA162383905	Q8N4W6
PA162383906	Q6P3W2
PA165585764	Q9H1X3
PA164718860	Q9NZQ0
PA162383922	Q9NX36
PA162383931	Q96LL9;B3KSU4
PA27344	O60832
PA27345	O94907
PA27346	Q9UBU2
PA27347	Q9UBP4
PA27348	Q9UBT3
PA134974559	Q9UK85
PA27352	P09622
PA27353	Q9Y238
PA27356	Q12959
PA164741388	Q15700
PA164741439	Q92796;Q59FY1
PA27359	P78352
PA27360	Q8TDM6
PA27361	O14490
PA27362	Q9P1A6
PA134923893	O95886
PA134891458	Q9Y2H0
PA162383761	Q15398
PA27363	P80370;Q969Y6
PA162383762	Q6UY11
PA27364	O00548
PA27365	Q9NYJ7
PA27366	Q9NR61
PA134957167	Q86YH6
PA27436	Q9NP97
PA27437	Q8TF09
PA27369	P56177
PA27370	Q07687;Q53QU7
PA27371	O60479
PA27372	Q92988
PA27373	P56178;Q53Y73
PA27374	P56179
PA134876562	Q96GE9
PA162377263	Q9NW81
PA134927315	Q9NPF5
PA27376	Q9UGM3
PA38780	Q8NFW5
PA35059	P28068
PA27377	Q14565
PA27378	P11532;Q4G0X0;A7E212
PA145149020	Q6E0U4;A3EZ84
PA27379	Q13316
PA27380	Q09013
PA27381	Q9Y5R6
PA27382	Q9Y5R5;Q05C20;Q5HYK2
PA27383	Q9NQL9
PA27384	Q5VZB9
PA27386	Q96MA1
PA162383779	Q5HYR2
PA27388	Q8IXT2
PA27385	Q96SC8
PA27389	Q9Y222;B3KMJ8
PA27390	Q09019;Q8WUW6
PA27391	Q9Y485
PA27392	Q8TDJ6
PA27407	Q9UI46
PA38669	Q9GZS0
PA162383938	Q4LDG9
PA27426	O96015
PA27427	P24855
PA134931157	Q8IYX4
PA162383959	Q8NFT8
PA142671968	Q96M86;B0I1S4
PA134962894	Q9UF47
PA134880296	Q8N7S2
PA31536	P31689
PA27409	O60884
PA27410	Q96EY1;Q53G26;B3KM81
PA27411	Q8WW22;Q69YX3
PA27412	P25685;Q6FHS4
PA27415	P25686
PA162383828	Q8WWF6
PA27416	Q9UDY4
PA27417	O75953
PA27418	O75190
PA134961522	Q7Z6W7
PA134881798	Q8NHS0
PA27419	Q9UBS3;Q6FIF1
PA128394706	Q96KC8
PA162383835	Q99543
PA27420	Q13217;A8KA82
PA27421	Q9NNZ3
PA27422	Q9H3Z4
PA27424	Q99615
PA27425	O75937
PA38797	Q8WXX5
PA30372	P18858
PA30374	P49916
PA30375	P49917
PA162384018	Q5SXM8
PA27441	O00429
PA27445	Q9Y6K1;Q8WVA9
PA27446	Q9UBC3
PA27447	Q9UJW3
PA134950706	Q6XZF7
PA27443	P26358
PA27448	Q9ULA0
PA134918815	O43598
PA27431	O00115
PA134993904	Q8WZ79;Q66K39
PA27428	P49184
PA27429	Q92874
PA27430	Q13609
PA35060	P06340
PA35061	P13765;Q5QNS2
PA134983197	Q96BY6
PA128394757	Q5JSL3
PA27451	Q14183
PA27452	Q14184
PA27453	Q14185
PA27454	Q92608;Q5XG91
PA27455	Q8IZD9
PA134939318	Q8N1I0
PA134932307	Q9H7D0;Q68DL4
PA134913824	Q96HP0
PA134872825	Q96N67
PA134918866	Q8NF50
PA134877754	Q9BZ29;A6H8Z6;B3KXE2
PA142671678	Q9BU89
PA27456	Q99704
PA27457	O60496
PA128394725	Q7L591
PA134892921	Q8TEW6
PA25724	Q9P104
PA134866995	Q6PKX4
PA162384035	Q18PE1
PA162384054	Q9UPQ8
PA27459	Q9NYP3
PA134924787	Q5JWR5
PA25845	Q9Y3R5
PA27197	P30046;Q53Y51
PA136	P09172
PA134937229	Q86YN1
PA134993717	Q8TEK3
PA145008497	Q1HG43;A8K9Q6
PA145008523	Q1HG44
PA162376755	Q9UKG1
PA164741199	Q8NEU8
PA35062	P20036
PA35064	P04440
PA165548502	Q9BVM2
PA144	P16444
PA134985997	Q9H4A9
PA134978786	Q9H4B8
PA134879894	Q92782;Q6PJ73
PA134888535	Q92784
PA27461	Q9BZG8;B3KQW7
PA27462	Q9BQC3
PA25686	Q9H4G8
PA162384061	Q96FX2
PA142671956	Q9H2P9;B3KWP1
PA142672572	Q7L8W6
PA134942088	Q9BTV6
PA27463	O60762
PA27464	O94777
PA27465	Q9P2X0;Q86TM7
PA411	Q14181
PA33496	P28340
PA33497	P49005
PA134868595	Q15054
PA33498	Q9HCU8;Q6NSD7;Q9BVB1
PA277	Q07864
PA278	P56282
PA33499	Q9NRF9
PA38677	Q9NR33
PA33500	P54098
PA33501	Q9UHN1
PA162399856	P09884
PA276	P06746
PA33504	Q9UGP5;A8K860
PA33505	Q9NP87
PA134979866	Q7Z5Q5
PA33506	O75417;Q59EE4
PA134991647	Q8N608;B4DKB5;Q0GLB9;Q0GLB7;B2RCJ8
PA27469	Q9UHL4
PA27466	Q9NY33;Q53GT4;Q5JPB8
PA27467	P27487
PA27468	P42658
PA27470	Q6V1X1
PA38620	Q86TI2
PA134944028	Q7Z7J5
PA134951641	Q6W0C5
PA134958838	Q7L190
PA134964500	A6NC42
PA142671957	A6NFQ7
PA134982512	Q5T2R2
PA134897957	Q8TB45
PA162384063	Q9C005
PA145	Q12882
PA26885	Q14194;B3KT07;Q96I11
PA27472	Q16555
PA27473	Q14195;Q8IXW6
PA27474	O14531
PA134927413	Q9BPU6
PA146	Q14117
PA35066	P01909;Q08AS3
PA35067	P01906
PA35068	P01920;Q5Y7D6
PA134916600	Q8TE96
PA134878665	P0CG22
PA164725648	Q8NEX9
PA165512564	Q8N682
PA165751270	Q6UX65
PA142672435	Q8NBI3
PA35071	P01903
PA35074	P79483
PA35075	P13762
PA35076	Q30154
PA35072	P01911
PA134901058	Q96DY2
PA162392257	Q86XH1
PA145149775	Q96MC2
PA143485417	Q8IXS2
PA142671508	Q9H069;B3KSC6
PA28579	O95995
PA36413	Q5JU00
PA134938720	Q8NEE6;Q8N1P0
PA162381380	Q8IY82
PA142671914	Q5VUJ9
PA134919040	Q9H095;Q9H5C8
PA147	P21728
PA27478	P14416
PA27479	P35462
PA27480	P21917
PA148	P21918
PA27163	Q16643
PA27483	Q9Y295
PA27484	P55039
PA164717092	Q6PGQ1
PA27486	Q13474
PA142671976	Q6IAN0
PA134939640	Q6B8I1;Q9UII6
PA27488	Q08554;Q9HB00
PA27489	Q02487
PA164741482	Q14574
PA27491	O60469
PA38384	Q8TD84
PA27497	P56555
PA27499	P57055
PA162384097	Q8IZU8
PA162384080	Q9UL01
PA27501	Q02413
PA27502	Q14126
PA27503	P32926
PA134925919	Q86SJ6
PA162384106	Q9H410;A8K3X3
PA27507	Q9NZW4
PA24555	P55265;Q59EC0
PA27512	Q96EV8
PA162384107	Q8TEA8
PA134963117	Q96FN9
PA165663634	Q6ZMT9
PA142671941	Q9NZJ0
PA27510	Q9Y4J8
PA27511	O60941
PA142671942	Q8N5C7
PA142671943	Q8NBA8
PA27514	Q86Y01
PA27515	Q86UW9
PA134864792	Q8TDB6
PA134887936	Q8N9I9
PA134930720	Q9Y2E6
PA27516	Q9NRD9
PA27517	Q9NRD8
PA134959776	Q68J44
PA27520	Q9Y6W6
PA27521	O75319
PA27522	Q9UNI6
PA27523	O95147;Q6FI36
PA27524	Q9H1R2
PA38475	Q9BY84
PA134928498	Q8NEJ0
PA134895660	Q8WTR2
PA142671936	Q6P1R4
PA27519	P28562
PA134967875	Q9H596
PA134991025	Q9NRW4
PA134983082	Q9BVJ7
PA142671921	Q9BV47
PA142671922	Q5VZP5
PA162384124	Q4G0W2
PA142671937	Q9NX74
PA27525	Q05923
PA142671938	Q96G46;B2RDV7
PA27526	P51452
PA142671939	O95620;A4D0R5
PA27527	Q13115
PA27528	Q16690
PA27529	Q16828
PA27530	Q16829
PA27531	Q13202
PA27533	Q99956;B2RAL9
PA164718861	Q6XUX3
PA151	P33316
PA27535	O43812;Q96PT3
PA27537	Q96PT4
PA27539	Q96PT3
PA142671924	A6NLW8
PA27540	O14640
PA27542	O14641
PA27543	Q92997
PA27226	O00148
PA25262	Q13838
PA27458	O77932
PA134972260	Q8WWB3
PA134988160	Q96IM9
PA27395	Q8IVF4;B0I1S1
PA27396	Q96DT5;Q96NT7
PA27397	Q6ZR08
PA27399	Q0VDD8
PA27394	Q9P2D7
PA27401	Q9P225
PA27402	Q8TD57
PA27403	Q8TE73
PA27404	Q9C0G6
PA38625	Q8WXX0
PA27405	Q96JB1;Q8IU65
PA27406	Q9NYC9;Q99499
PA27432	Q14204
PA134972261	P63167;Q6FGH9
PA142671920	Q96FJ2
PA36416	P63172
PA36414	P51808
PA134879547	Q7RTS9
PA27440	Q05193
PA27442	P50570;Q8N1K8
PA134954683	Q9UQ16
PA134946407	Q8N1N2
PA27545	Q13627
PA27549	Q9Y463
PA134889916	Q86XF0
PA27550	Q92630
PA27551	O43781
PA27552	Q9NR20
PA143	P00374;B0YJ76
PA27554	O75923
PA25399	Q03001
PA162384136	A2CJ06
PA25660	Q9NVP4;A1L3Z8
PA134951988	Q8IYY4
PA134960194	Q86YF9
PA162384137	Q86Y13
PA134919097	Q9BQI3
PA33779	P19525;Q8IW76;Q05CP4
PA27687	Q9NZJ5;B3KY45
PA134947616	Q9P2K8
PA152	Q01094
PA27572	Q14209
PA27573	O00716;Q499G5
PA27576	Q16254
PA27577	Q15329
PA27578	O75461
PA142671918	A0AVK6
PA27811	Q9H4G0
PA27812	O43491;Q59FD8
PA27813	Q9Y2J2
PA134862834	Q9HCM4
PA134994123	Q9HCS5;Q8NEH8;Q8N8X1
PA134986250	Q9H329;Q9NX84;Q9NSG9;Q59GC2
PA27579	Q66K89
PA35828	P43003;Q7Z5T0;Q8N169
PA35827	P43004
PA35826	P43005
PA35831	P48664
PA35832	O00341
PA134897202	Q96JC9
PA128394690	Q96CJ1
PA165751536	Q9HAF1
PA162384208	Q56P03
PA27586	Q99848;Q6IB29
PA134875632	Q9BY08;Q6GPH7
PA27587	Q15125
PA143485450	O95905
PA27594	P42892
PA27595	O95672
PA27596	Q13011
PA29175	P40939
PA29177	P55084
PA134871524	Q9NTX5
PA134913726	Q86YB7
PA134881215	Q96DC8
PA27597	P30084
PA27682	Q08426
PA27173	P42126
PA33168	O75521
PA27598	Q16610
PA27599	O94769
PA34414	P12724
PA164718891	Q19T08
PA147358104	Q9BQ95
PA134893289	Q008S8
PA27600	Q9H8V3;Q96SJ9
PA27603	Q8WWZ3
PA27602	Q9UNE0
PA27601	Q92838
PA142670551	Q96F86
PA145148958	Q6P2E9
PA128394554	Q92611
PA25747	Q9BV94
PA38186	Q9BZQ6
PA27604	O60869
PA27613	O43854
PA27614	P05305;Q6FH53
PA27615	P20800
PA27616	P14138
PA27617	P25101
PA27618	P24530
PA134873666	Q3B7T1
PA27621	Q15075
PA27624	O75530
PA162384303	Q7L9B9
PA27625	P68104;Q6IPS9
PA36219	Q05639
PA27644	P24534
PA27647	P29692;B2RAR6;Q9H7G6
PA27649	P26641;Q53YD7
PA142671858	Q96G04
PA134992891	O00418
PA27650	P13639
PA134875422	Q9BUY7
PA142672240	Q8IY85
PA142671630	O75071
PA144596437	Q8N4Y2
PA144596438	Q9BSW2
PA142671913	Q9HAE3
PA143485451	Q8N7B9
PA145008457	A4FU69
PA162384324	Q5THR3
PA162384389	A8K855
PA164718963	A8MZ26
PA142672165	Q9HA90
PA134971637	Q96RP9
PA134987079	Q8N7U6
PA27654	Q5JVL4;B2CKC5
PA134938637	Q5JST6
PA134935372	Q9BUP0
PA134942316	Q96C19
PA134902221	Q7Z2Z2
PA162396671	Q8WVE0
PA162395769	Q5JPI9;Q8TC28
PA145008445	Q96AZ1
PA27656	P20827
PA27657	O43921
PA27658	P52797
PA27659	P52798
PA27660	P52803
PA27661	P98172
PA27662	P52799
PA27663	Q15768
PA164722256	Q8N6R0;C4B4C6
PA162384422	Q14156
PA162384473	Q9Y2G0;B3KT90
PA134887136	O43281
PA37037	P43897
PA37082	P49411
PA27668	Q8IUX8
PA134928613	Q9UHF1
PA38372	Q99944
PA147358056	Q63HQ2
PA7360	P00533
PA27664	P01133
PA27670	Q9GZT9
PA27671	Q96KS0
PA27672	Q9H6Z9
PA27785	P17813;Q5T9B9
PA27673	P18146;Q546S1
PA27674	P11161
PA27675	Q06889
PA27676	Q05215;B7ZKU3
PA134871712	Q8N3D4
PA128394620	Q8NDI1;A8K930
PA27677	Q9H4M9;B2R5U3
PA27678	Q9NZN4
PA27679	Q9NZN3
PA27680	Q9H223;A8K9B9
PA27681	Q9NZC4
PA134941393	Q9H9B1
PA25267	Q96KQ7
PA134937367	O14681
PA27688	Q14232
PA27689	P49770;Q53XC2
PA27691	Q9UI10
PA27692	Q13144
PA27690	Q9NR50;Q9HA31
PA26876	Q9Y6B2
PA162384551	Q96D98
PA162384544	Q8N6I1
PA162384552	Q8N140
PA162384553	Q8N9N8
PA143485452	O60739;Q6FG85
PA27683	P41567;Q6IAV3
PA143485453	Q9BY44
PA30355	P41214
PA27699	Q14152
PA162384603	P55884
PA162384646	Q99613
PA162384740	O15371
PA27705	P60228
PA162384806	O00303
PA162384827	O75821
PA162384854	O15372;Q6IB98
PA162384875	Q13347;Q5U0F4
PA162384902	O75822
PA162384923	Q9UBQ5
PA27706	Q9Y262;B3KPB9
PA162384944	Q7L2H7
PA162384693	B5ME19
PA37051	Q53HC9
PA134921265	Q9HBU6
PA134888760	Q9NVF9
PA33283	P19957
PA27740	Q15717
PA27741	Q12926
PA27742	Q14576
PA27743	P26378
PA134878695	Q3SY89
PA27744	P32519;Q6MZZ4
PA27745	Q15723
PA27746	P78545
PA27747	Q99607
PA27748	Q9UKW6;A8K443
PA27749	P19419
PA27752	P41970
PA27753	P28324;Q8IXL1
PA134935340	O00472;Q59FW6
PA128394728	Q9HB65
PA134939610	P55199
PA134903991	Q8N336
PA134984145	Q8IZ81
PA164719009	Q96FG2
PA27754	Q92556;A4D1X5
PA27755	Q96JJ3
PA27756	Q96BJ8
PA27735	P08246
PA27757	P15502;B3KRT8
PA36379	Q14241
PA134932220	Q8IYF1
PA134940475	Q8NG57
PA36378	Q15370
PA36376	Q15369
PA142671911	P60002
PA27760	Q9BW60
PA27761	Q9NXB9
PA27762	Q9HB03
PA27763	Q9GZR5
PA128394703	Q9NYP7
PA134939058	Q9H5J4
PA134934034	A1L3X0
PA29775	O95163;Q8N516
PA162385051	Q6IA86
PA134992603	Q9H9T3
PA27764	Q96EB1
PA143485405	Q8TE02
PA164717260	Q0PNE2
PA142672631	Q8WYP5
PA30924	Q00013;B4E325
PA27767	O00423
PA27768	O95834
PA142671910	Q32P44
PA27769	Q9HC35
PA134894613	Q05BV3
PA164719036	Q6ZMW3
PA134884522	Q5T6L9
PA134917460	Q6PCB8
PA162378790	Q5UCC4
PA142671634	Q8N766
PA162407224	Q15006
PA142670762	Q9P0I2
PA143485634	Q5J8M3
PA142670745	Q9BV81
PA134900493	Q9NPA0
PA31668	O43402;Q53Y03
PA162386700	Q9Y3B6
PA27766	P50402
PA134904115	Q96AY2
PA134863517	A4GXA9
PA134921314	Q96A84
PA134922135	Q9Y6C2
PA134880588	Q9BXX0
PA164741521	Q9NT22
PA27770	P54849
PA27771	P54851
PA27772	P54852
PA145149451	Q9H4I9
PA134904392	Q7Z589
PA27777	Q04741
PA27778	Q04743
PA38517	Q8N8S7
PA27781	Q9NRM1
PA164719123	Q8NFI3
PA27782	O14682;Q53XS2
PA143485454	O94919
PA165512645	P21128
PA164719156	Q6UWT2
PA142672256	Q9H0I2
PA165548526	Q8TC29
PA30848	Q03111
PA27786	P06733
PA27789	P13929
PA134897613	Q7L5Y1
PA27788	P09104;Q6FHV6
PA162385052	Q9UHY7
PA162385069	Q8TC92
PA162385106	Q16206
PA36705	P14625
PA27791	P22413
PA27792	Q13822
PA27793	O14638;Q308M7
PA27794	Q9Y6X5
PA27795	Q9UJA9
PA134945118	Q6UWR7
PA134986550	Q6UWV6
PA27866	Q14264
PA27796	O43768
PA145148940	Q8IYW4
PA33839	P98073
PA27798	P49961
PA27799	Q9Y5L3
PA27800	O75355
PA30502	Q9Y227;Q8NE73
PA27802	O75356
PA27803	O75354
PA134993462	Q9NQZ7
PA142671906	Q5MY95
PA35597	Q96C92
PA142671907	Q9NPA8
PA143485338	Q5NDL2
PA27806	O95936
PA134906266	Q9UBC2
PA27807	Q09472;Q7Z6C1
PA165478869	Q14507
PA165478900	P56851
PA27808	Q96L91
PA27809	Q99814;B3KW07
PA27814	P16452
PA134981141	Q9H2F5
PA134875170	Q52LR7
PA35493	P16422
PA33800	Q9UNN8
PA142671908	Q9UM22;A4D1W8
PA134941500	Q9HCE0;Q9BTI0
PA162385143	Q6UW88
PA27817	P21709
PA27818	P29317
PA27819	P29320;Q6P4R6
PA27820	P54764;Q58F15
PA27821	P54756
PA134866684	Q9UF33;B3KS12
PA27822	Q15375
PA27823	P29322
PA134938798	Q5JZY3;Q8N289;Q4G0R4
PA27824	P54762
PA27825	P29323
PA27826	P54753
PA27827	P54760;Q96L35;Q541P7
PA27828	O15197
PA164719188	Q9H6B9
PA164719207	Q8IUS5
PA27835	P58107
PA27832	O95278
PA134917440	Q7L775
PA134860916	Q9Y6I3
PA38615	O95208
PA38513	Q9H201
PA145149115	Q14677
PA162378581	A6NHQ4
PA27834	P19235
PA27833	P01588
PA38054	O95925
PA27838	P42566;B7Z240
PA27839	Q12929;B4E3T6
PA165696581	Q9C0D9
PA162385144	Q99645
PA25969	Q9NQ60
PA134961240	Q5T890
PA27843	O75616
PA162385163	Q9NZ08
PA162385208	Q6P179;B2R769
PA27844	P04626
PA27846	P21860;B3KWG5
PA27847	Q15303
PA27845	Q96RT1
PA162385249	O15083
PA162385290	Q2NKX8
PA155	P07992
PA27848	P18074
PA27849	P19447
PA27851	P28715
PA27852	Q03468
PA27853	Q13216
PA30083	P24390
PA30084	P33947
PA30085	O43731
PA27856	O14944
PA27893	P62495
PA29012	P15170;Q7KZX8;B2RCT6
PA29013	Q8IYD1
PA27857	P50548
PA36108	Q14534;Q5HYI4
PA36564	O76062
PA25513	Q9UKR5;Q6FII3;Q86TW5
PA30473	P48449;B2R694
PA143485456	Q969X5
PA143485457	Q96RQ1;Q86TD3
PA38050	Q9Y282;A2TJK5
PA27858	P11308;B4DN83
PA27859	P84090
PA164719226	Q8IV48
PA164719245	A8K979
PA164719272	O43414
PA165505094	Q5W0A0
PA142671903	Q86X53
PA142672422	Q5RHP9
PA162378862	A6NGS2
PA142672366	Q6P6B1
PA165697300	Q7L0X2
PA165696636	Q96DZ1
PA162385299	O75477
PA25961	O94905
PA27860	Q96PL5
PA162385355	Q8TAM6
PA162385366	Q7Z2K6;Q6ZMD3
PA27861	O75460
PA134889542	Q76MJ5
PA27862	Q96HE7
PA134918597	Q86YB8
PA162385401	Q96DN0
PA25509	P30040
PA164719295	Q9BS26
PA27887	P11474;Q569H8
PA27889	O95718
PA27891	P62508
PA142671904	Q9UJM3;B3KTV8
PA134990326	Q8TE68
PA134981048	Q9H6S3
PA134940846	Q8TE67
PA134954912	Q96AP7
PA134924215	Q5FWF5
PA134891970	Q56NI9
PA162385420	Q9H501
PA27840	Q96J88
PA27883	Q9NQ30
PA27765	Q96BH3
PA27884	Q14674
PA162385421	Q6ZVH7
PA27885	B1AK53
PA156	P03372;Q9UBT1
PA27886	Q92731;Q7LCB3
PA164719324	Q6NXG1
PA164719361	Q9H6T0
PA134913100	Q96DF8
PA25584	Q86US8
PA107	P23141
PA377	O00748
PA26418	Q6UWW8
PA164717904	Q5XG92
PA142672130	Q6NT32
PA27882	P10768
PA27892	Q8N693
PA165512688	Q9BSJ8
PA165617947	A0FGR8
PA165697118	A0FGR9
PA162385444	Q9NY74
PA27897	P13804
PA27898	P38117
PA27899	Q16134
PA162394773	Q6IPR1
PA134879650	O95571
PA164716777	Q8IXQ9
PA27902	P14921;A8K725;B4DW78
PA27903	P15036
PA27904	P50549
PA27905	O00321
PA162385461	Q6ZN32
PA27906	P41162
PA27907	P43268
PA27908	P41161
PA27909	P41212
PA134980006	Q9Y603
PA25879	Q9NYK6;Q68DA1
PA162387354	Q9H8M9
PA162387367	Q9NVM1
PA25858	P58658;B3KWG0
PA27911	P57679
PA38355	Q9BZE7
PA27913	P22794
PA27914	P34910;Q9BRW1
PA134905968	Q96CN4
PA27915	O60447;Q59FE7
PA134890866	Q9UI08
PA164719396	A8MZ36
PA27916	Q92817
PA27919	P49640
PA27920	Q03828
PA27921	Q01844
PA147031724	Q86VI1
PA162385462	Q2M3D2
PA134980508	Q17RC7
PA164717357	Q8N2X6
PA162385463	Q9Y2D4;Q9H8D6
PA164719420	Q8NHP7
PA164719421	Q9NVH0
PA27923	Q9UQ84
PA164718736	Q9H790
PA134891660	Q9NV70
PA134862170	Q96KP1;B3KPN7
PA134869816	O60645;Q69YP2
PA134944654	Q96A65;Q6NX51
PA35619	O00471
PA134908462	Q8TAG9;B3KXY5
PA134988420	Q9UPT5;Q63HP7
PA134991382	Q8IYI6
PA27784	Q9Y2C4
PA134900737	Q9Y3B2
PA134876020	Q13868
PA134926550	Q9NQT5
PA134867931	Q9NPD3
PA134890468	Q9NQT4
PA134932096	Q5RKV6
PA134880567	Q15024;B2RDZ9
PA134922251	Q96B26
PA33463	Q06265
PA33464	Q01780
PA27924	Q16394
PA27925	Q93063
PA27927	Q92935
PA27928	Q9UBQ6;Q8N8F1;Q05DH5;Q49A43
PA27930	O43909
PA27931	Q99502
PA27932	O00167
PA27933	Q99504
PA27934	O95677;Q96CJ7
PA164719488	Q5T1H1
PA27938	Q92800
PA27939	Q15910
PA162385512	P15311
PA142671784	Q5T9C2
PA142671785	Q5T8I3
PA142671787	Q969W3
PA134945008	Q5XKR9;Q5XLR8
PA143485464	O95990;Q6IAM1
PA134902915	Q9H098
PA36167	P50502
PA25476	Q70Z53
PA162385650	Q9BQ89
PA162385659	Q8TC76;B3KRT5
PA162385674	Q1W6H9
PA142671706	Q8TAY7
PA143485468	Q96PZ2
PA143485469	Q6SJ93
PA162385716	Q9NRY5
PA145008393	Q9C073
PA164719514	Q6P1L5;Q7Z3M2
PA25890	Q9NWS6
PA145008413	Q9BPY3
PA134954136	Q9NZB2
PA134920525	Q96EK7
PA134932227	Q9NX05
PA134893278	Q5T036
PA134861471	Q96E09;B3KX07
PA128394763	Q7Z309
PA162385800	Q86V42
PA162385815	Q9H5Z6
PA162385879	Q8IXS8;B3KUG1
PA162386054	Q6UXB0
PA162386065	Q86XD5
PA162386082	Q96AQ9
PA162386125	Q8N9E0
PA162386138	Q5BKY9
PA162386230	Q9P2D6
PA162386277	Q49AJ0
PA162386322	Q96C01
PA162	P00488
PA27944	P05160
PA162386366	A5PLN7
PA162386399	Q96BN6
PA162386465	Q8WW52
PA162386486	Q6UXP7
PA162386535	Q9UHL3
PA162386580	P0C7A2
PA162386676	B1AL88
PA162386687	O75949
PA164719690	C9JC47
PA164719708	P0CG42
PA164719726	P0CG43
PA162386876	Q3B820
PA162386893	Q96MY7
PA162386916	Q96A26
PA162386931	Q5T6X4
PA162386944	Q96GL9
PA162386945	P0C2L3
PA162387021	Q6J272
PA162387040	A8MTA8
PA162379496	A6NJV1
