Lepirudin	DB00001
Gliclazide	DB01120
Phenacemide	DB01121
Ambenonium	DB01122
Proflavine	DB01123
Tolbutamide	DB01124
Anisindione	DB01125
Dutasteride	DB01126
Econazole	DB01127
Bicalutamide	DB02932;DB01128
Rabeprazole	DB01129
Prednicarbate	DB01130
Proguanil	DB01131
Pioglitazone	DB01132
Tiludronate	DB01133
Desoxycorticosterone_pivalate	DB01134
Doxacurium_chloride	DB01135
Carvedilol	DB01136
Levofloxacin	DB01137
Sulfinpyrazone	DB01138
Cefapirin	DB01139
Cefadroxil	DB01140
Micafungin	DB01141
Doxepin	DB01142
Amifostine	DB01143
Dichlorphenamide	DB01144
Sulfoxone	DB01145
Diphenylpyraline	DB01146
Cloxacillin	DB01147
Flavoxate	DB01148
Nefazodone	DB01149
Cefprozil	DB01150
Desipramine	DB01151
Candicidin	DB01152
Sertaconazole	DB01153
Thiamylal	DB01154
Gemifloxacin	DB01155
Bupropion	DB01156
Trimetrexate	DB01157
Bretylium	DB01158
Halothane	DB01159
Prostaglandin_F2alpha	DB12789;DB01160
Chloroprocaine	DB01161
Terazosin	DB01162
Amdinocillin	DB01163
Calcium_chloride	DB01164
Ofloxacin	DB01165
Cilostazol	DB01166
Itraconazole	DB01167
Procarbazine	DB01168
Arsenic_trioxide	DB01169
Guanethidine	DB01170
Moclobemide	DB01171
Kanamycin	DB01172
Orphenadrine	DB01173
Phenobarbital	DB01174
Escitalopram	DB01175
Cyclizine	DB01176
Idarubicin	DB01177
Chlormezanone	DB01178
Podofilox	DB01179
Rescinnamine	DB01180
Ifosfamide	DB01181
Propafenone	DB01182
Naloxone	DB01183
Domperidone	DB01184
Fluoxymesterone	DB01185
Pergolide	DB01186
Iophendylate	DB01187
Ciclopirox	DB01188
Desflurane	DB01189
Clindamycin	DB01190
Dexfenfluramine	DB01191
Oxymorphone	DB01192
Acebutolol	DB01193
Brinzolamide	DB01194
Flecainide	DB01195
Estramustine	DB01196
Captopril	DB01197
Zopiclone	DB01198
Tubocurarine	DB01199
Bromocriptine	DB01200
Rifapentine	DB01201
Levetiracetam	DB01202
Nadolol	DB01203
Mitoxantrone	DB01204
Flumazenil	DB01205
Lomustine	DB01206
Sparfloxacin	DB01208
Dezocine	DB01209
Levobunolol	DB01210
Clarithromycin	DB01211
Ceftriaxone	DB01212
Fomepizole	DB01213
Metipranolol	DB01214
Estazolam	DB01215
Finasteride	DB01216
Anastrozole	DB01217
Halofantrine	DB01218
Dantrolene	DB01219
Rifaximin	DB01220
Ketamine	DB01221
Budesonide	DB01222
Aminophylline	DB01223
Quetiapine	DB01224
Enoxaparin_sodium	DB01225
Mivacurium	DB01226
Levomethadyl_Acetate	DB01227
Encainide	DB01228
Paclitaxel	DB01229
Pemoline	DB01230
Diphenidol	DB01231
Saquinavir	DB01232
Metoclopramide	DB01233
Dexamethasone	DB01234
Levodopa	DB01235
Sevoflurane	DB01236
Bromodiphenhydramine	DB01237
Aripiprazole	DB01238
Chlorprothixene	DB01239
Epoprostenol	DB01240
Gemfibrozil	DB01241
Clomipramine	DB01242
Chloroxine	DB01243
Bepridil	DB01244
Decamethonium	DB01245
Alimemazine	DB01246
Isocarboxazid	DB01247
Docetaxel	DB01248
Iodixanol	DB01249
Olsalazine	DB01250
Gliquidone	DB01251
Mitiglinide	DB01252
Ergonovine	DB01253
Dasatinib	DB01254
Lisdexamfetamine	DB01255
Retapamulin	DB01256
Eculizumab	DB01257
Lapatinib	DB01259
Desonide	DB01260
Sitagliptin	DB01261
Decitabine	DB01262
Posaconazole	DB01263
Darunavir	DB01264
Telbivudine	DB01265
Sinecatechins	DB01266
Paliperidone	DB01267
Sunitinib	DB01268
Panitumumab	DB01269
Ranibizumab	DB01270
Idursulfase	DB01271
Alglucosidase_alfa	DB01272
Varenicline	DB01273
Arformoterol	DB01274
Hydralazine	DB01275
Exenatide	DB01276
Mecasermin	DB01277
Pramlintide	DB01278
Galsulfase	DB01279
Nelarabine	DB01280
Abatacept	DB01281
Carbetocin	DB01282
Lumiracoxib	DB01283
Tetracosactide	DB01284
Adrenocorticotropic_hormone	DB01285
Fenoterol	DB01288
Glisoxepide	DB01289
Pirbuterol	DB01291
Bismuth_subsalicylate	DB01294
Bevantolol	DB01295
Glucosamine	DB01296
Practolol	DB01297
Sulfacytine	DB01298
Sulfadoxine	DB01299
Rolitetracycline	DB01301
Oxtriphylline	DB01303
Insulin_aspart	DB01306
Insulin_detemir	DB01307
Insulin_glulisine	DB01309
Fosamprenavir	DB01319
Fosphenytoin	DB01320
Josamycin	DB01321
Kava-kava	DB01322
St_John%27s_wort	DB01323
Polythiazide	DB01324
Quinethazone	DB01325
Cefamandole	DB14725;DB01326
Cefazolin	DB01327
Cefonicid	DB01328
Cefoperazone	DB01329
Cefotetan	DB01330
Cefoxitin	DB01331
Ceftizoxime	DB01332
Cefradine	DB01333
Dimethyltubocurarinium	DB01336
Pancuronium	DB01337
Pipecuronium	DB01338
Vecuronium	DB01339
Cilazapril	DB15565;DB01340
Forasartan	DB01342
Polystyrene_sulfonate	DB01344
Potassium	DB01345;DB14500
Spirapril	DB01348
Tasosartan	DB01349
Amobarbital	DB01351
Aprobarbital	DB01352
Butobarbital	DB01353
Heptabarbital	DB01354
Hexobarbital	DB01355
Lithium	DB01356
Mestranol	DB01357
Penbutolol	DB01359
Iohexol	DB01362
Ephedra	DB01363
Ephedrine	DB01364;DB14752
Mephentermine	DB01365
Procaterol	DB01366
Rasagiline	DB01367
Quinupristin	DB01369
Aluminium	DB01370
Calcium	DB01373
Aluminium_monostearate	DB01375
Magnesia	DB01377
Magnesium	DB14513;DB01378
Cortisone_acetate	DB01380
Ginkgo_biloba	DB01381
Glycodiazine	DB01382
Paramethasone	DB01384
Mibefradil	DB01388
Sodium_bicarbonate	DB01390
Yohimbine	DB01392
Bezafibrate	DB01393
Colchicine	DB01394
Drospirenone	DB01395
Digitoxin	DB01396
Magnesium_salicylate	DB01397
Salsalate	DB01399
Neostigmine	DB01400
Levomepromazine	DB01403
Ginseng	DB01404
Temafloxacin	DB01405
Danazol	DB01406
Clenbuterol	DB01407
Bambuterol	DB01408
Tiotropium	DB01409
Ciclesonide	DB01410
Pranlukast	DB01411
Theobromine	DB01412
Cefepime	DB01413
Cefacetrile	DB01414
Ceftibuten	DB01415
Cefpodoxime	DB01416
Acenocoumarol	DB01418
Antrafenine	DB01419
Testosterone_propionate	DB01420
Paromomycin_sulfate	DB01421
Nitroxoline	DB01422
Stepronin	DB01423
Aminophenazone	DB01424
Alizapride	DB01425
Ajmaline	DB01426
Amrinone	DB01427
Oxybenzone	DB01428
Aprindine	DB01429
Almitrine	DB01430
Allylestrenol	DB01431
Cholestyramine	DB01432
Acetylmethadol	DB01433
19-Norandrostenedione	DB01434
Phenazone	DB01435
Alfacalcidol	DB01436
Glutethimide	DB01437
Phenazopyridine	DB01438
3-Methylthiofentanyl	DB01439
Gamma-Hydroxybutyric_acid	DB01440
5-Methoxy-diisopropyltryptamine	DB01441
MMDA_%28psychedelic%29	DB01442
19-Nor-5-androstenedione	DB01443
Dimethylthiambutene	DB01444
Bufotenine	DB01445
Alpha-Methyltryptamine	DB01446
4-Methylaminorex	DB01447
Dihydroetorphine	DB01450
1-Androstenedione	DB01451
Heroin	DB01452
Beta-hydroxyfentanyl	DB01453
3,4-Methylenedioxymethamphetamine	DB01454
19-Nor-5-androstenediol	DB01455
5-Androstenedione	DB01456
Bezitramide	DB01459
Diethyltryptamine	DB01460
Dimenoxadol	DB01461
Etonitazene	DB01462
Fencamfamine	DB01463
Furethidine	DB01464
2,5-Dimethoxyamphetamine	DB01465
Ethylmorphine	DB01466
2,5-Dimethoxy-4-ethylamphetamine	DB01467
Ethylmethylthiambutene	DB01468
Acetorphine	DB01469
Bolasterone	DB01471
4-Methoxyamphetamine	DB01472
Betaprodine	DB01473
Dioxaphetyl_butyrate	DB01475
Haloxazolam	DB01476
Codeine_methylbromide	DB01477
Desmethylprodine	DB01478
Cyprenorphine	DB01480
1-Testosterone	DB01481
Fenethylline	DB01482
Barbital	DB01483
4-Hydroxytestosterone	DB01485
Cathine	DB01486
Embutramide	DB01487
Dimethyltryptamine	DB01488
Camazepam	DB01489
Aminorex	DB01490
Dipipanone	DB01491
Ethylestrenol	DB01493
Chloral_betaine	DB01494
Dichloralphenazone	DB01495
Etorphine	DB01497
Alphamethadol	DB01498
Meprodine	DB01499
Oxabolone	DB01500
Difenoxin	DB01501
Diampromide	DB01502
1-Androstenediol	DB01503
Etoxeridine	DB01505
3,4-Methylenedioxyamphetamine	DB01509
Dehydrochloromethyltestosterone	DB01510
Delorazepam	DB01511
Hydromorphinol	DB01512
Furazabol	DB01514
Benzoylecgonine	DB01515
3,4,5-Trimethoxyamphetamine	DB01516
Benzethidine	DB01518
Tenocyclidine	DB01520
Clostebol	DB01521
Betacetylmethadol	DB01522
Clonitazene	DB01523
5-Androstenediol	DB01524
Ecgonine	DB01525
4-Androstenediol	DB01526
Clortermine	DB01527
Dextromoramide	DB01529
Desomorphine	DB01531
%CE%91-Methylacetylfentanyl	DB01532
Diethylthiambutene	DB01533
Chloralodol	DB01534
Carfentanil	DB01535
Androstenedione	DB01536
4-Bromo-2,5-dimethoxyphenethylamine	DB01537
Acetyldihydrocodeine	DB01538
Boldenone	DB01541
Allylprodine	DB01542
Flunitrazepam	DB01544
Ethyl_loflazepate	DB01545
Alpha-Ethyltryptamine	DB01546
Drotebanol	DB01547
Diprenorphine	DB01548
Rolicyclidine	DB01549
Fenproporex	DB01550
Dihydrocodeine	DB01551
Betameprodine	DB01552
Cloxazolam	DB01553
Bolandiol	DB01554
Alphacetylmethadol	DB01555
Chlorphentermine	DB01556
Alpha-methylfentanyl	DB01557
Bromazepam	DB01558
Clotiazepam	DB01559
Cathinone	DB01560
Androstanedione	DB01561
Chloral_hydrate	DB01563
Calusterone	DB01564
Dihydromorphine	DB01565
Methylenedioxyethamphetamine	DB01566
Fludiazepam	DB01567
Codeine-N-oxide	DB01568
Formebolone	DB01569
Ohmefentanyl	DB01570
3-Methylfentanyl	DB01571
Methyl-1-testosterone	DB01572
Benzylmorphine	DB01573
Attapulgite	DB01574
Kaolin	DB01575
Dextroamphetamine	DB01576
Methamphetamine	DB01577
Metrizamide	DB01578
Phendimetrazine	DB01579
Oxprenolol	DB01580
Sulfamerazine	DB01581
Sulfamethazine	DB01582
Liotrix	DB01583
Thyroglobulin	DB01584
Ursodiol	DB01586
Ketazolam	DB01587
Prazepam	DB01588
Quazepam	DB01589
Everolimus	DB01590
Solifenacin	DB01591
Iron	DB01592
Zinc	DB01593
Cinolazepam	DB01594
Nitrazepam	DB01595
Cilastatin	DB01597
Imipenem	DB01598
Probucol	DB01599
Tiaprofenic_acid	DB01600
Lopinavir	DB01601
Bacampicillin	DB01602
Methicillin	DB01603
Pivampicillin	DB01604
Pivmecillinam	DB01605
Tazobactam	DB01606
Ticarcillin	DB01607
Propericiazine	DB01608
Deferasirox	DB01609
Valganciclovir	DB01610
Hydroxychloroquine	DB01611
Amyl_nitrite	DB01612
Erythrityl_Tetranitrate	DB01613
Acepromazine	DB01614
Aceprometazine	DB01615
Alverine	DB01616
Molindone	DB01618
Phenindamine	DB01619
Pheniramine	DB01620
Pipotiazine	DB01621
Thioproperazine	DB01622
Thiothixene	DB01623
Zuclopenthixol	DB01624
Isopropamide_iodide	DB01625
Pargyline	DB01626
Lincomycin	DB01627
Etoricoxib	DB01628
Sorbitol	DB01638
Thymidine_monophosphate	DB01643
Genistein	DB01645
4-hydroxybenzoyl-CoA_reductase	DB01652
Roflumilast	DB01656
8-Azaguanine	DB01667
Pristinamycin_IIA	DB01669
Propyl_acetate	DB01670
Trinitrotoluene	DB01676
Fumaric_acid	DB01677
Topiroxostat	DB01685
Asymmetric_dimethylarginine	DB01686
P-Cresol	DB01688
Dithioerythritol	DB01692
Tartaric_acid	DB01694;DB09459
Rutin	DB01698
AICA_ribonucleotide	DB01700
Dehydroepiandrosterone	DB01708
Cetrimonium	DB01718
2-Aminophenol	DB01726
Camphor	DB01744
1,2-Dimethoxyethane	DB01749
1-Naphthaleneacetic_acid	DB01750
S-Adenosyl-L-homocysteine	DB01752
Kojic_acid	DB01759
Dalfopristin	DB01764
Dihydroxyacetone	DB01775
M-Cresol	DB01776
Fusicoccin	DB01780
Pantothenic_acid	DB01783
Piclamilast	DB01791
Castanospermine	DB01816
Phosphoenolpyruvate	DB01819
Methylamine	DB01828
Canavanine	DB01833
O-Acetylserine	DB01837
Propylene_glycol	DB01839;DB04349
Dimethylformamide	DB01844
Kaempferol	DB01852
Uridine_diphosphate_glucose	DB01861
Epothilone	DB01873
Tropinone	DB01874
Benzophenone	DB01878
Hyperforin	DB01892
Glucose	DB09341;DB01914
Putrescine	DB01917
Pentanal	DB01919
Duroquinone	DB01927
5,7-Dichlorokynurenic_acid	DB01931
Arylomycin_A2	DB01934
Formic_acid	DB01942
Rolipram	DB01954
1,4-Butanediol	DB01955
Taurine	DB01956
3-Chlorophenol	DB01957
Urocanic_acid	DB01971
Thiamine_pyrophosphate	DB01987
Cholesterol_sulfate	DB01990
Coenzyme_A	DB01992
3-Methylpyridine	DB01996
Staurosporine	DB02010
Alrestatin	DB02020
Fidarestat	DB02021
Swainsonine	DB02034
Luminol	DB02041
Pentylamine	DB02045
Ribose_5-phosphate	DB02053
Gabaculine	DB02054
Prostaglandin_D2	DB02056
AMPA	DB02057
Cyclohexanone	DB02060
Cellobiose	DB02061
6-Phosphogluconic_acid	DB02076
Triglyme	DB02078
Aminooxyacetic_acid	DB02079
Dimethylglycine	DB02083
Isatin	DB02095
Cytidine	DB02097
Hadacidin	DB02109
Daidzin	DB02115
Glial_scar	DB02116
Butyramide	DB02121
Adamantanone	DB02125
Vanillic_acid	DB02130
Zenarestat	DB02132
Chlorophyll_a	DB02133
Xanthine	DB02134
Molybdenum_cofactor	DB02137
Butanol	DB02145
2,5-Xylidine	DB02163
Propidium_iodide	DB02166
Malonic_acid	DB02175
Phenylacetaldehyde	DB02178
Dithiothreitol	DB02184
Equilin	DB02187
Phenethyl_alcohol	DB02192
7-Nitroindazole	DB02207
S-Methylcysteine	DB02216
Taxifolin	DB02224
Maltodextrin	DB02237;DB12583
Laevulinic_Acid	DB02239
2-Ethoxyethanol	DB02249
Ilomastat	DB02255
Glyceraldehyde_3-phosphate	DB02263
Flufenamic_acid	DB02266
Argininosuccinate	DB02267
Porphobilinogen	DB02272
Protoporphyrin_IX	DB02285
Irosustat	DB02292
Isoamyl_alcohol	DB02296
Calcipotriol	DB02300
Cyclic_guanosine_monophosphate	DB02315
Isopropyl_alcohol	DB02325
Triethylene_glycol	DB02327
Carbenoxolone	DB02329
2-Methoxyestradiol	DB02342
Selenocysteine	DB02345
Aminobenzoic_acid	DB02362
Myricetin	DB02375
Guanine	DB02377
Nicotinamide_mononucleotide	DB02382
Tolrestat	DB02383
Neopterin	DB02385
Ethylmethylamine	DB02396
Tetrahydropyran	DB02412
2,4,6-Tribromophenol	DB02417
Geldanamycin	DB02424
Carboxyatractyloside	DB02426
Benzylamine	DB02464
Mafp	DB02465
1-Deoxy-D-xylulose_5-phosphate	DB02496
Farnesol	DB02509
Thymol	DB02513
Cyclic_adenosine_monophosphate	DB02527
Gamma-Aminobutyric_acid	DB02530
Isobutyric_acid	DB02531
Glyceraldehyde	DB02536
Fexaramine	DB02545
Vorinostat	DB02546
Phenylalanine	DB02556
Phosphoramidon	DB02557
Acrylic_acid	DB02579
Forskolin	DB02587
Deoxycytidine	DB02594
4-Hydroxyphenylglycine	DB02601
2-Butanol	DB02606
Latrunculin	DB02621
Homoserine_Lactone	DB02624
Terlipressin	DB02638
Fumagillin	DB02640
Chloral	DB02650
Filaminast	DB02660
1-Methylimidazole	DB02671
Cyanamide	DB02679
Glycocholic_acid	DB02691
Nicotinamide	DB02701
Fusidic_acid	DB02703
Resveratrol	DB02709
Sorbinil	DB02712
Acetamide	DB02736
Kifunensine	DB02742
Uridine	DB02745
Phthalic_acid	DB02746
Glycocyamine	DB02751
Pyrazole	DB02757
Sucrose	DB02772
Pregnenolone	DB02789
2-Methoxyethanol	DB02806
Canaline	DB02821
Dihydrogenphosphate	DB02831
Siroheme	DB02832
Domoic_acid	DB02852
Etiocholanolone	DB02854
Guanosine	DB02857
Calyculin	DB02860
Dihydrotestosterone	DB02901
Propionyl-CoA	DB02912
Zardaverine	DB02918
Piretanide	DB02925
JTV-519	DB02929
Diglyme	DB02935
Heptanoic_acid	DB02938
Fosmidomycin	DB02948
5-Hydroxytryptophan	DB02959
Rhamnose	DB02961
Benzimidazole	DB02962
N-Ethylmaleimide	DB02967
Bombykol	DB02982
Cacodylic_acid	DB02994
Metribolone	DB02998
Quisqualic_acid	DB02999
Peridinin	DB03001
Arsanilic_acid	DB03006
Lauric_acid	DB03017
Uridine_diphosphate_glucuronic_acid	DB03041
Dazoxiben	DB03052
Bromoform	DB03054
Malondialdehyde	DB03057
Acetoacetyl-CoA	DB03059
Zebularine	DB03068
Glycolic_acid	DB03085
Pyroglutamic_acid	DB03088
Scyllo-Inositol	DB03106
%CE%92-Alanine	DB03107
2-Chlorophenol	DB03110
Benzamidine	DB03127
Acetylcholine	DB03128
Perchlorate	DB03138
Flavin_adenine_dinucleotide	DB03147
Glucuronic_acid	DB03156
Acetic_acid	DB03166
Propanol	DB03175
Stearic_acid	DB03193
Sphingosine	DB03203
1-Deoxynojirimycin	DB03206
Deoxyadenosine_triphosphate	DB03222
Diphthamide	DB03223
2,2,2-Trifluoroethanol	DB03226
Flavin_mononucleotide	DB03247
Phenol	DB03255
Hexamethylenediamine	DB03260
Glutaraldehyde	DB03266
Fucose	DB15236;DB03283
CHES_(buffer)	DB03309
Glutathione_disulfide	DB03310
Brivudine	DB03312
Cephalosporin_C	DB03313
Heme_C	DB03317
Maltose	DB03323
BIA	DB03336
2-Mercaptoethanol	DB03345
Imidazole	DB03366
Federal_Insurance_Contributions_Act_tax	DB03384
4-Methylimidazole	DB03385
Hemin	DB03404
Gamma-Glutamylcysteine	DB03408
4-Hydroxycoumarin	DB03410
Uracil	DB03419
Ubenimex	DB03424
Cardiolipin	DB03429
Violaxanthin	DB03460
Nicotinamide_adenine_dinucleotide_phosphate	DB03461
Thymine	DB03462
Naringenin	DB03467
Heme	DB03469
Trypanothione	DB03470
7-Methylguanosine	DB03493
Alvocidib	DB03496
Equilenin	DB03515
Mevalonic_acid	DB03518
Glycoluril	DB03533
Norcamphor	DB03540
Glutaric_acid	DB03553
4-Hydroxybenzaldehyde	DB03560
Spermidine	DB03566
Butyric_acid	DB03568
Phencyclidine	DB03575
Glucose_6-phosphate	DB03581
Oxyphenbutazone	DB03585
Methylglyoxal	DB03587
1,2,4-Triazole	DB03594
Decanoic_acid	DB03600
Saccharic_acid	DB03603;DB13962
Tiratricol	DB03604
Diminazene	DB03608
Methylcobalamin	DB03614
Ribostamycin	DB03615
Deoxycholic_acid	DB03619
Adamantane	DB03627
3-Hydroxyanthranilic_acid	DB03644
Picric_acid	DB03651
N-Butylamine	DB03659
Digoxigenin	DB03671
Uridine_monophosphate	DB03685
Lanosterol	DB03696
Vanoxerine	DB03701
Cyclohexanol	DB03703
Bicine	DB03709
Neuraminic_acid	DB03721
4-Chlorobenzoic_acid	DB03728
3-Methylbutanoic_acid	DB03750
Tris	DB03754
Docosahexaenoic_acid	DB03756
Radicicol	DB03758
Propionic_acid	DB03766
Lactaldehyde	DB03776
Phenacetin	DB03783
Benzoic_acid	DB03793
Palmitic_acid	DB03796
Deoxyuridine_monophosphate	DB03800
Hexamidine	DB03808
Fucitol	DB03815
Gallocatechol	DB03823
Rhodamine_6G	DB03825
Formaldehyde	DB03843
Cilomilast	DB03849
Eucalyptol	DB03852
3-Mercaptopropane-1,2-diol	DB03864
Prostaglandin_G2	DB03866
Batimastat	DB03880
Phenylpyruvic_acid	DB03884
Biopterin	DB03886
Malachite_green	DB03895
Triphosphoric_acid	DB03896
Oxalic_acid	DB03902
Urea	DB03904
Phosphopantetheine	DB03912
Coenzyme_F420	DB03913
Phosphocholine	DB03945
Clorobiocin	DB03966
Ethanolamine	DB03994
Uridine_triphosphate	DB04005
Clorgiline	DB04017
Pseudotropine	DB04026
Ergosterol	DB04038
Coelenteramide	DB04049
Phosphinate	DB04053
Alpha-Ketoisovaleric_acid	DB04074
Hypoxanthine	DB04076
Undecanal	DB04093
Balanol	DB04098
Fotemustine	DB04106
N-Formylpiperidine	DB04113
Berberine	DB04115
Allolactose	DB04116
Nicotinyl_alcohol	DB04145
Pyrophosphoric_acid	DB04160
Propanamide	DB04161
Valpromide	DB04165
Anthranilic_acid	DB04166
Aceglutamide	DB04167
Fructose	DB04173
Benzofuran	DB04179
Norvaline	DB04185
Matairesinol	DB04200
Dequalinium	DB04209
Quercetin	DB04216
Vanadate	DB04219
Didecyldimethylammonium_chloride	DB04221
Sparsomycin	DB04222
Nitroarginine	DB04223
Oleic_acid	DB04224
G418	DB04263
Citric_acid	DB04272
N-Acetylserotonin	DB04275
Maleic_acid	DB04299
1-Methylcytosine	DB04314
2-phenylethylamine	DB04325
Dihydroxyacetone_phosphate	DB04326
Phosphatidylethanolamine	DB04327
Isoquinoline	DB04329
Monastrol	DB04331
Inosine	DB04335
Carbocisteine	DB04339
Glyoxylic_acid	DB04343
3-Dehydroshikimic_acid	DB04347
Taurocholic_acid	DB04348
Argadin	DB04350
Arecoline	DB04365
Meglutol	DB04377
Allantoic_acid	DB04380
Crotonaldehyde	DB04381
Lactic_acid	DB04398
4-Nitrophenol	DB04417
Mercury(II)_iodide	DB04445
Arsenous_acid	DB04456
Coproporphyrinogen_III	DB04461
N-Formylmethionine	DB04464
Lactose	DB04465
Afimoxifene	DB04468
Thymidine	DB04485
Acedoben	DB04500
Bornane	DB04501
Chlorophyll_b	DB04506
3-Phosphoglyceric_acid	DB04510
Methoxypyrazines	DB04512
Caprylic_acid	DB04519
Malonyl-CoA	DB04524
2,4-Dinitrophenol	DB04528
Indole	DB04532
Glyphosate	DB04539
Cholesterol	DB04540
Afegostat	DB04545
Niflumic_acid	DB04552
Gluconolactone	DB04564
Inosinic_acid	DB04566
Latamoxef	DB04570
Trioxsalen	DB04571
Thiotepa	DB04572
Estriol	DB04573
Estropipate	DB04574
Quinestrol	DB04575
Fleroxacin	DB04576
Aniracetam	DB04599
Acetophenone	DB04619
Cycloleucine	DB04620
Apramycin	DB04626
Aldosterone	DB04630
Corticosterone	DB04652
Alpha-GPC	DB04660
Coumarin	DB04665
Camptothecin	DB05806;DB04690
Gamma-Butyrolactone	DB04699
Hesperidin	DB04703
Iodipamide	DB04711
Licofelone	DB04725
Citraconic_acid	DB04734
Myxothiazol	DB04741
Nimesulide	DB04743
Lawsone	DB04744
CDK_inhibitor	DB15442;DB04751
Sulfatide	DB04780
Streptolydigin	DB04785
Suramin	DB04786
Tanaproget	DB04787
Tagetitoxin	DB04788
5-Methyltetrahydrofolate	DB04789
Bifonazole	DB04794
Thenoyltrifluoroacetone	DB04795
Triazolopyridine	DB04797
Virginiamycin_S1	DB04805
Neamine	DB04808
Benoxaprofen	DB04812
Bithionol	DB04813
Clioquinol	DB04815
Danthron	DB04816
Metamizole	DB04817
Iproniazid	DB04818
Methapyrilene	DB04819
Nialamide	DB04820
Nomifensine	DB04821
Oxeladin	DB04822
Oxyphenisatine	DB04823
Phenolphthalein	DB04824
Prenylamine	DB04825
Thenalidine	DB04826
Urethane	DB04827
Zomepirac	DB04828
Lysergic_acid_diethylamide	DB04829
Buformin	DB04830
Ticrynafen	DB04831
Zimelidine	DB04832
Methaqualone	DB04833
Rapacuronium	DB04834
Maraviroc	DB04835
Amineptine	DB04836
Clofedanol	DB04837
Cyclandelate	DB04838
Cyproterone_acetate	DB04839
Debrisoquine	DB04840
Flunarizine	DB04841
Fluspirilene	DB04842
Mepenzolate	DB04843
Tetrabenazine	DB04844
Ixabepilone	DB04845
Celiprolol	DB04846
Roxadustat	DB04847
AZD2171	DB04849
Posizolid	DB04850
Biricodar	DB04851
Febuxostat	DB04854
Dronedarone	DB04855
Dexloxiglumide	DB04856
Brasofensine	DB04857
Tirapazamine	DB04858
Nebivolol	DB04861
Huperzine_A	DB04864
Omacetaxine_mepesuccinate	DB04865
Halofuginone	DB04866
Nilotinib	DB04868
Olcegepant	DB04869
Oleoyl-estrone	DB04870
Lorcaserin	DB04871
Osanetant	DB04872
Piboserod	DB04873
Picoplatin	DB04874
Vildagliptin	DB04876
Voacamine	DB04877
Voglibose	DB04878
Vatalanib	DB04879
Enoximone	DB04880
Darusentan	DB04883
Dapoxetine	DB04884
Cilansetron	DB04885
Calanolide_A	DB04886
Brecanavir	DB04887
Bifeprunox	DB04888
Bicifadine	DB04889
Bepotastine	DB04890
Vapreotide	DB04894
Pegaptanib	DB04895
Milnacipran	DB04896
Lucinactant	DB04897
Ximelagatran	DB13616;DB04898
Nesiritide	DB04899
Galiximab	DB04901
Pagoclone	DB04903
Tesmilifene	DB04905
Flibanserin	DB04908
Oxibendazole	DB04910
Oritavancin	DB04911
Renzapride	DB04917
Ceftobiprole	DB04918;DB14733
Clevidipine	DB04920
Dirucotide	DB04921
Itopride	DB04924
Desmoteplase	DB04925
Neramexane	DB04926
Permethrin	DB04930
Melanotan	DB04931
Defibrotide	DB04932
Eritoran	DB04933
Rifalazil	DB04934
Tagatose	DB04936
Ospemifene	DB04938
Crofelemer	DB04941
Tamibarotene	DB04942
Acadesine	DB04944
Hemoglobin	DB04945
Iloperidone	DB04946
Altropane	DB04947
Lofexidine	DB04948
Pexelizumab	DB04949
Ranpirnase	DB04950
Pirfenidone	DB04951
Ramoplanin	DB04952
Retigabine	DB04953
Pumactant	DB04955
Afelimomab	DB04956
Azimilide	DB04957
Epratuzumab	DB04958
HspE7	DB04959
Tipifarnib	DB04960
Troxacitabine	DB04961
Bectumomab	DB04962
Oregovomab	DB04964
Lucanthone	DB04967
PH94B	DB04968
Lesopitron	DB04970
Plitidepsin	DB04977
Talampanel	DB04982
Denufosol	DB04983
Satraplatin	DB04996
Imexon	DB05003
Adecatumumab	DB05006
Ingenol_mebutate	DB05013
Belinostat	DB05015
Ataluren	DB05016
Migalastat	DB05018
Amonafide	DB05022
Arimoclomol	DB05025
Atrial_natriuretic_peptide	DB05034;DB15591
Indacaterol	DB05039
CX717	DB05047
Erdosteine	DB05057
SRT501	DB05073
Fenretinide	DB05076
SLV319	DB05077
Abaloparatide	DB05084
Ganaxolone	DB05087
Tetrathiomolybdate	DB05088
CDP323	DB05092
Cimicoxib	DB05095
LY2140023	DB05096
Labetuzumab	DB05097
Leptin	DB05098
Ancrod	DB05099
Prinomastat	DB05100
Matuzumab	DB05101
Asimadoline	DB05104
Pleconaril	DB05105
Trabectedin	DB05109
Fontolizumab	DB05111
Thymectacin	DB05116
Aminocandin	DB05128
Elsamitrucin	DB05129
Tanespimycin	DB05134
Vibriolysin	DB05135
Bavituximab	DB05136
Lobeline	DB05137
LY2181308	DB05141
Pretomanid	DB05154
CR665	DB05155
Elafin	DB05161
EC145	DB05168
Aurora_inhibitors	DB05169
Elafibranor	DB05187
Sofalcone	DB05197
CX157	DB05205
Rozrolimupab	DB05209
Crisaborole	DB05219
Alisertib	DB05220
Pracinostat	DB05223
Beraprost	DB05229
Tetrodotoxin	DB05232
Mannose_binding_lectin	DB05237
Cobimetinib	DB05239
Silver_sulfadiazine	DB05245
Methsuximide	DB05246
Proellex	DB05253
Plasmin	DB05254
Interferon	DB05258
Glatiramer_acetate	DB05259
Gallium_nitrate	DB05260
Oxipurinol	DB05262
Ibudilast	DB05266
Rotigotine	DB05271
Samarium_(153Sm)_lexidronam	DB05273
MCC	DB05282
Combretastatin	DB05284;DB12596
Anecortave	DB05288
