UniRef100_P31946	P31946;V9HWD6
UniRef100_A8MWU7	A8MWU7
UniRef100_G5EA03	G5EA03;B7Z656
UniRef100_Q6PJI1	Q6PJI1
UniRef100_Q5STB1	Q5STB1
UniRef100_L0R849	L0R849
UniRef100_I3L530	I3L530
UniRef100_Q32MM7	Q32MM7;Q9UPJ5;M0R1P5;V9GYP2;Q9P1U3
UniRef100_A0A024R3E8	A0A024R3E8
UniRef100_A0A0B4J1T7	A0A0B4J1T7
UniRef100_A0A2R8Y7T2	A0A2R8Y7T2
UniRef100_A0A2J8Q1D0	C9JM35;G3V4I3;F8W1M3;F8VNZ9;G3V327
UniRef100_A8MXK4	A8MXK4
UniRef100_C9IZY1	C9IZY1
UniRef100_E5KSL6	E5KSL6;Q9BVK7
UniRef100_A0A0D9SFD0	A0A0D9SFD0
UniRef100_A0A2R8Y4U4	A0A2R8Y4U4;Q5TFD1
UniRef100_A8K182	A8K182
UniRef100_A0A2I2Z6T2	B4DGG3
UniRef100_B8ZZG1	B8ZZG1
UniRef100_J3KSB8	J3KSB8
UniRef100_B4DIP9	B4DIP9
UniRef100_C7DTU9	C7DTU9;A0A023J7R6
UniRef100_A0A182DWE8	A0A182DWE8
UniRef100_A0A024RD43	A0A024RD43
UniRef100_D3DXG7	D3DXG7
UniRef100_E9PIU7	E9PIU7;E9PS03;E9PLV8
UniRef100_F5GZC3	F5GZC3
UniRef100_B4DK72	B4DK72;Q7Z364;B3KX78
UniRef100_Q9P192	Q9P192
UniRef100_A0A1W2PNZ5	A0A1W2PNZ5;A0A1W2PP91
UniRef100_B9VJ65	B9VJ65
UniRef100_G9LC85	G9LC85
UniRef100_A0A5P9RNN1	A0A5P9RNN1
UniRef100_B3KPM4	B3KPM4
UniRef100_A0A3B3ITR7	A0A3B3ITR7
UniRef100_A0A024RAF9	A0A024RAF9
UniRef100_B2D5P9	B2D5P9
UniRef100_Q5XG96	Q5XG96
UniRef100_C9JZ71	C9JBC5;C9JAU2;C9JZ71;C9JCL4
UniRef100_J3QQR9	J3QQR9
UniRef100_W4VSQ7	W4VSQ7
UniRef100_E7EM70	Q2I9M3;C9JZQ4;E7EM70;Q2I9L9;Q2I9M2
UniRef100_A0A024R4B6	A0A024R4B6
UniRef100_C9J4A3	C9J4A3
UniRef100_E9PPC6	E9PPC6
UniRef100_A1A4E9	A1A4E9
UniRef100_Q7Y6H2	Q7Y6H2
UniRef100_A8QTM8	A8QTM8
UniRef100_B1APY9	B1APY9
UniRef100_H3BU94	H3BU94
UniRef100_B7ZLP8	B7ZLP8
UniRef100_M0QY80	M0QY80
UniRef100_Q5FBZ0	Q5FBZ0;A0A1W2PRX7
UniRef100_A0A385JFI2	A0A385JFI2;A0A455JT46;A0A493QPD5;A0A455JT17;A0A455JXD4;A0A455JWF7;A0A455JXC2;A0A4P2SSY7;A0A173ADP7;A0A455JXE0;A0A493QPD6;Q67AJ9;A0A3S6RH40;A0A493QPC6;A0A090KKL2;D9UAW3;A0A455JSW5;A0A5H2UDG2;A0A493QPD1;A0A455JT08;A0A4P2SSJ8;A0A455JWK9;A0A3S6RH67;A0A1W2HCD4;A0A5H2UE15;A0A0G4PZ19;A0A455JT38;A0A455JUG1;A0A3S6RJ15;A0A3S6RJB7;A0A2S0SYT8;A0A455JUU2;A0A455JW97;A0A4P2SUC7;A0A455JWB7;A0A455JW73;A0A5H2USX9;A0A5H2UTK7;A0A493QPD4;A0A455JWP9;A0A455JWH1;A0A455JUX3;A0A455JWP6;A0A4P2SS92;A0A3S6RJE0;A0A455JUK3;Q67AJ7;A0A493QPD7;A0A4P2SUU9;A0A5H2UXB3;A0A455JXE9;A0A455JUI2;A0A3S6RH64;A0A3S6RH68;A0A455JWN0;Q67AJ8;A0A455JWK7;A0A455JWG8;A0A173ADH8;A0A455JW89;A0A455JUS6;A0A493QPC2;A0A4P2SSA1;A0A3S6RH11;A0A0A7C9Z9;U5IQF4;A0A0A7C8Z5;A0A0E3DDL1;M1SQG8;A0A0G2R159;A0A0A7C5W7;A0A109VDV5;A0A0N6W7L0;A0A0A7C9E2;A0A0X7YNG6;A0A1L2BMH3;A0A0E3DCD5;A0A1S5QRA0;A0A0N7A4Z0;A0A0A7C9B0;Q30153;A0A0N6W7K9;L0BX61;A0A1L2BMI7;A0A2D1C453;A0A1C8DTJ6;A0A0A7C955;M4MEX0;A0A0E3DCI3;A0A1X9I4J9;A0A286MC90;L0BVR4;A0A0A7CAH8;A0A0A7C767;U5IQI7;A0A0A7C7F1;A0A0A7C9A5;Q29998;A0A1L2BMF4
UniRef100_K9M1A9	K9M1A9
UniRef100_A0A087WYP8	A0A087WYP8
UniRef100_A0A2R8Y6Q1	A0A2R8Y6Q1
UniRef100_G5E9W7	G5E9W7
UniRef100_F5H031	F5H031
UniRef100_E5RGK7	E5RGK7
UniRef100_G5EA21	G5EA21
UniRef100_Q5T1Z4	Q5T1Z4
UniRef100_W8DEK8	W8DEK8
UniRef100_B9TX11	B9TX11
UniRef100_H0Y330	H0Y330
UniRef100_A0A0D9SG12	A0A0D9SG12
UniRef100_G5E9Z9	G5E9Z9
UniRef100_Q8TCC6	Q8TCC6
UniRef100_B8X669	B8X669;A0S2J8
UniRef100_B4DP52	B4DP52;F6UJC5;A0A140TA18
UniRef100_Q8IUN5	Q8IUN5
UniRef100_C7SDQ5	C7SDQ5
UniRef100_I3L3D3	I3L3D3
UniRef100_A9UJP9	A9UJP9
UniRef100_A0A2I3RAB9	Q96KT3
UniRef100_C9D643	C9D643
UniRef100_G3V2R1	G3V2R1
UniRef100_H7C5T8	H7C5T8
UniRef100_A0A0A0MT58	Q5JRI7;A0A0A0MT58;Q5JRI8
UniRef100_A0A024R8F9	A0A024R8F9
UniRef100_A0A143FZ63	A0A143FZ63
UniRef100_D6RBS8	D6RBS8
UniRef100_B9EGD7	B9EGD7
UniRef100_F5H7T0	F5H7T0
UniRef100_L0B3Z2	L0B3Z2
UniRef100_A0A024RAF4	A0A024RAF4
UniRef100_Q5T249	Q5T249
UniRef100_Q6P2G0	Q6P2G0
UniRef100_A3RMP9	A3RMP9
UniRef100_D3DVS0	D3DVS0
UniRef100_Q147U6	Q147U6
UniRef100_A0A2R9AJS0	C9JQ14;C9JP39;C9JT76;C9J103
UniRef100_F8VXG8	F8VXG8
UniRef100_C6K6H4	C6K6H4;G8GJB8;Q8WM99;D3U3M1;Q29663;F4YJT4;Q95HM0
UniRef100_A0A059RKL5	A0A059RKL5
UniRef100_A0A3B3ISJ6	A0A3B3ISJ6
UniRef100_Q0VGD4	Q0VGD4
UniRef100_A0A0D9SF70	A0A0D9SF70;E9PQP3
UniRef100_A0A2R8Y6J5	A0A2R8Y6J5
UniRef100_A0A024R9A7	A0A024R9A7
UniRef100_A0A0A8KB75	A7UKX8;A0A0A8KB75
UniRef100_A0A286YFF1	A0A286YFB5;A0A286YFF1
UniRef100_Q9P1I8	Q9P1I8
UniRef100_Q6MZR7	Q6MZR7
UniRef100_A0A1U7U304	Q8IU64
UniRef100_Q1JUQ5	Q1JUQ5
UniRef100_C8Y8P1	C8Y8P1
UniRef100_Q2HIZ1	Q2HIZ1
UniRef100_Q3MIM8	Q3MIM8
UniRef100_A0A023QG09	A0A023QG09
UniRef100_B3KU87	B3KU87
UniRef100_Q30085	Q30085;Q67AE6;Q67AE5;Q67AE3;Q67AE4;Q67AE7
UniRef100_D3DPC4	D3DPC4;E7EW60
UniRef100_M0R2K0	M0R2K0
UniRef100_Q6ZN40	Q6ZN40
UniRef100_Q5BQ97	Q5BQ97
UniRef100_B3KT66	B3KT66
UniRef100_Q86U68	Q86U68
UniRef100_Q6NSM0	Q6NSM0
UniRef100_F2Z3F0	F2Z3F0
UniRef100_I3L0W5	I3L0W5
UniRef100_F2Z2V8	F2Z2V8
UniRef100_B4DEM9	B4DEM9
UniRef100_Q9B186	Q9B186
UniRef100_E9PBK2	E9PBK2
UniRef100_B3GTF2	B3GTF2
UniRef100_D6REW1	D6REW1
UniRef100_B7ZKJ8	B7ZKJ8
UniRef100_G3V170	G3V170
UniRef100_A0A1B0GTM1	A0A1B0GTM1
UniRef100_F2Z2M3	F2Z2M3
UniRef100_A0A024R0K5	A0A024R0K5
UniRef100_F2WGK0	F2WGK0
UniRef100_Q5S9Q5	Q5S9Q5
UniRef100_F8W8H2	F8W8H2
UniRef100_B0Z776	B0Z776
UniRef100_A0A0B4J2E2	A0A0B4J2E2
UniRef100_A0A0J9YXZ6	A0A0J9YXZ6
UniRef100_A0A5P9RQ46	A0A5P9RQ46
UniRef100_Q2QBA2	Q2QBA2
UniRef100_A8MUS3	A8MUS3
UniRef100_H0YM74	H0YM74
UniRef100_A0A1W2PPG5	A0A1W2PPG5
UniRef100_H3BPD6	H3BTE4;H3BPD6
UniRef100_D3DR41	D3DR41
UniRef100_F5H702	F5H702
UniRef100_B3KWG5	B3KWG5
UniRef100_F2Z2F8	F2Z2F8
UniRef100_A0A2R8Y4Q6	B3KQY3;A0A2R8Y4Q6
UniRef100_F1RGJ2	E5RGS1;E5RHR7;E5RJP7;E5RJ43;E5RFM5;E5RFG3;E5RHJ5;E5RHY5;E5RGG4;E5RGD2;E5RJC9;E5RGU3;E5RFK9
UniRef100_D3DNJ2	D3DNJ2
UniRef100_M4PM71	M4PM71
UniRef100_Q6VIL5	Q6VIL5;Q4F224
UniRef100_S4R3J5	S4R3J5
UniRef100_H0YCP7	H0YCP7
UniRef100_H9T3K9	H9T3K9
UniRef100_B4DGY6	B4DGY6
UniRef100_G9LGE9	G9LGE9
UniRef100_R9Y628	R9Y628
UniRef100_Q4GTI4	Q4GTI4
UniRef100_A0A087WU55	A0A087WZQ9;A0A087WU55
UniRef100_G5E9C8	G5E9C8;Q59GG9
UniRef100_C9JYQ7	C9JYQ7
UniRef100_H0YNL7	H0YNL7
UniRef100_Q8IXN4	Q8IXN4
UniRef100_I3NI27	I3NI27
UniRef100_H3BQR5	H3BQR5
UniRef100_K7EM15	K7EM15
UniRef100_D3VVH9	D3VVH9
UniRef100_D6RED5	D6RED5
UniRef100_A0A0G2JM19	K9J956;A0A0G2JM19;Q8WXR7
UniRef100_H0YN47	H0YN47;H0YMX7;H0YN94;H0YMF2;H0YKQ6
UniRef100_K7EII9	K7EII9;Q9UNV5
UniRef100_X6R8R1	X6R8R1
UniRef100_B7Z4W8	B7Z4W8
UniRef100_F5GXS0	F5GXS0
UniRef100_H3BR27	H3BR27
UniRef100_A0A5H2UVQ2	A0A5H2UVQ2;A0A4Y5RV54
UniRef100_Q6DTY1	Q6DTY1
UniRef100_E9PI00	E9PI00
UniRef100_H3BRM8	H3BRM8
UniRef100_A0A1U9X7T9	A0A1U9X7T9
UniRef100_C9J104	C9J104
UniRef100_A0A1Y8EMM2	A0A1Y8EMM2
UniRef100_B4DRC2	B4DRC2
UniRef100_B4DH88	B4DH88
UniRef100_B7Z6C8	B7Z6C8
UniRef100_A0A024R2M8	A0A024R2M8
UniRef100_G3V1K5	G3V1K5
UniRef100_Q5FBX5	Q5FBX5
UniRef100_A0A024QZ36	A0A024QZ36;J3KTB3
UniRef100_H7C3A5	H7C3A5
UniRef100_Q4F1M8	Q4F1M8
UniRef100_C9IYN3	C9IYN3
UniRef100_Q6RR93	Q6RR93
UniRef100_A0A343FCB5	A0A343FCB5
UniRef100_B3KW33	B3KW33
UniRef100_B8ZZB3	B8ZZB3
UniRef100_E7EN89	E7EN89
UniRef100_A0A087WT53	A0A087WT53
UniRef100_Q676U5-5	C9JAY7
UniRef100_D6RCS6	D6RCS6
UniRef100_Q14018	Q14018
UniRef100_B9VJ61	B9VJ61
UniRef100_F8WE63	F8WE63
UniRef100_A8MZB2	A8MZB2
UniRef100_G3V1K8	G3V1K8
UniRef100_Q6RME0	Q6RME0;Q5Q4X1
UniRef100_A0A2R8Y851	A0A2R8Y851
UniRef100_D6R9F4	D6R9F4
UniRef100_A0A0C7DW92	A0A0C7DW92
UniRef100_F5GY51	F5GY51
UniRef100_A0A0C4ZN30	A0A0C4ZN30;Q8NHJ0
UniRef100_Q2Z196	Q2Z196
UniRef100_A0A087WU33	A0A087WU33
UniRef100_Q8TCE1	Q8TCE1
UniRef100_A6XGL2	A6XGL2
UniRef100_Q2KJU6	Q2KJU6
UniRef100_G5D8J7	G5D8J7
UniRef100_A0A2J8T5M7	M0QXD4
UniRef100_A0A182AU54	A0A182AU54;A0A1C8DV78;A0A1C8DV62
UniRef100_B4DEH8	B4DEH8
UniRef100_G3V105	G3V105
UniRef100_I3L3S9	I3L3S9
UniRef100_G9LMS2	G9LMS2
UniRef100_B3VCF4	B3VCF4
UniRef100_Q5I0Y5	Q5I0Y5
UniRef100_E9JWL7	E9JWL7
UniRef100_Q8WWV1	Q8WWV1
UniRef100_H3BTY1	H3BTY1
UniRef100_G3V210	G3V210
UniRef100_Q15HL1	Q15HL1
UniRef100_E9PI50	E9PI50
UniRef100_A0A2J8K6N7	Q96T34
UniRef100_D6W660	D6W660
UniRef100_C5IYE8	C5IYE8;U6BN63;A0A583ZBB4;C3VIR4;F4YTC6;A0A0N9MI69;A0A290Y5S4;A0A1L4FR13;A0A0N7A4B3;D1MEK4;F4YTC5;Q2LC92;F4NBP7;A0A0E3DDB6;A0A1X9I3X0
UniRef100_G3V186	G3V186
UniRef100_A0A140TA36	A0A140TA36;A0A0G2JIA5
UniRef100_Q9HB50	Q9HB50
UniRef100_A0A0F7NGI8	A0A0F7NGI8
UniRef100_A0A059QNK0	A0A059QNK0
UniRef100_V9JYL6	V9JYL6
UniRef100_C9IYH2	C9IYH2
UniRef100_A8K1X2	A8K1X2
UniRef100_E9PJZ6	E9PL93;E9PJZ6
UniRef100_B4DXA6	B4DXA6
UniRef100_G3V1N2	G3V1N2;P78461
UniRef100_Q9BSL6	Q9BSL6
UniRef100_A0A0U5Q0F9	A0A0U5Q0F9;A0A173ADQ5
UniRef100_H9A7H1	H9A7H1
UniRef100_A0A1N7SYI3	A0A1N7SYI3;Q9BD44
UniRef100_Q5I0G2	Q5I0G2;Q9UP51;V9H0U8
UniRef100_Q8WCW5	Q8WCW5
UniRef100_D3DVA5	D3DVA5
UniRef100_G5D823	G5D823
UniRef100_H9PUS7	H9PUS7
UniRef100_H9PV83	H9PV83
UniRef100_A0A0S2Z413	A0A0S2Z413
UniRef100_A0A1C3PI48	A0A1C3PI48;D5GXL3
UniRef100_Q7Z3Z5	Q7Z3Z5
UniRef100_A0A024RB36	A0A024RB36
UniRef100_Q96GW1	Q96GW1
UniRef100_G3V120	G3V120
UniRef100_A6Z901	A6Z901
UniRef100_B7Z8B3	B7Z8B3
UniRef100_B4DGI9	B4DGI9
UniRef100_Q5Y7B6	Q5Y7B6;A0A5H2UFP2;S6AU78;A0A4V0NPA5;A0A5H2UCN3;A0A5H2UDB2;A0A3S6RGC4;A0A3S6RGK2;C3W973;A0A3S6RGB6;A0A5H2UCL2;A0A4P2SSL1;A0A5H2UFI1;A0A1L7H6X3;A0A4P2SRU9;Q9TQD9;A0A1W2HC25;A0A5H2UWK7;A0A5H2URG8;A0A1J0A2H5;A0A346DAQ6;A0A3S6RGQ4;A0A3S6RJ16;A0A493QP78;A0A5H2UT54;Q9TQD8;W0GCN6;H2BDS1;A5I890;A0A5A4LLE8;J7FM92;F1CCQ0;Q860S7;Q5GMP5;E1U683;F1CCP2;M9P9E3;C8CJC8;S0F3B8;A0AQX9;C7FDW6;G1EN07;G1EN12;S5UGG7;A0A0N7A4L6;C7FDW7;A0A0A7C3L8;S5TRF5;C7FDW8;A0A1S5QRE3;M9PAK9;D9U3I2;A0A0X7YVJ2;F8RHN3;A0A0X7YJ88;A4Q970;H8WV74;F2X669;Q9TQ42;D5M8A4;M9PAJ2;A0A0E3DDS7;A0A1C8DTN2;M9PAI8;F4NBM5;C8XTK7;T1R377;F2VP96;R4QQZ7;M9P9R2;Q5ND94;I6NN36;F8RHN2;E1V2J4;D3U4E7;S5UF48;A0A2I4PZX8;F8RHK8;A0A0X7YK30;J7F672;E1U686;F1CCP3;F6KS21;C8XTL0;G1EN14;E2GLP8;A0A0A7C3H6;J7FK30;Q9BCT6;H9AWW8;F1CCN1;O19667;H8WV75;A0A141AZJ3;H2AM03;I7APH6;M9P9B0;D5FZP3;M9PA07;F4NBM6;G0WVD5;A0AQY0;A0A0A7CAY8;P79486;D6CJD0;C8XTJ7
UniRef100_S6B6Q1	S6B6Q1;A0A3S6RJI3;A0A5H2UUA2;Q59GY1;A0A5A4LIW1;A0A0E3DDE7;Q67AT3;Q49U46;Q49U54;Q49U66;A0A3S6RHJ4;A0A186VP72;A0A180H729;Q67AS1;A0A1S5QRN5;A0A0N7A6V8;A0A120GWF0;Q49U70;Q49U64;A0A1X9I4F4;A0A1W1B5M5;Q49U58;Q49U52;A0A0E3DCR1;A0A1C8DX53;Q67AQ0;Q49U72;A0A1L2BMP2;A0A1S5QRK3;A0A2U7N385;A0A0A7C7H2;A0A1S5QRI8;A0A0A7C5R5;Q67AQ5;Q67AS5;Q67AP7;Q67AS4;Q67AQ2;Q49U34;A0A1C8DTW6;A0A2U7NI25;A0A2H4G0K8;Q67AP4;Q67AT0;A0A0N7A714;Q49U44;A0A1S5QRN1;Q67AQ4;Q67AQ1;A0A0A7C566;A0A3G2FQ21;Q67AP5;Q67AP9;A0A0E3DCV6;A0A2H4G4I4;A0A1S5QRL5;A0A0K0KRU3;A0A2U7NMV4;A0A0A7C7G8;A0A1X9I4L2;Q30037;A0A186VNL9;Q67AP0;Q67AR2;A0A2H4G009;Q49U62;A0A0K0KS82;A0A288QDI4;A0A1S5QRM9;Q49U56;A0A1B1TK44;A0A1X9I563;A0A2U8RNL1;Q49U28;Q49U30;Q67AQ3;A0A0X7YZ06;Q67AS6;A0A0A7C8N6;Q49U38;A0A0A7CA78;Q67AP3;Q67AR3;Q49U50;Q30012;A0A2K4N813;Q49U32;A0A0K0KRZ8;Q49U42;O19686;A0A3S6RHK5;Q67AT7;Q67AP8;Q67AS7;X5D2T4;Q49U48;A0A0E3DDH8
UniRef100_H7C1C9	H7C1C9
UniRef100_B7Z3B5	B7Z3B5
UniRef100_Q53XY6	Q53XY6
UniRef100_Q68CR8	Q68CR8
UniRef100_A0A024R326	A0A024R326
UniRef100_E5RHD5	E5RHD5
UniRef100_A0A2R8Y594	A0A2R8Y594
UniRef100_C9JHT8	C9JHT8
UniRef100_A0A0A0MQS2	A0A0A0MQS2
UniRef100_A0A087WWM6	E7EQL6;A0A087WWM6;C9JIW4
UniRef100_A0A345AKD5	A0A345AKD5
UniRef100_X5BDH6	X5BDH6
UniRef100_H0Y6P8	H0Y6P8;A0A140T9C1;A0A140T9M8
UniRef100_A8MSG4	A8MSG4
UniRef100_A0A0D9SG04	B3KMG7;A0A0D9SG04
UniRef100_A0A024R1J9	A0A024R1J9
UniRef100_F2Z2I0	F2Z2I0
UniRef100_H3BRR4	H3BRR4
UniRef100_A0A024R2J4	A0A024R2J4
UniRef100_D6N3K8	D6N3K8
UniRef100_G5EA27	G5EA27
UniRef100_H0YM43	H0YM43
UniRef100_I3L3L8	I3L3L8
UniRef100_B4DZB7	B4DZB7
UniRef100_F1D8S6	F1D8S6
UniRef100_A0A1J0QVD8	A0A1J0QVD8
UniRef100_Q8HG18	Q8HG18
UniRef100_A0A024R485	A0A024R485
UniRef100_B2R5K7	B2R5K7
UniRef100_B4E3E2	B4E3E2
UniRef100_Q15HH9	Q15HH9;X2D4D6
UniRef100_C9JES0	C9JES0
UniRef100_A1L2Z2	A1L2Z2;M0QY43
UniRef100_A0A024R923	A0A024R923;B3KQ87
UniRef100_F5GX94	F5GX94
UniRef100_Q5FBZ4	Q5FBZ4
UniRef100_K7EQ86	K7EQ86
UniRef100_G3V3E6	G3V3E6
UniRef100_A0A024R3S7	A0A024R3S7
UniRef100_A0A2I3SJR0	B4DQ67
UniRef100_A0A494C0Y4	A0A494C0Y4;J3KR33
UniRef100_D3DRC0	D3DRC0;A0A0C4DFS9
UniRef100_H3BU36	H3BU36
UniRef100_A0A5F9ZHN0	A0A5F9ZHN0
UniRef100_A7LFH4	A7LFH4
UniRef100_Q5XFT9	Q5XFT9
UniRef100_A0A0A0MS75	A0A0A0MS75
UniRef100_Q14DE1	Q14DE1
UniRef100_A0A2R8YH53	A0A2R8YH53
UniRef100_G3V3L8	G3V2Q6;G3V3L8
UniRef100_A0A024RA81	A0A024RA81
UniRef100_Q5CZB7	Q5CZB7
UniRef100_H9LPH4	Q5XRR7;H9LPH4;C7SJD6
UniRef100_A6YZJ2	A6YZJ2
UniRef100_Q7YCF0	Q7YCF0
UniRef100_G5EA44	G5EA44
UniRef100_V9GYT0	V9GYT0
UniRef100_K7ER32	K7ER32
UniRef100_D6W526	D6W526
UniRef100_B4DTF2	B4DTF2
UniRef100_H3BU10	H3BU10
UniRef100_K4JQN1	K4JQN1
UniRef100_B4E0W7	B4E0W7
UniRef100_A0A2J8WSB5	M9MML5
UniRef100_A0A087X1V4	A0A087X1V4
UniRef100_B1ALU3	B1ALU3
UniRef100_A0A5A4M307	A0A5A4M307
UniRef100_D6RGI3	D6RGI3
UniRef100_M0QX16	M0QX16;Q6ZML0
UniRef100_Q7YCG8	Q7YCG8
UniRef100_B2XM03	B2XM03
UniRef100_B3KSH4	B3KSH4
UniRef100_B2XLD1	B2XLD1
UniRef100_F8WBU4	F8WBU4
UniRef100_F1D8N3	F1D8N3
UniRef100_G3V3U4	G3V3U4
UniRef100_Q1MSW9	Q1MSW9
UniRef100_B4DEK6	B4DEK6
UniRef100_B2CM71	B2CM71
UniRef100_G3XAP1	G3XAP1
UniRef100_Q5H928	Q5H928
UniRef100_Q504Y1	Q504Y1
UniRef100_H6WGQ1	H6WGQ1
UniRef100_Q7YEE0	Q7YEE0
UniRef100_B4DGA7	B4DGA7
UniRef100_I4ENP2	I4ENP2;A0A1C8DWQ0;A0A0K0KRB0;I3VZ15;E0WMY6;A0A120GWB0;R4QT67;N0A2T9;A0A0N7A678;E2D5R0;D5FZM0;K9LC40;Q3LZI3;I3UI76;J7GM11;D6MKT1;G0KXG3;A0A1S5QQY9;D7NQW5;Q95IA2;A0A2I4PZ96;E3SWI4;A0A1C8DSI7;R4ZGQ8;A0A0A7C7H8;D5FHW0;W5REB5;T1WF39;F8R197;U6BR87;A0A1L2BM68;E7BBA2;D6MJF3;L7PG30;E7BYB8;Q6EZG1;F2VNN8;E3SG97;A0A186VN55;A0A1X9I4H3;D5FWE0
UniRef100_J7HPX5	J7HPX5
UniRef100_F1T0K3	F1T0K3
UniRef100_D3DNC2	D3DNC2
UniRef100_G5D8R7	G5D8R7
UniRef100_V9N397	V9N397
UniRef100_F2Z3J6	F2Z3J6
UniRef100_Q9HB44	Q9HB44
UniRef100_A6Z638	A6Z638
UniRef100_E7EX18	D6W556;C9J473;E7EX18
UniRef100_H0Y426	H0Y426
UniRef100_A8JL28	A8JL28
UniRef100_E9PJD4	E9PJD4
UniRef100_Q96L30	Q96L30
UniRef100_F8WAL6	F8WAL6
UniRef100_I3L3G9	I3L2S8;I3L3G9
UniRef100_A0A0N6YMJ0	A0A0N6YMJ0
UniRef100_E9PIE9	E9PIE9
UniRef100_F2Z3H6	F2Z3H6
UniRef100_A0A343V4Y1	A0A343V4Y1
UniRef100_E7DBM8	E7DBM8
UniRef100_A0A087X0Q6	A0A087X0Q6
UniRef100_F2Z3E3	F2Z3E3
UniRef100_A0A1W2PRA8	A0A1W2PPH0;A0A1W2PQ31;A0A1W2PRA8;A0A1W2PPJ2;A0A1W2PSB5;A0A1W2PNS7;A0A1W2PP27;A0A1W2PRU4;A0A1W2PP89;A0A1W2PQG3;A0A1W2PPG3
UniRef100_B4DE36	K7EPY4;A0A0J9YX90;B4DE36
UniRef100_E9PLA2	E9PLA2
UniRef100_Q5SB14	Q5SB14
UniRef100_E9PKG1	E9PNR9;E9PKG1;E9PQ98;E9PIX6
UniRef100_M0QXW3	M0QXW3
UniRef100_Q8N1B9	Q8N1B9
UniRef100_Q9H7D3	Q9H7D3
UniRef100_A0A5B4	A0A5B4
UniRef100_Q5FBX8	Q5FBX8
UniRef100_Q6PEW3	Q6PEW3
UniRef100_D6RFH8	D6RFH8
UniRef100_Q5SRK2	Q5SRK2
UniRef100_G3V2U4	G3V2U4
UniRef100_G5E9Y7	G5E9Y7
UniRef100_H9P2S2	H9P2S2;E0Y4D8
UniRef100_B1AKH7	B1AKH7;B1AKH8
UniRef100_A0A024RCQ1	A0A024RCQ1
UniRef100_B3KTH7	B3KTH7
UniRef100_Q5T670	Q5T670
UniRef100_H2QVQ1	Q9H4C0
UniRef100_Q9H661	Q9H661
UniRef100_A0A2R8YDQ0	A0A2R8YDQ0
UniRef100_H3BRW4	H3BRW4
UniRef100_H9QXX8	H9QXX8
UniRef100_C0H5Y2	C0H5Y2
UniRef100_A8MUA9	A8MUA9
UniRef100_E9PJI3	E9PJI3
UniRef100_H3BRW5	H3BRW5
UniRef100_H0YL59	H0YL59
UniRef100_K7EJA8	K7EJA8
UniRef100_Q9BVT6	Q9BVT6
UniRef100_F8WCD2	F8WCD2
UniRef100_Q5ST79	Q5ST79
UniRef100_B4DQB2	B4DQB2;E9PQ75
UniRef100_D6RDK9	D6RDK9
UniRef100_F8WD33	F8WD33
UniRef100_E5RJ36	E5RJ36
UniRef100_K7EL03	K7EL03
UniRef100_Q7Z3I4	Q7Z3I4
UniRef100_A0A059S9Y2	A0A059S9Y2
UniRef100_A0A5E8	A0A5E8
UniRef100_A0A0A0MRV2	A0A0A0MRV2
UniRef100_A4QPE4	A4QPE4
UniRef100_Q7Z4P9	Q7Z4P9
UniRef100_A0A2J8W4T0	A0A5J6CXM9
UniRef100_Q9P1K3	Q9P1K3
UniRef100_Q495P1	Q495P1
UniRef100_A0A024R1B8	A0A024R1B8
UniRef100_D3DVZ8	D3DVZ8
UniRef100_G5E9W9	G5E9W9;C9IZQ3
UniRef100_G3XAC1	G3XAC1
UniRef100_I3L473	I3L473
UniRef100_A0A0D9SFM0	A0A0D9SFM0
UniRef100_Q2NKW0	G8JLQ3
UniRef100_A0A2J8NQK9	A0A0S2Z3W1
UniRef100_B3KTM8	B3KTM8
UniRef100_B7Z5R6	B7Z5R6
UniRef100_I3L4V3	I3L4V3
UniRef100_Q5TIH2	Q5TIH2
UniRef100_A8K1U8	A8K1U8
UniRef100_A0A5H2UYG2	A0A5H2UYG2
UniRef100_Q5SAC6	Q5SAC6
UniRef100_A0A345AJG5	A0A345AJG5
UniRef100_G3EBF7	G3EBF7
UniRef100_A0A087WY55	A0A087WY55
UniRef100_A0A1J0QVB3	A0A1J0QVB3
UniRef100_A0A343I6Z1	A0A343I6Z1
UniRef100_A0A1J0PYX5	A0A1J0PYX5
UniRef100_K7ELT0	K7ELT0
UniRef100_B7Z7V6	B7Z7V6
UniRef100_A0A059RIA0	A0A059RIA0
UniRef100_Q2LC95	Q2LC95;A0A583ZAV3;F6IQT2;U5YMN5;E2GJD9;A0A0E3DD84;Q6L6R5;A0A4P2SQT7;U5YJI3;F2X5Z7
UniRef100_Q8WYS2	Q8WYS2
UniRef100_G3V2Y8	G3V2Y8
UniRef100_B7ZKQ9	B7ZKQ9
UniRef100_H0YNY7	H0YNY7
UniRef100_K7ELV8	K7ELV8
UniRef100_A0A5H2UF04	A0A5H2UF04
UniRef100_B3KS22	B3KS22
UniRef100_A0A2R8Y7P0	A0A2R8Y7P0
UniRef100_D3DV87	D3DV87
UniRef100_E9PIA7	E9PIA7
UniRef100_Q70Q10	Q70Q10;A0A5H2USC3;A0A3S6RIW3;M1KN83;G9HWC2;A0A120GWE6;Q8WLQ7;Q95HL8;Q9TQ43
UniRef100_B7Z2T3	B7Z2T3
UniRef100_A0A1S3MK33	H3BPF1;H3BT18
UniRef100_D3DP69	D3DP69
