K16197	P31946;P27348;P63104;D0PNI1;V9HWD6
K23029	Q5JVL4;B2CKC5
K14536	Q7Z2Z2
K22855	Q8WVE0;A0A024RDN3;B2RE94
K22856	Q5JPI9;Q8TC28
K21803	Q96AZ1
K05462	P20827;O43921;P52797;P52798;P52803
K05463	P98172;P52799;Q15768
K21842	Q14156;Q9Y2G0;B3KT90
K02357	P43897;E5KS95
K02358	P49411;A0A384ME17
K04361	P00533;Q504U8;F2YGG7
K04357	P01133
K09592	Q9GZT9;Q96KS0;Q9H6Z9;R4SCQ0;A0A024R0R2
K06526	P17813;Q96CG0;A0A024R878
K09203	P18146;Q546S1
K12496	P11161
K12497	Q06889
K12498	Q05215;B7ZKU3
K12483	Q9H4M9;B2R5U3
K12469	Q9NZN4;A0A024R0S6
K12476	Q9NZN3
K12477	Q9H223;A0A024R9N6;A8K9B9
K17102	Q9NZC4
K11420	Q9H9B1;Q96KQ7;A0A024RCN9
K10134	O14681;A0A024R3I8
K03239	Q14232
K03754	P49770;Q53XC2
K03680	Q9UI10
K03240	Q13144
K03241	Q9NR50;Q9HA31
K22826	Q8N140;A0A140VJI9
K15025	Q8N9N8;A0A024R5B9
K03113	O60739;P41567;Q6IAV3;Q6FG85
K15026	Q9BY44
K15027	P41214
K03254	Q14152
K03253	P55884;A0A024R821
K03252	Q99613;B5ME19;A0A024QYU9
K03251	O15371
K03250	P60228
K03249	O00303
K03248	O75821
K03247	O15372;Q6IB98
K03246	Q13347;Q5U0F4
K03245	O75822;A0A024R5S5
K15028	Q9UBQ5
K15029	Q9Y262
K15030	Q7L2H7
K23289	Q53HC9
K00894	Q9HBU6;Q9NVF9;A0A024R9A8
K23642	P19957
K13088	Q15717
K13208	Q12926;Q14576;P26378
K15076	Q3SY89;Q14241;Q8IYF1;Q8NG57
K09428	P32519;Q15723;Q99607;Q6MZZ4;A0A024RDU6
K09429	P78545;A0A024R974
K17101	Q9UKW6;A8K443
K17567	P0C7U0
K04375	P19419;A0A024R1A7
K09430	P41970;A0A024RBE2
K04376	P28324;Q8IXL1
K15183	O00472;Q9HB65;P55199;Q59FW6;Q7Z656
K23538	Q8N336;Q8IZ81;Q96FG2
K12366	Q92556;A4D1X5
K18985	Q96JJ3
K19241	Q96BJ8
K01327	P08246
K14211	P15502
K03873	Q15370
K03872	Q15369;A0A024R7Y5
K10247	Q9BW60
K10205	Q9NXB9;A0A024QZV3
K10248	Q9HB03
K10249	Q9GZR5
K10244	Q9NYP7;A0A024RD35;B3KWH9
K10203	Q9H5J4
K10250	A1L3X0
K11373	O95163;Q4LE38;Q8N516
K11374	Q6IA86
K07739	Q9H9T3
K11375	Q96EB1
K21880	Q00013
K18595	O00423;O95834
K18596	Q32P44
K15420	Q9HC35
K18597	Q05BV3
K18598	Q6ZMW3
K23570	Q5UCC4
K23562	Q8N766
K23563	Q15006
K23564	Q9P0I2
K23565	Q5J8M3;A0A024R9N3
K23567	Q9BV81
K23568	Q9NPA0
K23569	O43402;Q9Y3B6;Q53Y03
K12569	P50402
K10882	Q96AY2
K10883	A4GXA9
K22830	Q9H4I9
K09317	Q04741;Q04743
K05746	Q8N8S7
K23444	Q9NRM1
K01227	Q8NFI3
K10462	O14682;Q9H0H3;Q53XS2
K15049	O94919
K14648	P21128
K21813	Q8N8Q3
K01689	A6NNW6;P06733;P13929;P09104;A0A024R4F1;Q6FHV6
K18334	Q7L5Y1
K09880	Q9UHY7
K09487	P14625;V9HWP2
K01513	P22413;O14638
K01122	Q13822
K18424	Q9Y6X5
K18398	Q9UJA9
K08743	Q6UWR7
K12354	Q6UWV6
K01316	P98073
K01510	P49961;O75355;Q5MY95
K01509	Q9Y5L3
K12305	Q9Y227
K01511	O75356;O75354;A0A024R6D3
K14643	Q9NQZ7
K22938	Q96C92
K11368	Q9NPA8;A0A024R9D9
K18134	Q5NDL2
K10173	O95936;B7Z4K0
K12472	Q9UBC2;P42566
K11320	Q96L91
K14396	A6NDY0;Q86U42;B6RF28
K09095	Q99814;B3KW07
K11322	Q9H2F5;Q52LR7
K06737	P16422
K06557	Q9UNN8
K05102	P21709
K05103	P29317;A0A024QZA8
K05104	P29320;A0A140VJJ0;Q6P4R6
K05105	P54764
K05106	P54756;B7ZKJ3;A0A384MU00;Q59FT4
K05107	Q9UF33
K05108	Q15375
K05109	P29322
K08897	Q5JZY3;Q4G0R4
K05110	P54762
K05111	P29323;Q6NVW1;Q4LE53
K05112	P54753
K05113	P54760;Q96L35;Q541P7
K05114	O15197;F8WCM8
K22368	Q9H6B9;A0A024R7F3
K22369	Q8IUS5
K12471	Q9Y6I3;O95208;Q9H201;A0A024R4S1
K05079	P19235
K05437	P01588;G9JKG7
K23622	O95925;A0A384NYB9
K17277	Q12929;Q8TE68;Q9H6S3;Q8TE67;B4E3T6
K00993	Q9C0D9
K08127	Q99645;A0A024RBC3
K19920	Q9NQ60
K20098	Q5T890
K03595	O75616
K09604	Q9NZ08
K13723	Q6P179;B2R769
K05083	P04626;X5DNK3
K05084	P21860
K05085	Q15303
K12796	Q96RT1
K19878	O15083
K20093	Q2NKX8
K10849	P07992;A0A024R0Q6
K10844	P18074
K10843	P19447
K10846	P28715;Q59FZ7
K10841	Q03468;Q59FF6
K10570	Q13216
K10949	P24390;P33947;O43731;A0A024R1R0;A0A024QZT7
K09784	O14944
K03265	P62495
K03267	P15170;Q8IYD1;Q7KZX8;B2RCT6
K09434	P50548;A0A024R0L4
K00511	Q14534;Q5HYI4
K00222	O76062;A0A024R577
K01852	P48449;B2R694
K20365	Q969X5
K20366	Q96RQ1;A0A024RB08;Q86TD3
K20367	Q9Y282;A2TJK5
K09435	P11308;B4DN83
K18416	Q8IV48;A0A024R355
K18417	A8K979
K18418	O43414;B4DEX5
K14008	Q96DZ1;V9HWD3
K23341	O75477;O94905;A0A384ME54
K08852	O75460
K11715	Q76MJ5;A5YM46;A5YM65
K10950	Q96HE7
K10976	Q86YB8
K20355	Q96DN0
K09586	P30040;V9HW71
K17264	Q9BS26;A0A384MEE7
K08552	P11474;Q569H8
K08553	O95718
K08554	P62508;F1D8R5
K06787	Q96AP7
K11268	Q5FWF5;Q56NI9;A0A024RC19
K02365	Q14674
K08550	P03372;G4XH65
K08551	Q92731;Q7LCB3
K14947	Q6NXG1;Q9H6T0
K13118	Q96DF8
K11124	Q86US8
K01044	P23141
K03927	O00748
K15743	Q6UWW8;Q6NT32
K01070	P10768;A0A140VJJ2
K18491	Q8N693
K03522	P13804;A0A0S2Z3L0
K03521	P38117
K00311	Q16134;B4DEQ0
K17725	O95571;A0A0S2Z5B3
K22843	Q8IXQ9
K02678	P14921;B4DW78
K21932	P15036
K09431	P50549
K09432	O00321
K09433	P41162
K15592	P43268
K15593	P41161
K03211	P41212;Q9Y603;A0A0S2Z3C9
K19605	P57679
K16854	P34910;Q9BRW1
K20242	Q96CN4;O60447;A0A384MR55;Q59FE7
K23487	Q9UI08;A0A024R6K5
K10383	Q92817
K09320	P49640;Q03828
K13209	Q01844
K19987	Q86VI1;A0A024R6U6
K19988	Q2M3D2
K19985	Q9Y2D4;Q8TAG9;B2RDH5
K18740	Q8NHP7
K20777	Q9NVH0
K10746	Q9UQ84
K17815	Q9H790
K19983	Q9NV70
K17637	Q96KP1;A0A024QZT2
K06110	O60645;A0A024QYZ6;Q69YP2
K06111	Q96A65
K19984	O00471
K07195	Q9UPT5;Q63HP7
K19986	Q8IYI6
K15050	Q9Y2C4
K07573	Q9Y3B2
K03679	Q13868
K03681	Q9NQT5
K11600	Q9NPD3
K12590	Q9NQT4
K12587	Q5RKV6
K12589	Q15024;B2RDZ9
K12586	Q96B26
K03678	Q06265
K12591	Q01780
K22236	Q8NEV8;Q149M6
K02366	Q16394
K02367	Q93063
K02368	Q92935
K02369	Q9UBQ6
K02370	O43909;A0A384NPY9
K15616	Q99502;A0A024R813;B3KXR1
K17620	O00167
K17621	Q99504
K17622	O95677;Q96CJ7
K19601	Q5T1H1
K17451	Q92800
K11430	Q15910
K08007	P15311
K09560	P50502;Q0IJ56;A0A140VKA6
K13121	Q70Z53
K21844	Q8IXS8;Q9BYI3
K03917	P00488
K03906	P05160
K16772	Q3B820
K03841	P09467;O00757
K17258	Q9H0X4
K19028	P16118
K19029	O60825
K01103	Q16875
K19030	Q16877
K01314	P00742;Q5JVE7
K01323	P03951
K01328	P00748;Q8IZZ5
K21957	Q96MK3;L8B8N7;Q8IYA5
K21958	Q8IXL6
K19703	Q7L5A8
K13120	Q9Y421;A0A024R7I4
K13119	Q14320;Q9Y247;A0A024QZY3
K03902	P12259
K01320	P08709
K16805	Q9H4H8
K03899	P00451
K23868	A1XBS5;Q6ZTR7;A0A1X7SC74
K15434	Q52LJ0
K01321	P00740
K01555	P16930;A0A384P5L6
K15528	O00519;Q9UG55
K19176	Q6GMR7;B2C6G4
K00645	Q8IVS2
K08753	P15090;E7DVW4
K08754	Q01469;E7DVW5
K08755	P51161
K08756	O15540
K08752	P05413;A0A384MDY5
K08751	P12104
K08750	P07148;Q6FGL7;Q05CP7
K10891	Q9BXW9
K06013	O75844
K08658	Q9Y256;Q0P5W4
K13356	Q8WVX9;Q96K12;A0A024RAW7;Q9NUX8;B2RBI0
K00953	Q8NFF5
K02373	Q13158
K10224	O60427;A0A0A0MR51
K10226	O95864
K10225	Q9Y5Q0;A0A024R564
K12419	Q8N9I5;A0A087WYB9
K20703	Q9UNN5
K18726	Q96CS3
K01557	Q6P587
K05725	Q05397;Q658W2;Q59GM6
K05871	Q14289
K18190	Q9NYY8
K15363	Q9Y2M0
K10888	O15360
K10889	Q8NB91;A0A024RBW1
K10890	Q00597;A0A024R9N2
K10892	Q9HB96
K10893	Q9NPI8;A3KME0
K10894	O15287;Q53XM5
K10895	Q9NVI1
K15362	Q9BX63
K10606	Q9NW38
K10896	Q8IYD8
K18953	Q92636
K10898	Q9BTP7;A0A0S2Z5V6
K17477	Q9Y4F1;A0A2X0TVY0
K06082	O94887
K08290	Q14296;A0A090N8Z7
K00665	P49327
K16506	Q14517;Q9NYQ8;Q8TDW7;Q6PIA2
K16669	Q6V0I7;B3KU84
K16471	Q8TES7
K10300	Q8NFZ0
K17307	P23142;P98095;Q86V58;Q8NBH6;Q9Y3V7
K18262	Q12805;A0A0S2Z4F1;B2R6M6
K19866	O95967;A0A024R5G1;Q9H3D5
K17340	Q9UBX5;A0A024R6G3
K17342	Q53RD9
K06825	P35555
K23342	P35556;Q75N90;A8KAY2
K20121	Q5T0N5;Q96RU3;B4DSI7
K14563	P22087
K10319	P0C2W1
K10267	Q6X9E4
K03362	Q9Y297;Q9UKB1;B2R8L3;A0A0S2Z4P6;Q68DS0
K10296	Q9UK96;Q59F51
K10297	Q86XK2
K10298	Q8NCQ5
K10299	Q8IX29
K10101	Q96EF6
K10301	O94952;Q4G104;Q8IUQ5;A0A024RBR2
K10302	Q8NEZ5
K10304	O75426;A4D2D3
K10305	Q8TCJ0;Q969P5;A0A024R9F3
K10102	Q8NI29;A0A384MR61
K10306	Q9NVF7
K10099	Q9UK22
K10307	Q8TB52
K10308	Q5XUX0
K10310	Q7Z6M2
K10311	Q9NWN3;A0A024R653
K10312	Q8NEA4
K10313	Q6PIJ6;Q6AZE0
K10314	Q8N4B4
K10290	Q9UK99;Q49AF1
K10315	Q9UH90
K10316	Q8TF61
K10317	Q6P3S6
K10318	Q4G163
K10103	Q9H4M3;A0A024R4F9
K10320	Q6PJ61
K10321	Q5MNV8
K10291	Q9UKT5;B3KNA0
K10292	Q9UKT4
K10100	Q9NRD1
K10293	Q9Y3I1
K10294	Q9NRD0;Q8IXA8;A0A0S2Z5D1
K10295	Q9UK97
K10268	Q9UKC9;Q96IG2
K10269	Q9UKT7
K10270	Q9UKA2
K10271	Q9UKA1
K10272	Q8N531
K10273	Q9UJT9
K10274	Q96CD0
K10261	Q9UKT8
K10262	P57775;A0A384P5X9
K10263	Q969U6;A0A024R8H7
K10260	Q969H0
K10264	Q8N3Y1
K10265	Q5XUX1
K16851	Q8WWV6
K06513	P24071
K06468	P06734
K08089	P12319
K08090	Q01362
K07983	P30273
K14566	Q9Y324;Q4FZ45
K06472	P12318
K12560	P31994
K16824	P31995
K06463	P08637;O75015;A0A3B3ISU3
K06498	P12314
K20042	O14526;Q0JRZ9
K02377	Q13630;A0A140VKC8
K10104	O00602;Q15485;O75636;Q6UY50
K06727	Q96LA6;Q96LA5;Q96P31;Q96PJ5;Q96RD9;B4E0W2
K17273	Q6DN72
K20125	Q86WN1;O94868
K05305	Q8N0W3
K00801	P37268;Q6IAX1
K22071	Q6P4F2
K10349	Q9UK73
K04799	P39748;Q6FHX6
K22400	Q96RJ6
K17082	Q9BQL6;Q54A15;Q49AC8
K17083	Q96AC1;A0A024R687
K08889	P16591;W0S0X4
K07527	P07332;A0A024RC92
K16144	P02771
K23409	P02765
K23411	Q9UGM5
K09437	Q99581
K04325	O14842
K04328	O15552;C6KYL4
K04326	O14843;O15529;A0A0K0PUY3;A0A0K0PUW7
K08425	Q5NUL3;B4DWG6
K05720	P98174;A0A024R9Y5
K05721	Q7Z6J4
K05722	Q5JSP0;A0A024R252
K05723	Q96M96
K05724	Q6ZNL6;Q6ZV73;A0A2X0SFF2
K04358	O15520;O43320;O60258;O76093;Q9NP95;Q9HCT0;P11487;P08620;P12034;P10767;P21781;P55075;P31371;A1A515;Q8NBG6
K22413	Q92914;P61328;Q92913;Q92915;A8K1P5
K22603	O95750
K18496	P05230
K22429	Q9NSA1
K22428	Q9GZV9
K18497	P09038
K04362	P11362
K05093	P21802
K05094	P22607;Q0IJ44
K05095	P22455
K08891	P09769;P78453
K01522	P49789;A0A024R366
K14365	Q13642
K14380	Q14192;Q6I9R8;Q2XQU9
K23815	Q03591;P36980;Q02985
K23816	Q92496
K23817	Q9BXR6
K03903	P02671
K03904	P02675;V9HVY1
K03905	P02679
K22913	Q92562
K22766	Q6PIW4
K09066	Q6QHK4
K10384	Q5D862;P20930
K05717	P02751;Q6MZF4;Q6N084
K14405	Q6UN15
K17969	Q9Y3D6
K16674	Q86VR8
K09575	Q96AY3;O95302;A0A024R1W3;Q8NAG5;Q658U4;A7YQ73
K09576	Q9NYL4
K09577	Q9NWM8;A0A090N7V8
K17478	Q5T1M5
K09568	P62942;P68106;Q0VDC6
K09569	P26885;Q53XJ5
K09570	Q00688
K09571	Q02790;Q13451
K09572	O75344
K09573	Q9Y680
K09574	Q14318;A0A024R7P2;B2R8G6
K20097	Q9UIM3;A0A024RCQ6
K19873	Q9H9S5;A0A024R0R7
K19872	O75072
K22824	Q15007
K09594	Q8NFG4
K09436	Q01543;A0A024R3M5
K04437	P21333;O75369;Q14315;Q60FE5;Q6NXF2;Q59H94
K07192	O75955;Q14254;Q5ST80;A0A024QZ62;Q9BTI6
K16362	Q9NZU1;O43155;Q9NZU0
K05454	P49771;B7ZLY4
K05092	P36888
K08220	Q9Y5Y0;Q9UPI3;B2RB38
K13212	Q96HJ9;Q9Y383;A0A0A6YYJ8
K10367	Q68DA7
K02184	Q9NZ56;Q9HBL1
K00485	Q01740;Q99518;P31513;P31512;P49326;A0A024R8Z4;A0A024R934;A0A024QYY6;Q53FW5;Q5JPC7;B2RCG5
K08121	Q06828;A0A024R971;Q12833;B3KS64
K15516	Q06787;P51114;P51116
K00604	Q96DP5
K15522	Q9H479
K20400	Q8TF40
K20401	Q9P278
K05955	P49354
K05954	P49356;A0A384MEJ5
K17441	Q8IX07
K17442	Q8WW38;Q9NPQ0
K01930	Q05932
K14592	Q04609
K13649	P15328;P14207;P41439;A6ND01;A0A024R5H1
K16535	Q96NB1
K09029	P53539;A0A024R0P6
K04502	P15407;A0A0S2Z595
K09030	P15408;Q9H5M2
K04379	P01100;Q6FG41
K09387	P55317
K08035	Q9Y261
K08038	P55318;A0A024R0R3
K09395	Q99853;Q5VYV0
K09396	Q12948;Q99958;W6CJ52
K09397	Q16676;O60548;Q9UJU5;Q12950;Q9NU39;Q6VB84;Q8WXT5;Q3SYB3;B3KVK3
K09398	O00358;Q13461;A0A0A1EII5
K09399	Q12946;Q12947
K09385	P55316
K09400	O75593
K09401	Q12951;Q6ZQN5;A8MTJ6;E0XEN6
K09402	Q92949;A0A024R8P1
K09403	Q9P0K8;Q9UPW0
K09404	P85037;Q01167
K09405	Q12952;P58012;Q53ZD3;Q498Y4
K09406	Q08050;Q53Y49
K09407	O15353;P32314;O00409;Q96NZ1;A0A024R6I1;A6H901
K07201	Q12778
K09408	O43524
K12358	P98177
K23582	Q9H334;Q548T7;Q8TEA2
K09409	O15409;Q8IVH2
K10163	Q9BZS1
K09410	Q9C009
K09412	O43638
K10993	Q0VG06;A4ZI32
K00976	O14772
K00787	P14324
K04172	P21462
K04173	P25090;P25089;Q6L5J4;A0A024R4P3
K06729	Q9P2B2
K22126	A0AVI2;Q2NNQ7
K22127	Q2WGJ9
K16546	O95684
K23379	Q86XX4
K03069	Q92837
K03096	O75474
K19054	Q16595;A0A0S2Z3G4
K23380	Q5H8C1;Q5SZK8
K23383	P0C091
K13122	Q14331
K00522	P02794;A0A024R525
K13625	P02792;A0A384MDR3
K22863	O95876
K08892	P42685
K16821	Q8N878
K16822	Q96NE9
K12461	Q8WU20;L7RTG7
K23551	Q16658;A0A384MEG1;B3KTA3
K17455	O14926
K17456	Q9NQT6;A0A140VK18
K05250	P01225;A0A0F7RQE8
K04247	P23945;A0A1D5RMN4
K22745	Q9BRQ8
K04661	P19883;A0A024QZU6
K13990	O95954
K18495	Q8N4E7
K16550	Q68CZ1
K19469	Q9C0B1;B3KU60;Q99770
K13210	Q96AE4;Q92945;Q96I24;A0A024R8A7
K02431	A2VDF0
K01206	Q9BTY2;P04066
K15279	Q96A29;B3KQH0
K01679	P07954;A0A0S2Z4C3
K17986	Q8IVP5
K01349	P09958;A0A024RC70
K13098	P35637;Q6IBQ5
K09669	Q6P4F1
K11257	Q495W5
K00718	P19526;Q10981;Q6IZA2;A8K2L2
K00716	P21217;A8K737
K07632	P22083
K07633	Q11128;K7ENC0
K07634	P51993;Q6P7E6
K07635	Q11130
K00717	Q9BYC5;Q546E0;A8K8P8
K03663	Q9Y231
K22861	Q9BT04;A0A024QZF7
K22282	Q96IV6
K10278	Q9NXK8
K10280	Q8N1E6
K10281	Q9H469
K10282	Q8N461
K10283	Q9UF56
K10285	Q6PCT2
K10288	Q6P050
K18166	Q96CU9
K13361	Q14802
K13359	P59646
K13362	Q96DB9
K13363	Q9H0Q3;A0A024R3J8
K13364	P58549
K17698	O15117
K21954	Q9BQS8
K05703	P06241
K00921	Q9Y2I7
K02842	Q9ULW2;O00144;Q6NSL8
K02432	Q9UP38;O75084
K02235	Q14332;Q86UZ8
K02329	Q9NPG1
K02354	Q9ULV1
K02375	Q13467;Q9H461
K02376	O60353;A0A024R9E9
K03364	Q9UM11
K22989	Q96N19;O60478;Q8N3F9;Q9NQC5;Q6AWC7;B3KW22
K22371	Q7L622
K04244	O60883
K17265	Q13283;Q5U0Q1;Q6ZP53
K10705	O14556;A0A0K0K1K1
K00134	P04406;V9HVZ4
K01019	Q99999;A0A024R1D7
K09675	Q9H3Q3
K09676	Q96A11
K09677	Q96RP7
K01084	Q9NQR9;Q9BUM1;P35575
K00036	P11413;A0A384NL00
K13937	O95479
K01810	P06744
K08171	O43826;A0A024R3H9;A8K0S7
K13783	P57057;Q8TED4
K04402	P24522;O75293;O95257
K09593	Q13480;Q9HA84
K08091	Q9UQC2
K23780	Q8WWW8
K09454	Q06547;Q8TAK5
K09441	Q06546;A8IE48
K04615	Q9UBS5;O75899;A0A1U9X7R0;H9NIL8;Q59HG8
K13524	P80404;X5D8S1
K18966	Q6ZQY3
K08855	O14976
K05244	P22466
K01202	P54803;A0A0A0MQV0
K01784	Q14376;A0A384NL38
K00849	P51570;V9HWE7
K18674	Q01415
K01785	Q96C23;A0A384MDW6
K01132	P34059;Q96I49
K04230	P47211
K04231	O43603
K04232	O60755
K00710	Q10472;Q10471;Q14435;Q8N4A0;Q7Z7M9;Q8NCL4;Q86SF2;Q9NY28;Q9HCQ5;Q86SR1;Q8NCW6;Q8IXK2;Q8IUC8;Q96FL9;Q8N3T1;Q8N428;Q6IS24;Q6P9A2;Q7Z4T8;Q49A17;Q2L4S5;Q68VJ8;A0A024RC48;Q58A54;A0A090N7X6;J3KNN1;E5D8G0;A0A1L7NY50;Q05BM8
K00965	P07902;A0A0S2Z3Y7;B2RAT6
K00542	Q14353;V9HWB2
K05546	Q14697;V9HWJ0
K12317	Q8TET4
K10453	Q9H2C0;A0A0S2Z4W2;B3KTC3
K11128	Q9NY12
K01880	P41250
K06232	P54826
K05464	Q14393
K18618	O60861
K04195	P32239
K13768	P01350;A0A0E3VY36
K09182	P15976
K17894	P23769
K17895	P23771
K09183	P43694;B3KUF4
K17896	Q9BWX5
K17897	Q92908
K02433	Q9H0R6
K02434	O75879
K02435	O43716
K23407	Q8WUU5
K00613	P50440;A0A140VK19
K17108	Q9HCG7
K05350	Q9H227;A8K9N1
K04536	P62873;A0A140VJJ8
K04537	P62879;Q6FHM2
K07825	P16520;F1T0G5
K04538	Q9HAV0
K18443	Q92538
K04545	P50151;A0A024R156
K04546	P61952;Q53Y01
K04347	Q9UBI6
K04547	Q9P2W3
K04548	P63211
K07826	P59768
K04540	P63215
K04541	P50150;B1APZ0
K04542	P63218
K04543	O60262
K04544	Q9UK08
K00722	Q8N5D6;J7Q0Z1
K04549	O14610
K20899	P32455;Q9H0R5;Q96PP9;Q8N8V2
K20897	P32456;Q8TCE5
K20898	Q96PP8
K20908	Q6ZN66
K05175	P14867;P47869;P34903;P48169;P31644;Q16445;A0A024R9X6;X5D7F5;A8K177
K08341	O95166;Q9H0R8;P60520;Q6IAW1;A0A024RAP5
K05181	P18505;P47870;P28472;X5DNL6
K05184	O14764;A8K496
K05185	P78334
K05186	Q8N1C3;P18507;Q99928
K05189	O00591
K05190	P24046;P28476;A8MPY1
K05192	Q9UN88
K09321	Q14549;P52951
K20281	Q96CN9;A4D0Z4
K20282	Q8IWJ2;B3KR21
K00252	Q92947;A0A024R7F9
K09061	P16383;A4UHR0
K01495	P30793;A0A024R642
K21598	Q9NP62;O75603
K00727	Q02742;Q86T81
K09662	O95395;A0A024R5T9
K16569	Q9BSJ2;Q53EQ3
K16570	Q96CW5
K16571	Q9UGJ1
K16572	Q96RT8
K16573	Q96RT7
K05771	P04150;F1D8N4
K02437	P23434
K00281	P23378
K00605	P48728;A0A024R2U7
K12318	Q02108;P33402
K12319	Q02153
K22077	Q96MZ0;Q8TB36
K15084	P16260
K19179	Q9NZC3
K01196	P35573;A0A0S2A4E4
K22674	P55107
K22679	O95390;A0A024RB20
K05504	Q99988
K05495	P27539;A0A024R7N8
K05503	Q9UK05;B2RC63
K22672	Q9NR23
K04664	P43026;F1T0J1
K20012	Q6KF10;A0A0S2A5D6
K20013	Q7Z4P5;Q75RY1
K05497	O14793;Q53S46
K22673	O60383
K17255	P31150;P50395;A0A0S2Z3X8;Q6IAT1
K12462	P52565;P52566;Q99819;F1T0H7;V9HWE8;A0A024RAS5
K05452	P39905;A0A0S2Z3V2
K16643	P07093;A0A024R451
K22387	Q8N9F7;Q7L5L3
K01124	Q9HCC8
K15630	Q6ZNW5;A0A024RC68
K13130	O14893
K13132	P57678;Q8WUM5
K13133	Q8TEQ6;Q58EZ8
K13134	Q8WXD5
K13135	Q9H840
K13136	Q9NWZ8;A0A024RBX2
K10749	O75496;D6RGH6;A0A024QZY7
K07846	P55040;A0A024R9F5
K15338	Q17RS7
K15376	Q9NQX3
K23387	Q7L5D6
K05640	P14136
K09223	Q5VTD9;Q99684
K00820	Q06210;O94808;A0A0S2Z4X9;B3KMR8
K19895	P56159
K12404	Q9UJY5;Q9UJY4;Q9NZ52;A8K6M0
K19761	Q9BVM4
K00682	O75223;A0A090N7V5
K01307	Q92820
K00804	O95749
K18592	P19440;P36269;A0A140VJJ9
K00681	Q6P531;Q9UJ14;Q6ZPD7;A0PJJ9
K18730	O75420;Q6Y7W6
K15107	Q9H936;Q9H1K4;A0A024R0W0
K21890	Q9H3K2
K04584	Q02643;A0A090N8Y6
K05254	Q9UBU3
K05080	P10912
K04284	Q92847
K23335	Q8IVV7;B3KXL6
K23338	Q9NWU2
K08059	P13284;A0A024R7N7
K20056	O14908;Q8TF65;Q8TF64;A0A384P5H2;A0A024R7I0
K04580	P48546
K05258	P09681
K05737	Q9Y2X7
K12487	Q14161
K21987	Q6EEV4;P0CAP2
K20886	Q7Z4J2
K01793	O94923
K01201	P04062;A0A068F658
K12409	Q9Y223
K11529	Q8IVS8
K14079	Q6PIY7
K16364	Q6ZMI3
K18723	Q53GS7
K00700	Q04446;Q59ET0
K08522	P01215;Q6I9S8
K16797	P08151
K16798	P10070;Q1PSW9;Q59FV5
K06230	P10071
K09232	Q8NBF1;Q8NEA6;A0A0S2Z689
K09233	Q9BZE0;B3KTH4
K23345	Q92990
K01915	P15104;A8YXX4
K01069	Q16775
K04581	P43220;A0A142FHB8
K04582	O95838;A0A384MTS7;B2RAN4
K15620	Q9H4A5;Q9H4A6
K06575	P02724;A0A0C4DFT7
K20925	P06028
K06576	P04921
K00864	Q14410;P32189;B4DH54;A0A140VKG0
K19583	Q6ZS86
K05193	P23415
K05194	P23416
K05195	O75311;Q9UPF3
K05196	P48167
K03676	P35754;Q9NS18;A0A024RAM2
K07390	Q86SX6;A0A384MDT9
K04583	P47871
K01425	O94925;Q9UI32
K08288	P14314
K22210	Q7Z3D6
K05259	P01275
K07191	P14672
K00628	Q6IB77;A0A384P5E3
K00600	P34896;P34897;V9HW06;Q5BJF5
K00750	O15488;P46976
K22442	Q969I3;A9ZM15
K22749	Q8WU03;A0A024R4Z5
K22750	Q5SZD4
K10485	Q96IK5;Q53SE7
K01711	O60547
K20653	Q9P107;A0A024R7N1;B4DLZ1
K00966	Q96IJ6;Q9Y5P6;A0A384MDS7
K00364	P36959;Q9P2T1
K04635	P29992
K04346	Q03113;Q6ZQV4
K04639	Q14344;A0A024R8M0
K04636	O95837
K04637	P30679
K00621	Q96EK6;A0A024R649
K04630	P63096;P04899;P08754;B3KP24
K04633	P38405;A8K1Y9
K04534	P09471;B3KP89;Q8N6I9
K04634	P50148;A0A024R240
K04632	P63092;O95467;A0A0S2Z3H8
K04631	P11488;P19087;Q5T697
K19729	A8MTJ3
K04535	P19086;Q8IY73
K04539	O14775;A0A024R5V3
K08732	Q12967;Q8N4Y1
K14538	Q9NVN8;Q9BVP2;A0A024R9Y6;Q05DU1
K00552	Q14749;V9HW60
K00649	O15228
K02564	P46926;Q8TDQ7;A0A024R9X5
K08239	Q3T906
K10087	Q9UJJ9
K04280	P30968
K01137	P15586;A0A024RBC5;Q7Z3X3
K00742	Q8N0V5
K00851	Q5T6J7
K16731	Q92805;A0A024R869
K20358	Q08379
K20283	Q13439;Q49A56
K20478	Q14789
K23540	O00461
K15701	Q86XS8;Q2HIY3
K05252	P01148;O43555
K23804	Q3T8J9
K19748	Q5T7V8;B3KQ87
K08495	O95249
K08496	O14653
K08423	Q96P66
K22985	Q5VW38
K22986	Q9NPR9
K08424	Q8TDV5
K08426	Q9UNW8
K08427	Q8IZ08
K08428	Q6DWJ6;A0A142CHG1
K08429	Q7Z602
K08430	Q7Z601
K08470	P51810
K08431	Q96CH1;A4D2Q3;B4DTD6
K08432	Q8TDV2
K08433	Q86SP6;Q2MKA6
K08434	Q8NGU9
K08435	Q8TDV0
K08436	Q8TDT2;A0A0I9RJ67
K08437	Q6NV75;A0A0I9QQ03
K04617	Q8NFN8
K08467	Q5UAW9
K08469	Q5T848
K08438	Q9UJ42
K08439	Q8N6U8
K08440	Q16538;A0A0I9QPQ8
K08441	O14626
K04300	Q9NS66
K08391	Q9BXC1
K08442	Q14439
