DG00001	Chlorhexidine
DG01123	Micronomicin
DG01124	Sulfacetamide
DG01125	Fomivirsen
DG01126	Sodium propionate
DG01127	Loteprednol
DG01128	Bromfenac
DG01129	Dipivefrine
DG01130	Apraclonidine
DG01131	Ecothiopate
DG01132	Physostigmine
DG01133	Acetylcholine
DG01134	Acetazolamide
DG01135	Dorzolamide
DG01136	Levobunolol
DG01137	Metipranolol
DG01138	Befunolol
DG01139	Unoprostone
DG01140	Dapiprazole
DG01141	Cyclopentolate
DG01142	Homatropine
DG01143	Lodoxamide
DG01144	Emedastine
DG01145	Proxymetacaine
DG01146	Fluorescein
DG01147	Rose bengal sodium
DG01148	Hypromellose
DG01149	Guaiazulen
DG01150	Alum
DG01151	Nalorphine
DG01152	Edetate
DG01153	Pralidoxime
DG01154	Protamine
DG01155	Naloxone
DG01156	Methylthioninium chloride
DG01157	Methionine
DG01158	Glutathione
DG01159	Deferoxamine
DG01160	Polystyrene sulfonate
DG01161	Sevelamer
DG01162	Dexrazoxane
DG01163	Amifostine
DG01164	Oxygen
DG01165	Ceruletide
DG01166	Metyrapone
DG01167	Corticorelin
DG01168	Somatorelin
DG01169	Sulfobromophthalein
DG01170	Aminohippuric acid
DG01171	Protirelin
DG01172	Diatrizoic acid
DG01173	Metrizoic acid
DG01174	Iodamide
DG01175	Iotalamic acid
DG01176	Ioxitalamic acid
DG01177	Iocarmic acid
DG01178	Diodone
DG01179	Ioxaglic acid
DG01180	Iodoxamic acid
DG01181	Iotroxic acid
DG01182	Gadopentetic acid
DG01183	Gadoteric acid
DG01184	Gadodiamide
DG01185	Mangafodipir
DG01186	Gadobenic acid
DG01187	Gadoxetic acid
DG01188	Gadofosveset
DG01189	Indium (111In) pentetic acid
DG01190	Technetium (99mTc) medronic acid
DG01191	Technetium (99mTc) pyrophosphate
DG01192	Technetium (99mTc) human albumin
DG01193	Iobenguane (123I)
DG01194	Iobenguane (131I)
DG01195	Iodine (131I) human albumin
DG01196	Samarium (153Sm) lexidronam
DG01197	Tetracycline antibiotic
DG01198	Omadacycline
DG01199	Eravacycline
DG01200	Astromicin
DG01201	Laninamivir
DG01203	Kitasamycin
DG01204	Sulfamonomethoxine
DG01205	Cefaloglycin
DG01206	Cefoselis
DG01207	Cefpimizole
DG01208	Cefteram
DG01209	Ceftobiprole
DG01210	Ceftolozane
DG01211	Cefuzonam
DG01212	Imipenem
DG01213	Sulopenem
DG01214	Alatrofloxacin
DG01215	Delafloxacin
DG01216	Sarafloxacin
DG01217	Tosufloxacin
DG01218	Clorazepic acid
DG01219	Enviomycin
DG01220	Puromycin
DG01221	Monensin
DG01222	Semduramicin
DG01223	Tenofovir
DG01224	Adefovir
DG01225	Oxmetidine
DG01226	Amifloxacin
DG01227	Danofloxacin
DG01228	Difloxacin
DG01229	Methylephedrine
DG01230	Guanabenz
DG01231	Setiptiline
DG01232	Abediterol
DG01233	Arformoterol
DG01234	Isoetharine
DG01235	Levosalbutamol;Levalbuterol
DG01236	Vilanterol
DG01237	Amibegron
DG01238	Ethaverine
DG01239	Ramosetron
DG01240	Itasetron
DG01241	Denaverine
DG01242	Methylatropine
DG01243	Atropine oxide
DG01244	Ablukast
DG01245	Gabapentin
DG01246	Simeprevir
DG01247	Amylocaine
DG01248	Ipragliflozin
DG01249	Amfenac
DG01250	Piketoprofen
DG01251	Loxoprofen
DG01252	Orphenadrine
DG01253	Umeclidinium
DG01254	Tiemonium
DG01255	Pipethanate
DG01256	Ozagrel
DG01257	Pilsicainide
DG01258	Gisadenafil
DG01259	Lazabemide
DG01260	Safinamide
DG01261	Clavulanic acid
DG01262	Motesanib
DG01263	Oximonam
DG01264	Cenicriviroc
DG01265	Droloxifene
DG01266	Incadronic acid
DG01267	Etirinotecan pegol
DG01268	Amonafide
DG01269	Ixazomib
DG01270	Isosorbide nitrate
DG01271	Limaprost
DG01272	Piroheptine
DG01273	Diprenorphine
DG01274	Saridegib;Patidegib
DG01275	Boldenone
DG01276	Methandriol
DG01277	Pirlindole
DG01278	Pruvanserin
DG01279	Naluzotan
DG01280	Duvoglustat
DG01281	Carmegliptin
DG01282	Dutogliptin
DG01283	Teneligliptin
DG01284	Trelagliptin
DG01285	Mosapride
DG01286	Sofinicline
DG01287	Lobeline
DG01288	Pozanicline
DG01289	Carpronium
DG01290	Methacholine
DG01291	Aclatonium
DG01292	Fadrozole
DG01293	Liarozole
DG01294	Cangrelor
DG01295	Elinogrel
DG01296	Benserazide
DG01297	Croconazole
DG01298	Tiaramide
DG01299	Calcium acetate
DG01300	Xanomeline
DG01301	Benzetimide
DG01302	Amosulalol
DG01303	Arotinolol
DG01304	Bifeprunox
DG01305	Cariprazine
DG01306	Tandospirone
DG01307	Rilmazafone
DG01308	Butabarbital
DG01309	Esreboxetine
DG01310	Edivoxetine
DG01311	Tedatioxetine
DG01312	Carpipramine
DG01313	Clocapramine
DG01314	Elzasonan
DG01315	Orvepitant
DG01316	Bunazosin
DG01317	Medroxalol
DG01318	Detomidine
DG01319	Lergotrile
DG01320	Medetomidine
DG01321	Xylazine
DG01322	Tilisolol
DG01323	Indenolol
DG01324	Pardoprunox
DG01325	Pridopidine
DG01326	Talipexole
DG01327	Bepotastine
DG01328	Homochlorcyclizine
DG01329	Dihydroergocryptine
DG01330	Irdabisant
DG01331	Dexpramipexole
DG01332	Lasmiditan
DG01333	Sarpogrelate
DG01334	Temanogrel
DG01335	Naronapride
DG01336	Velusetrag
DG01337	Cerlapirdine
DG01338	Ulimorelin
DG01339	Carfentanil
DG01340	Eptazocine
DG01341	Levorphanol
DG01342	Naldemedine
DG01343	Oxymorphone
DG01344	Giractide
DG01345	Elagolix
DG01346	Fertirelin
DG01347	Montirelin
DG01348	Atopaxar
DG01349	Vorapaxar
DG01350	Ifetroban
DG01351	Otenabant
DG01352	Davalintide
DG01353	Telcagepant
DG01354	Arbaclofen
DG01355	Aspartame
DG01356	Saccharin
DG01357	Varlitinib
DG01359	Mecasermin
DG01360	Cediranib
DG01361	Crenolanib
DG01362	Lenvatinib
DG01363	Toceranib
DG01364	Quizartinib
DG01365	Tozasertib
DG01366	Momelotinib
DG01367	Golvatinib
DG01368	Rebastinib
DG01370	Vercirnon
DG01371	Elubrixin
DG01372	Liothyronine
DG01373	Brivanib
DG01374	Nintedanib
DG01375	Tivozanib
DG01376	Halopredone
DG01377	Thiamylal
DG01378	Dexmecamylamine
DG01379	Latrepirdine
DG01380	Tiletamine
DG01381	Pirmenol
DG01382	Efonidipine
DG01383	Morantel
DG01384	Budiodarone
DG01385	Menthol
DG01386	Amitifadine
DG01387	Levomilnacipran
DG01388	Lesinurad
DG01389	Lifitegrast
DG01390	Tecarfarin
DG01391	Cindunistat
DG01392	Forodesine
DG01393	Indanazoline
DG01394	Varespladib
DG01395	Itopride
DG01396	Olprinone
DG01397	Cilastatin
DG01398	Edoxaban
DG01399	Pegnivacogin
DG01400	Gabexate
DG01401	Sivelestat
DG01402	Abexinostat
DG01403	Panobinostat
DG01404	Mocetinostat
DG01406	Sotrastaurin
DG01407	Quisinostat
DG01408	Afuresertib
DG01409	Dilmapimod
DG01410	Pimasertib
DG01411	Verubulin
DG01412	Batabulin
DG01413	Cevipabulin
DG01414	Selumetinib
DG01415	Fosbretabulin
DG01416	Rigosertib
DG01417	Volasertib
DG01418	Saracatinib
DG01419	Fostamatinib
DG01420	Lamifiban
DG01421	Recainam
DG01422	Peplomycin
DG01426	Eritoran
DG01427	Brilacidin
DG01428	Agatolimod
DG01430	Paclitaxel
DG01431	Gataparsen
DG01432	Lenampicillin
DG01433	Cefquinome
DG01434	Ceftiofur
DG01435	Tilmicosin
DG01436	Tylosin
DG01437	Tiamulin
DG01438	Valnemulin
DG01439	Arabinofuranosyl type antineoplastic
DG01440	Arabinofuranosyl type antiviral
DG01441	Radezolid
DG01442	Tedizolid
DG01443	Coumermycin
DG01444	Racepinephrine
DG01445	Brovanexine
DG01446	Framycetin
DG01447	Aminoglycoside antibiotic
DG01448	alpha1-Adrenergic receptor agonist
DG01449	alpha2-Adrenergic receptor agonist
DG01450	alpha-Adrenergic receptor agonist
DG01451	beta1-Adrenergic receptor agonist
DG01452	beta2-Adrenergic receptor agonist
DG01453	beta3-Adrenergic receptor agonist
DG01454	Monobactam
DG01455	beta-Adrenergic receptor agonist
DG01456	Adrenergic receptor agonist
DG01457	alpha1-Adrenergic receptor antagonist
DG01458	Carbapenem
DG01459	Oxacephem
DG01460	alpha2-Adrenergic receptor antagonist
DG01461	beta1-Adrenergic receptor antagonist
DG01462	beta2-Adrenergic receptor antagonist
DG01463	beta3-Adrenergic receptor antagonist
DG01464	beta-Adrenergic receptor antagonist
DG01465	alpha-Adrenergic receptor antagonist
DG01466	Adrenergic receptor antagonist
DG01467	Dopamine D1-receptor agonist
DG01468	Dopamine D2-receptor agonist
DG01469	Dopamine D3-receptor agonist
DG01470	Dopamine D4-receptor agonist
DG01471	Dopamine D5-receptor agonist
DG01472	Dopamine agonist
DG01473	Dopamine D1-receptor antagonist
DG01474	Dopamine D2-receptor antagonist
DG01475	Dopamine D3-receptor antagonist
DG01476	Dopamine D4-receptor antagonist
DG01477	Dopamine D5-receptor antagonist
DG01478	Dopamine antagonist
DG01479	beta-Lactamase inhibitor
DG01480	Penam;Penicillin
DG01481	Histamine receptor H2 antagonist
DG01482	Histamine receptor H1 antagonist
DG01483	5-HT1A-receptor agonist
DG01484	5-HT1B-receptor agonist
DG01485	5-HT1D-receptor agonist
DG01486	Penem
DG01487	Oxapenam;Clavam
DG01488	Cephalosporin;Cephem
DG01489	5-HT3-receptor antagonist
DG01490	Muscarinic cholinergic receptor agonist
DG01491	Anticholinergic agent;Muscarinic cholinergic receptor antagonist
DG01492	Imagabalin
DG01493	Glucagon-like peptide 1 receptor agonist;GLP-1 receptor agonist
DG01494	Gonadotropin-releasing hormone receptor agonist
DG01495	Angiotensin II receptor antagonist
DG01496	Calcium channel L type blocker
DG01497	Catechol O-methyltransferase inhibitor
DG01498	NMDA receptor antagonist
DG01499	Adenylate cyclase activator
DG01500	Adenosine deaminase inhibitor
DG01501	Angiotensin-converting enzyme inhibitor
DG01502	Endothelin receptor antagonist
DG01503	Xanthine dehydrogenase inhibitor
DG01504	Nonsteroidal anti-inflammatory drug (NSAID)
DG01506	Arginine vasopressin receptor 2 (AVPR2) antagonist
DG01507	Phosphodiesterase III inhibitor
DG01508	Sulfonylurea receptor agonist
DG01509	Phosphodiesterase V inhibitor
DG01510	Aceglutamide
DG01511	Thrombin inhibitor
DG01512	Monoamine oxidase B inhibitor
DG01513	Rosaramicin
DG01514	Palifosfamide
DG01515	Nicametate
DG01516	Thromboxane A2 synthase inhibitor
DG01517	Thromboxane A2 receptor antagonist
DG01518	5-HT1B/1D-receptor agonist
DG01519	Non-selective monoamine oxidase inhibitor
DG01520	Cinitapride
DG01521	Azasetron
DG01522	CYP3A/CYP3A4 inhibitor
DG01523	Triazole antifungal
DG01524	Triazole antineoplastic
DG01525	CYP2A6 inhibitor
DG01526	Topoisomerase I inhibitor
DG01527	Topoisomerase II inhibitor
DG01528	Topoisomerase IV inhibitor
DG01529	Topoisomerase inhibitor
DG01530	Furazolium
DG01531	Clonixin
DG01532	Nicotinic cholinergic receptor agonist
DG01533	Flunixin
DG01534	Carbonic anhydrase inhibitor
DG01535	Tiamenidine
DG01536	Fenproporex
DG01537	Phendimetrazine
DG01538	Samidorphan
DG01539	Zicronapine
DG01540	Plasmin inhibitor
DG01541	Cysteinyl leukotriene receptor antagonist
DG01542	Imipraminoxide
DG01543	Epelsiban
DG01544	Olmesartan
DG01545	Resocortol
DG01546	Trimecaine
DG01547	Fibrates
DG01548	Fenofibrate
DG01549	New quinolone;Fluoroquinolone
DG01550	Quinolone
DG01551	Macrolide antibiotic
DG01552	Hydantoin type nitrofuran
DG01553	5-Nitrofuran antibacterial
DG01554	5-Nitrofuran antiprotozoal
DG01555	5-Nitrofuran antifungal
DG01556	Histamine receptor H3 antagonist
DG01557	Histamine receptor antagonist
DG01558	Monoamine oxidase A inhibitor
DG01559	5-HT4-receptor antagonist
DG01560	Sigma receptor agonist
DG01561	delta-Opioid receptor agonist
DG01562	kappa-Opioid receptor agonist
DG01563	mu-Opioid receptor agonist
DG01564	Opioid receptor agonist
DG01565	GABA-B receptor agonist
DG01566	Smoothened (Smo) antagonist
DG01567	GABA-A receptor agonist
DG01568	MAO inhibitor;Monoamine oxidase inhibitors
DG01569	AMPA receptor antagonist
DG01570	Nicotinic cholinergic receptor agonist
DG01571	Nicotinic cholinergic receptor partial agonist
DG01572	Calcium channel N type blocker
DG01573	Calcium channel T type blocker
DG01574	Calcium channel alpha-2 delta blocker
DG01575	Calcium channel blocker
DG01576	Amphenicol type antibacterial
DG01577	Pirlimycin
DG01578	Lincosamide antibiotic
DG01579	Polypeptide antibiotic
DG01580	Glycopeptide antibiotic
DG01581	Trimethoprim antibacterial
DG01583	ATP-sensitive potassium channel opener
DG01584	Estrogen receptor agonist
DG01585	Estrogen receptor antagonist
DG01586	Opioid receptor antagonist
DG01587	Opioid receptor agonist/antagonist
DG01588	Somatostatin receptor agonist
DG01589	Melatonin receptor agonist
DG01590	Androgen receptor agonist
DG01591	Androgen receptor antagonist
DG01592	COMT substrate
DG01593	Acetylcholinesterase inhibitor
DG01594	Butyrylcholinesterase inhibitor
DG01595	Cholinesterase inhibitor
DG01596	Aromatase inhibitor
DG01597	mTOR inhibitor
DG01598	Rifamycin antibiotic
DG01599	Medronic acid
DG01600	Bisphosphonate
DG01601	DPP-4 inhibitor
DG01602	Menadiol
DG01603	Vitamin K
DG01604	Retinoid;Retinol derivative
DG01605	Anabolic steroid
DG01606	Activated vitamin D3
DG01607	Vitamin D receptor agonist;Vitamin D derivatives
DG01608	Thyroid hormone replenisher
DG01609	Xanthine-type bronchodilator
DG01610	Xanthine-type cardiotonics
DG01611	Prostaglandin E1 derivative
DG01612	Xanthine-type central nervous system stimulant
DG01613	Xantine-type antiparkinsonian agent
DG01614	Xanthine-type vasodilator
DG01615	Xanthine-type diuretic
DG01616	Xanthine derivative
DG01617	Catecholamine synthesis inhibitors;Catecholamine depletors
DG01618	Organophosphate insecticide
DG01619	Clomifene and tamoxifen derivative
DG01620	Tamoxifene-type antineoplastic
DG01621	Cloimifene-type osteoporosis agent
DG01622	ABCB1 (P-GP) inhibitor
DG01623	Steroid-type antiandrogen
DG01624	Flutamide-type antiandrogen
DG01625	Alectinib
DG01626	Acorafloxacin;Avarofloxacin
DG01627	Batefenterol
DG01628	Cabotegravir
DG01629	Adrenocorticotropic hormone (ACTH)
DG01630	beta-Estrogen receptor agonist
DG01631	Trenbolone
DG01632	Clostebol
DG01634	CYP1A2 inhibitor
DG01635	CYP3A/CYP3A4 inducer
DG01636	Insulin and analog
DG01637	CYP1A2 inducer
DG01638	CYP2A6 substrate
DG01639	CYP2C19 substrate
DG01640	CYP2C8 inducer
DG01641	CYP2C8 inhibitor
DG01642	CYP2C9 substrate
DG01643	CYP2C9 inhibitor
DG01644	CYP2D6 substrate
DG01645	CYP2D6 inhibitor
DG01646	Proton pump inhibitor (PPI)
DG01647	HIV protease inhibitor
DG01648	Class III antiarrhythmic agent
DG01649	Class Ia antiarrhythmic agent
DG01650	Class Ic antiarrhythmic agent
DG01651	Class Ib antiarrhythmic agent
DG01652	Class I antiarrhythmic agent
DG01653	Antiarrhythmics
DG01654	alpha1-Adrenergic receptor specific agonist
DG01655	alpha2-adrenergic receptor specific agonist
DG01656	HIV reverse transcriptase inhibitor
DG01657	Nitrovasodilator
DG01658	Serotonin and norepinephrine reuptake inhibitor (SNRI)
DG01659	Selective serotonin reuptake inhibitor (SSRI)
DG01660	HMG-CoA reductase inhibitor
DG01661	Parathyroid hormone
DG01662	Factor Xa inhibitor
DG01663	alpha-Glucosidase inhibitor
DG01664	Tissue plasminogen activator (t-PA)
DG01665	ABCB1 (P-GP) substrate
DG01666	Progesterone receptor agonist
DG01667	Progesterone receptor antagonist
DG01668	Aminosalicylic acid derivative
DG01669	Daclatasvir
DG01670	Cabozantinib
DG01671	Trimethobenzamide
DG01672	Amino acid
DG01673	Amide type local anesthetic
DG01674	Esterified local anesthetic
DG01675	Local anesthetic
DG01676	Spironolactone derivative;Aldosterone antagonist
DG01677	Alkylating agent
DG01678	Nitrogen mustard analog
DG01679	Platinum compound
DG01680	Aluminum compounds antacid
DG01681	Fasiglifam
DG01682	Anthracycline antineoplastic
DG01683	Thiazolidinedione;Thiazolidinedione type PPAR agonist
DG01684	Biguanide antidiabetic
DG01685	Insulin sensitizer
DG01686	Inactivated vaccine
DG01687	Parenteral live vaccine
DG01688	Oral live vaccine
DG01689	Live vaccine
DG01690	Sulfonamide diuretic
DG01691	Iron chelator
DG01692	Chelator
DG01693	Iodine preparation
DG01694	Iron preparation
DG01695	Ganglion-blocking antiadrenergic
DG01696	Peripherally-acting muscle relaxant
DG01697	Digitalis cardiac glycoside
DG01698	Cardiac glycoside
DG01699	Catecholamine cardiotonic
DG01700	Nasaruplase
DG01701	Urokinase-type plasminogen activator
DG01702	Phenethylamine cardiotonic
DG01703	Cardiotonic
DG01704	Phenethylamine anorexic
DG01705	Anoretic
DG01706	Antiobesity
DG01707	Fibrinolytic
DG01708	Vitamin K antagonist;Coumarin anticoagulant
DG01709	Heparin anticoagulant
DG01710	beta-Lactam antibiotic
DG01711	Carbacephem
DG01712	Antiplatelet agent;Platelet aggregation inhibitor
DG01713	Penicillin skeleton group
DG01714	Cephalosporin skeleton group
DG01715	Drugs for nicotine dependence
DG01716	Drugs for alcohol dependence
DG01717	Drugs for opioid dependence
DG01718	Drugs for addictive disorder
DG01719	Parasympathomimetic agent
DG01720	Isophosphoramide mustard analog
DG01721	Methanesulfonate derivative
DG01722	Thiotepa type ethylene imine
DG01723	Ethylene imine
DG01724	Nitrosourea
DG01725	Epoxide
DG01726	Aldoxorubicin
DG01727	Anthraquinone antineoplastic
DG01728	Tricyclic antidepressant
DG01729	Tetracyclic antidepressant
DG01730	Non-selective monoamine reuptake inhibitor
DG01732	Non-thiazolidinedione type PPAR agonist
DG01733	PPAR agonist
DG01734	Sulfonamide type sulfonylurea receptor agonist
DG01735	Glinide;Short acting insulin secretagogues
DG01736	Deferitazole
DG01737	Rauwolfia alkaloid
DG01738	Centrally-acting antiadrenergic
DG01739	Peripherally-acting antiadrenergic
DG01740	Curare alkaloid
DG01741	Scilla glycoside
DG01742	Quaternary ammonium compound type muscle relaxant
DG01743	Strophantus glycoside
DG01744	digestive enzyme
DG01745	Anticholinergic antiparkinson agent
DG01746	Piretanide type diuretic
DG01747	Furosemide type diuretic
DG01748	Loop diuretic
DG01749	Thiazide diuretic
DG01750	Interferon alpha
DG01751	Interferon beta
DG01752	Interferone
DG01753	Colony stimulating factor;Leukocyte growth factor
DG01754	Cannabinoid receptor inverse agonist
DG01755	Benzfetamine
DG01756	Ondelopran;Odelepran
DG01757	Amrinone type cardiotonic
DG01758	Pimobendan type cardiotonic
DG01759	Dicumarol type coumarin derivative
DG01760	Warfarin and analog
DG01761	Phenindion type coumarin derivative
DG01762	Antiemetic
DG01763	Propulsive
DG01764	Emollient laxative
DG01765	Contact laxative
DG01766	Bulk-forming laxative
DG01767	Osmotic laxative
DG01768	Opioid-induced laxative
DG01769	Enema
DG01770	Laxative
DG01771	Docusate
DG01772	Carmellose
DG01773	Berberine
DG01774	First-generation cephalosporin
DG01775	Second-generation cephalosporin
DG01776	Third-generation cephalosporin
DG01777	Fourth-generation cephalosporin
DG01778	beta-Lactamase sensitive penicillin
DG01779	beta-Lactamase resistant penicillin
DG01780	Extended spectrum penicillin
DG01781	Granulocyte colony stimulating factor (G-CSF)
DG01782	Granulocyte macrophage colony-stimulating factors (GM-CSF)
DG01783	Sulpiride type antiemetic;Benzamide type antiemetic
DG01784	Short-acting sulfonamide
DG01785	Intermediate-acting sulfonamide
DG01786	Long-acting sulfonamide
DG01787	Sulfonamide antibacterial
DG01788	Thiocarbamide derivative
DG01789	Oxazolidinone antibiotic
DG01790	Sulfonamide hypoglycemic
DG01791	Hydroquinidine
DG01792	Pregnenolone
DG01793	Dacomitinib
DG01794	SGLT2 inhibitor
DG01795	PPAR gamma agonist
DG01796	Insulin analog, fast-acting
DG01797	Insulin analog, long-acting
DG01798	Human insulin, fast-acting
DG01799	Human insulin, intermediate-acting
DG01800	Human insulin, long-acting
DG01801	Insulin analog
DG01802	Human insulin
DG01803	Antidiabetic, alpha-glucosidase inhibitor
DG01804	Oxyimino beta-lactam
DG01805	Mediator release inhibitor
DG01806	Propranolol type antiarrhythmic;Class II antiarrhythmic agent
DG01807	Phenylalkylamine derivative
DG01808	Thienopyridine
DG01809	P2Y12 receptor antagonist
DG01810	Prostacycline derivative;Prostaglandin I2 (PGI2) derivatives
DG01811	Fibrinogen receptor antagonist
DG01812	Sanfetrinem
DG01813	Pleuromutilin
DG01814	Mazipredone
DG01815	Danoprevir
DG01816	Deldeprevir;Neceprevir
DG01818	Ledipasvir
DG01819	Ombitasvir
DG01820	Paritaprevir
DG01821	Metomidate
DG01822	Aftobetin
DG01823	Buparlisib
DG01824	Beclabuvir
DG01825	Cobimetinib
DG01826	Dactolisib
DG01827	Defactinib
DG01828	Deleobuvir
DG01829	Esketamine
DG01830	Methylsamidorphan
DG01831	Palbociclib
DG01832	Pevonedistat
DG01833	Plazomicin
DG01834	Tafenoquine
DG01835	Benzodiazepine sedative-hypnotics
DG01836	Non-benzodiazepine sedative-hypnotics
DG01837	Barbiturate sedative-hypnotics
DG01838	Pitavastatin
DG01839	Esuberaprost
DG01840	Isavuconazonium
DG01841	Lubabegron
DG01842	Luminespib
DG01843	Mupafostat
DG01844	Orilotimod
DG01845	Rimegepant
DG01846	Pradigastat
DG01847	Ralimetinib
DG01848	Sarecycline
DG01849	Bradanicline
DG01850	Benzhydrocodone
DG01851	Briciclib
DG01852	Encenicline
DG01853	Peficitinib
DG01854	Sonidegib
DG01855	Alisertib
DG01856	Etelcalcetide;Velcalcetide
DG01857	Axelopran
DG01858	Centanafadine
DG01859	Ferric citrate
DG01860	Temsavir
DG01861	Lanopepden
DG01862	Rabacfosadine
DG01863	Spebrutinib
DG01864	Rucaparib
DG01865	Talazoparib
DG01866	Toreforant
DG01867	Verosudil
DG01868	Rolapitant
DG01869	Ecabet
DG01870	Cetraxate
DG01871	Irsogladine
DG01872	Aluminum silicate
DG01873	Para-aminosalicylate
DG01874	14-membered ring macrolide antibiotic
DG01875	15-Membered ring macrolide antibiotic
DG01876	16-Membered ring macrolide antibiotic
DG01877	Benexate
DG01878	Idalopirdine
DG01879	Macimorelin
DG01880	Retaspimycin
DG01881	Ulodesine
DG01882	Aldose reductase inhibitor
DG01883	Imidazole antifungal
DG01884	Metronidazole type antiprotozoal;Imidazole antiprotozoal
DG01885	Potassium-sparing diuretic
DG01886	Dasabuvir
DG01887	Drisapersen
DG01888	Octenidine
DG01889	Non-nucleoside reverse transcriptase inhibitor (NNRTI)
DG01890	Nucleoside reverse transcriptase inhibitor (NRTI)
DG01891	CYP1A1 substrate
DG01892	CYP1A2 substrate
DG01893	ABCB1 (P-GP) inducer
DG01894	Evatanepag
DG01895	Taprenepag
DG01896	Nafamostat
DG01898	Anti-inflammatory drug, phenylacetic acid derivatives
DG01899	Anti-inflammatory drug, indoleacetic acid derivatives
DG01901	Perampanel
DG01902	Pentamidine
DG01903	Midecamycin
DG01904	Barbiturate antiepileptics;Barbiturate anticonvulsants
DG01905	Phenothiazine antipsychotics
DG01906	Anti-inflammatory drug, acetic acid derivatives
DG01907	Anti-inflammatory drug, coxibs
DG01908	Anti-inflammatory drug, propionic acid derivatives
DG01909	Anti-inflammatory drug, salicylic acid derivatives
DG01910	Anti-inflammatory drug, oxicams
DG01911	Anti-inflammatory drug, anthranilic acid derivatives;Anti-inflammatory drug, fenamic acid derivatives
DG01912	Gold preparations
DG01913	ABCG2 (BCRP) substrate
DG01914	Anxiolytics, benzodiazepine derivatives
DG01915	CYP3A5 inhibitor
DG01916	Amuvatinib
DG01917	Receptor tyrosine kinase inhibitor
DG01918	Tyrosine kinase inhibitor
DG01919	Propylhexedrine
DG01920	Thiosalicylic acid
DG01921	Diethazine
DG01922	Selective COX2 inhibitor
DG01923	Renin inhibitor
DG01924	Elobixibat
DG01925	Renin-angiotensin system inhibitor
DG01926	Copanlisib
DG01927	Sultosilic acid
DG01928	Dihydropyridine calcium channel blocker
DG01929	Imidocarb
DG01930	Dihydrofolate reductase inhibitor, antineoplastic
DG01931	Dihydrofolate reductase inhibitor, antibacterial;Trimethoprim derivative
DG01932	Dihydrofolate reductase inhibitor, antiprotozoal;Antifolate, antiprotozoal
DG01933	CYP2C19 inhibitor
DG01934	Antithyroid agent
DG01935	Fluoropyrimidine antineoplastic
DG01936	TNF inhibitor
DG01937	Anti-cytomegalovirus agent
DG01938	CYP2D6 inducer
DG01940	Butyrophenone derivative
DG01941	Benzamide antipsychotic
DG01942	Iminobenzyl antipsychotic
DG01943	5-HT1B/1D-receptor agonist, antimigraine drug;Triptan
DG01944	Todralazine
DG01945	Bile acid sequestrant
DG01946	Hypolipidemic agent
DG01947	Anti-inflammatory drug, pyrazolone
DG01948	Gilteritinib
DG01949	Anti-inflammatory drug, phenylbutazones
DG01950	Antithrombotic agent;Anticoagulant
DG01951	Catecholamine adrenergic receptor agonist
DG01952	Vasopressin analog
DG01953	Thyroid preparation
DG01954	Antacid
DG01955	Corticosteroid
DG01956	Bile acid preparation
DG01957	Antidiarrheal
DG01958	Nucleic acid derivative, antineoplastic
DG01959	Prostaglandin E2 derivative
DG01960	Prostaglandin F derivative
DG01961	Prostaglandin derivative
DG01962	alpha-Glucosidase inhibitor, antiviral
DG01963	Vasodilator, ergot alkaloid
DG01964	Ergot alkaloid
DG01965	Antineoplastic, vinca alkaloid
DG01966	Antitubercular
DG01967	Antiparkinson agent
DG01968	Agents for Alzheimer-type dementia
DG01969	Racetam derivative, nootropic
DG01970	Agents for ADHD
DG01971	Agents for narcolepsy
DG01973	Carbamate muscle relaxant
DG01975	Agents for peptic ulcer
DG01976	Avatrombopag
DG01977	Dihydroergotoxine
DG01978	Folic acid analog
DG01979	Magnesium containing preparation
DG01980	Calcium
DG01981	Anti-inflammatory drug, anilide derivatives
DG01982	Antimigraine, ergot alkaloid
DG01983	Glecaprevir
DG01984	Opioid analgesics
DG01985	Disease modifying anti-rheumatic drugs (DMARDs)
DG01986	Estrogen
DG01987	Eglumegad;Eglumetad
DG01988	Ciraparantag
DG01989	Dasotraline
DG01990	Serine protease inhibitor
DG01991	Filgotinib
DG01992	Enclomiphene
DG01993	Thyroid
DG01994	Halogenated hydrocarbons
DG01995	Ciramadol
DG01996	Magnesium silicate
DG01997	Guadecitabine
DG01998	Gepotidacin
DG01999	NS5A inhibitor
DG02000	NS5B inhibitor
DG02001	NS3/4A inhibitor
DG02002	Nusinersen
DG02003	Amifampridine
DG02004	Progesterone
DG02005	Oclacitinib
DG02006	Testosterone
DG02007	Antianxiety, carbamate derivatives
DG02008	Gastric mucosal protectant
DG02009	Pyrazinamide derivative
DG02010	Fominoben
DG02011	Glaucine
DG02012	Antifibrinolytic
DG02013	Blood coagulation factor
DG02014	Blood coagulation accelerant
DG02015	Vascular reinforcement
DG02016	Hemostatics
DG02018	Antimetabolite
DG02020	Janus kinase inhibitor;JAK inhibitor
DG02021	Src inhibitor
DG02023	Aganepag
DG02024	Simenepag
DG02025	Barbiturate anesthetics
DG02026	Opioid anesthetics
DG02027	General anesthetics
DG02028	Inhalational anaesthetics
DG02030	Anesthetics
DG02031	Hydantoin anticonvulsants;Hydantoin antiepileptics
DG02032	Oxazolidine anticonvulsants;Oxazolidine antiepileptics
DG02033	Succinimide anticonvulsants;Succinimide antiepileptics
