C00001	H2O;Water
C04378	7-alpha-D-Ribosyladenine 5'-phosphate
C04379	9,11alpha-Epoxypregn-4-ene-3,20-dione
C04381	DNA 4,6-diamino-5-formamidopyrimidine
C04382	Dihydrostreptomycin 3'alpha-phosphate
C04384	Heparan sulfate alpha-D-glucosaminide
C04385	Flavonol 3-O-(6-O-malonyl-beta-D-glucoside)
C04386	Myelin proteolipid O-palmitoylprotein;O-Palmitoyl-[myelin proteolipid]
C04387	N-Acetyl-D-galactosaminyl-polypeptide;Tn antigen;N-Acetyl-alpha-D-galactosaminyl-R;N-Acetyl-alpha-D-galactosaminyl-polypeptide;N-Acetyl-D-galactosaminyl-R
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate;N6-Acetyl-LL-2,6-diaminopimelate;N-Acetyl-LL-2,6-diaminoheptanedioate;N6-Acetyl-L-2,6-diaminopimelate;N2-Acetyl-LL-2,6-diaminoheptanedioate;N6-Acetyl-L-2,6-diaminoheptanedioate;N2-Acetyl-LL-2,6-diaminopimelate
C04391	O-Phospho-microsomal-membrane protein
C04392	P1,P4-Bis(5'-xanthosyl) tetraphosphate;XppppX
C04394	Peptideglycan(N-acetyl-D-glucosamine);Peptidoglycan(N-acetyl-D-glucosamine)
C04395	Phospho-[DNA-directed RNA polymerase]
C04397	Procollagen trans-3-hydroxy-L-proline;[Procollagen]-trans-3-hydroxy-L-proline
C04398	Procollagen trans-4-hydroxy-L-proline
C04399	S-Methyl-3-phospho-1-thio-D-glycerate
C04403	beta-D-Glucosyl-1-phosphoundecaprenol
C04404	trans-4-Hydroxycyclohexanecarboxylate
C04405	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA;(S)-3-Hydroxy-2-methylbutyryl-CoA
C04409	2-Amino-3-(3-oxoprop-1-enyl)-but-2-enedioate;2-Amino-3-carboxymuconate semialdehyde;2-Amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate
C04411	3-Isopropylmalate;2-D-threo-Hydroxy-3-carboxy-isocaproate;(2R,3S)-3-Isopropylmalate;3-Carboxy-2-hydroxy-4-methylpentanoate
C04415	4-O-beta-D-Glucosyl-4-hydroxycinnamate
C04416	5alpha-Ergosta-7,22-diene-3beta,5-diol
C04417	6-alpha-D-(1,4-alpha-D-Glucano)-glucan
C04418	N-Acetyl-L-phenylalanyl-L-diiodotyrosine;N-Acetylphenylalanyl-3,5-diiodotyrosine
C04419	[Biotin carboxyl-carrier protein]-carboxybiotin-N6-L-lysine;[Biotin carboxyl-carrier protein]-N6-carboxybiotinyl-L-lysine;Carboxybiotin-carboxyl-carrier protein
C04420	D-Fructofuranose 1,2':2,3'-dianhydride
C04421	N-Succinyl-L-2,6-diaminopimelate;N-Succinyl-L-2,6-diaminoheptanedioate;N-Succinyl-LL-2,6-diaminopimelate;N-Succinyl-LL-2,6-diaminoheptanedioate
C04422	N6-Alkylaminopurine-7-beta-D-glucoside
C04423	Nicotinamide hypoxanthine dinucleotide
C04424	S-(2-Methylpropionyl)-dihydrolipoamide;S-(2-Methylpropanoyl)-dihydrolipoamide
C04425	S-Adenosyl-4-methylthio-2-oxobutanoate;S-Adenosyl-4-(methylsulfanyl)-2-oxobutanoate
C04426	UDP-N-acetyl-D-galactosamine 4-sulfate
C04428	alpha-D-Galactosyl-N-acetyllactosamine
C04429	beta-D-Glucosylpoly(ribitol phosphate)
C04431	cis-4-Carboxymethylenebut-2-en-4-olide;4-Carboxymethylenebut-2-en-4-olide
C04432	tRNA containing 6-isopentenyladenosine;N6-Dimethylallyladenine in tRNA
C04433	(E)-3,7-Dimethylocta-1,6-diene-3,8-diol;(6E)-8-Hydroxylinalool
C04434	4-Oxalmesaconic acid;4-Oxalomesaconate;(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate
C04435	(Z)-2-Methyl-5-isopropylhexa-2,5-dienal;cis-2-Methyl-5-isopropylhexa-2,5-dienal
C04437	1-(5-Phosphoribosyl)imidazole-4-acetate
C04438	L-2-Lysophosphatidylethanolamine;1-Acyl-sn-glycero-3-phosphoethanolamine
C04441	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine;2-[(3S)-3-Amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2];EF-2 2-(3-carboxy-3-aminopropyl)-L-histidine;2-(3-Carboxy-3-aminopropyl)-L-histidine
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate;2-Keto-3-deoxy-6-phosphogluconate;6-Phospho-2-dehydro-3-deoxy-D-gluconate;2-Dehydro-3-deoxy-D-gluconate 6-phosphate
C04443	3',4',5,7-Tetrahydroxy-3-methoxyflavone;3-Methoxy-5,7,3',4'-tetrahydroxyflavone;3-O-Methylquercetin
C04444	3,7,4'-Tri-O-methylquercetin;3',5-Dihydroxy-3,4',7-trimethoxyflavone
C04445	3,4-Dehydrothiomorpholine-3-carboxylate
C04446	3-(3,4-Dihydroxypyridin-1-yl)-L-alanine
C04447	3-Carboxy-4-methoxy-N-methyl-2-pyridone
C04448	3-Hydroxymethyl ceph-3-em-4-carboxylate
C04452	4-Nitrophenol-alpha-D-galactopyranoside
C04453	4alpha-Methyl-5alpha-cholest-7-en-3-one
C04454	5-Amino-2,6-dioxy-4-(5'-phospho-D-ribitylamino)pyrimidine;5-Amino-6-(5'-phospho-D-ribitylamino)uracil;5-Amino-6-(5-phospho-D-ribitylamino)uracil
C04457	D-Alanyl-alanyl-poly(glycerolphosphate)
C04458	Dihydrostreptomycin 6,3''-bis-phosphate
C04459	4-O-Methylglucuronoxylan;Glucuronoxylan 4-O-methyl-D-glucuronate
C04461	N-Acetyl-alpha-D-glucosamine 1,6-bisphosphate;N-Acetyl-D-glucosamine 1,6-bisphosphate
C04462	N-Succinyl-L-2-amino-6-oxopimelate;(S)-2-(Succinylamino)-6-oxoheptanedioate;N-Succinyl-L-2-amino-6-oxoheptanedioate;N-Succinyl-2-L-amino-6-oxoheptanedioate;N-Succinyl-epsilon-keto-L-aminopimelic acid;N-Succinyl-2-amino-6-oxo-L-pimelic acid
C04465	alpha,alpha'-Trehalose 6,6'-bismycolate
C04466	Poly(sialoside);alpha-2,8-Linked polymer of sialic acid
C04468	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;cis-3,4-Dihydroxy-3,4-dihydrophenanthrene
C04469	(+/-)-2-(4'-Isobutylphenyl)propionitrile
C04471	(4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate
C04473	3-alpha-D-Galactosyl-[lipopolysaccharide glucose]
C04475	1-Organyl-2-acyl-sn-glycero-3-phosphoethanolamine;1-Alkyl-2-acylglycerophosphoethanolamine;1-Radyl-2-acyl-sn-glycero-3-phosphoethanolamine;2-Acyl-1-alkyl-sn-glycero-3-phosphoethanolamine;O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine
C04476	1-Alkyl-sn-glycero-3-phosphoethanolamine
C04477	Inositol 1,3,4,6-tetrakisphosphate;1D-myo-Inositol 1,3,4,6-tetrakisphosphate;D-myo-Inositol 1,3,4,6-tetrakisphosphate
C04478	2-Dehydro-3-deoxy-D-octonate 8-phosphate;3-Deoxy-D-manno-octulosonate 8-phosphate
C04479	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate;(2Z,4E)-2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
C04480	3-Carboxy-2-hydroxymuconate semialdehyde
C04482	3-O-L-Lysyl-1-O-phosphatidylglycerol
C04483	Deoxycholate;Deoxycholic acid;3alpha,12alpha-Dihydroxy-5beta-cholanic acid;3alpha,12alpha-Dihydroxy-5beta-cholanate
C04484	4-Carboxy-2-hydroxymuconate semialdehyde;4-Carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde
C04485	5-(4-Acetoxybut-1-ynyl)-2,2'-bithiophene
C04486	5-(4-Hydroxybut-1-ynyl)-2,2'-bithiophene;3-Butyn-1-ol, 4-(5-(2-thienyl)-2-thienyl)-
C04487	5-(D-Galactosyloxy)-L-lysine-procollagen;Procollagen 5-(D-galactosyl)-L-lysine;Procollagen 5-(D-galactosyloxy)-L-lysine;Procollagen beta-D-galactosyl-L-hydroxylysine
C04488	5-Methyltetrahydromethanopterin;5-Methyl-THMPT;5-Methyl-H4MPT;5-Methyl-5,6,7,8-tetrahydromethanopterin
C04489	5-Methyltetrahydropteroyltri-L-glutamate
C04491	Cyanidin 3-rutinoside chloride;Keracyanin chloride;Cyanidin-3-rhamnoglucoside chloride
C04494	Guanosine 3'-diphosphate 5'-triphosphate;Guanosine 5'-triphosphate,3'-diphosphate
C04498	p-Coumaroylagmatine;N-(4-Guanidinobutyl)-4-hydroxycinnamide;N-(4-Guanidinobutyl)-4-hydroxycinnamamide
C04500	N-Acetyl-D-glucosaminyl-diphosphodolichol;N-Acetyl-D-glucosaminyldiphosphodolichol
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C04502	N-Acetyl-beta-D-glucosaminyl-glycopeptide
C04503	N'-Phosphoguanidinoethyl methyl phosphate
C04504	N3-Acetyl-2-deoxystreptamine antibiotic;N3'-Acetyl-2-deoxystreptamine antibiotic
C04505	Polysialic acid acetylated at O-7
C04506	Protein C-terminal S-farnesyl-L-cysteine
C04507	alpha-D-Galactosyl-diphosphoundecaprenol
C04508	alpha-D-Glucosylpoly(glycerol phosphate)
C04509	ditrans,heptacis-Decaprenyl diphosphate;di-trans,poly-cis-Decaprenyl diphosphate
C04510	3-[(3S)-3-Amino-3-carboxypropyl]-uridine in tRNA;acp3U in tRNA;tRNA 3-(3-amino-3-carboxypropyl)-uridine
C04511	tRNA(Asp)-O-5''-beta-D-mannosylqueuosine
C04512	trans,trans-2,3,4,5-Tetradehydroacyl-CoA
C04514	trans-1,2-Dihydronaphthalene-1,2-diol;(1S,2S)-1,2-Dihydronaphthalene-1,2-diol
C04515	(3S)-3-Hydroxyacyl-N-acylthioethanolamine
C04516	1,2,3,6-Tetrakis-O-galloyl-beta-D-glucose;1,2,3,6-Tetra-O-galloyl-beta-D-glucose
C04517	1-(1-Alkenyl)-sn-glycero-3-phosphocholine;1-O-Alk-1-enyl-glycero-3-phosphocholine;1-Alkenylglycerophosphocholine;1-Alkenyl-sn-glycero-3-phosphocholine
C04518	17alpha,20alpha-Dihydroxypregn-4-en-3-one
C04520	Inositol 3,4,5,6-tetrakisphosphate;D-myo-Inositol 3,4,5,6-tetrakisphosphate;1D-myo-Inositol 3,4,5,6-tetrakisphosphate
C04521	2,7-Anhydro-alpha-N-acetylneuraminic acid
C04522	5-Chloro-2,5-dihydro-2-oxofuran-5-acetate;2-Chloro-2,5-dihydro-5-oxofuran-2-acetate;(2R)-2-Chloro-2,5-dihydro-5-oxofuran-2-acetate;(+)-4-Chloromuconolactone;2-Chloro-5-oxo-2,5-dihydrofuran-2-acetate
C04524	2-Protocatechoylphloroglucinolcarboxylate;2-(3,4-Dihydroxybenzoyloxy)-4,6-dihydroxybenzoate
C04525	Fecosterol;24-Methylene-5alpha-cholest-8-en-3beta-ol
C04526	3'-Deoxydihydrostreptomycin 3''-phosphate
C04527	3,3',4',5,7-Pentahydroxy-8-methoxyflavone;Corniculatusin
C04529	(3S,4S)-3-Hydroxytetradecane-1,3,4-tricarboxylate
C04530	4,4-Dimethylcholest-7-ene-3-ol;4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol
C04534	6-Phospho-beta-D-glucosyl-(1,4)-D-glucose;Cellobiose 6-phosphate;Cellobiose 6'-phosphate
C04535	7-Methyl-2-hydroxy-6-oxoocta-2,4-dienoate
C04536	Mg-Protoporphyrin IX 13-monomethyl ester;Magnesium-protoporphyrin IX 13-monomethyl ester;Magnesium protoporphyrin monomethyl ester;Magnesium protoporphyrin IX 13-methyl ester
C04537	N,N'-Diacetylchitobiosyldiphosphodolichol;Chitobiosyldiphosphodolichol
C04539	N-Acetyl-D-glucosaminyllipopolysaccharide
C04540	N4-(Acetyl-beta-D-glucosaminyl)asparagine;N4-(beta-N-Acetyl-D-glucosaminyl)-L-asparagine;1-beta-Aspartyl-N-acetyl-D-glucosaminylamine
C04541	N5-Dinitrophenyl-L-ornithine methyl ester
C04542	Protein beta-D-galactosyl-L-hydroxylysine
C04543	S-Butyl-DL-homocysteine-[S,R]-sulfoximine;Buthionine sulfoximine
C04544	gamma-L-Glutamyl-L-cysteinyl-beta-alanine
C04545	tRNA containing 2'-O-methylguanosine
C04546	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate
C04547	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene
C04548	1-(4-Hydroxyphenyl)-2-(methylamino)ethanol;(+/-)-Synephrine;Synephrine
C04549	1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate);1-Phosphatidyl-1D-myo-inositol 3-phosphate
C04552	3',4',5-Trihydroxy-3,6,7-trimethoxyflavone;Chrysosplenol D
C04553	4-Carboxy-2,5-dihydro-2-oxofuran-5-acetate;3-Carboxy-2,5-dihydro-5-oxofuran-2-acetate
C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanoate;3alpha,7alpha-Dihydroxy-5beta-cholestanate
C04555	Dehydroepiandrosterone sulfate;DHEA sulfate;3beta-Hydroxyandrost-5-en-17-one 3-sulfate
C04556	HMP-P;4-Amino-5-hydroxymethyl-2-methylpyrimidine phosphate;4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine;(4-Amino-2-methylpyrimidin-5-yl)methyl phosphate
C04558	3-Methylmuconolactone;4-Carboxymethyl-3-methylbut-2-en-1,4-olide
C04559	4-Carboxymethyl-4-methylbut-2-en-1,4-olide;4-Methylmuconolactone
C04561	Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate
C04562	Benzyl (2S,3S)-2-methyl-3-hydroxybutanoate
C04563	myo-Inositol 1,2,4,5,6-pentakisphosphate;1D-myo-Inositol 1,2,4,5,6-pentakisphosphate;Inositol 1,2,4,5,6-pentakisphosphate;D-myo-Inositol 1,2,4,5,6-pentakisphosphate
C04564	[Isocitrate dehydrogenase (NADP+)] phosphate
C04565	Low-density lipoprotein O-phospho-L-serine
C04566	Membrane-derived-oligosaccharide D-glucose
C04570	Reduced electron-transferring flavoprotein;Reduced electron-transfer flavoprotein
C04572	S-(N-Hydroxy-N-methylcarbamoyl)glutathione
C04573	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate;UDP-N-acetyl-D-glucosaminuronate;UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate
C04574	Undecaprenyl diphosphate;di-trans,poly-cis-Undecaprenyl diphosphate;ditrans,octacis-Undecaprenyl diphosphate;Bactoprenyl diphosphate
C04575	2,3-Diketo-L-gulonate;(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate
C04576	Pentagalloylglucose;Pentagalloyl-beta-D-glucose;1,2,3,4,6-Pentakis-O-galloyl-beta-D-glucose
C04577	(5Z,8Z,11Z,13E)-15-Oxoicosa-5,8,11,13-tetraenoic acid;15-OxoETE;15-Oxo-5,8,11-cis-13-trans-icosatetraenoate;15-Oxo-5,8,11-cis-13-trans-eicosatetraenoate
C04578	(3R)-3-Hydroxy-16-methoxy-2,3-dihydrotabersonine;16-Methoxy-2,3-dihydro-3-hydroxytabersonine
C04579	Inositol 1,2,3,5,6-pentakisphosphate;1D-myo-Inositol 1,2,3,5,6-pentakisphosphate;myo-Inositol 1,2,3,5,6-pentakisphosphate;1L-myo-Inositol 1,2,3,4,5-pentakisphosphate
C04580	2-Deoxy-2,3-dehydro-N-acetylneuraminic acid
C04581	3',4',5,6-Tetrahydroxy-3,7-dimethoxyflavone;Tomentin
C04582	5-(Methylsulfanyl)-D-ribulose 1-phosphate;S-Methyl-5-thio-D-ribulose 1-phosphate
C04583	6-Hydroxyl-1,6-dihydropurine ribonucleoside;(6R)-1,6-Dihydroinosine
C04584	6-Imino-5-oxocyclohexa-1,3-dienecarboxylate
C04586	Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate
C04587	Diethyl (2S,3R)-2-methyl-3-hydroxysuccinate
C04589	UDP-N-acetyl-D-galactosamine 4,6-bissulfate
C04590	3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate
C04592	Toluene-cis-dihydrodiol;(1S,2R)-3-Methylcyclohexa-3,5-diene-1,2-diol
C04593	Methylisocitric acid;(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate;Methylisocitrate
C04594	13(S)-EOD;(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoate;(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic acid
C04596	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethylene;DDE;1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene
C04597	1,2-Bis(3,4-dimethoxyphenyl)propane-1,3-diol;1,2-Bis(3,4-dimethoxyphenyl)-1,3-propanediol
C04598	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine;PAF;Platelet-activating factor
C04599	MPTP;1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C04604	3-Hydroxy-2-methylpyridine-4,5-dicarboxylate
C04606	5-(3,4-Diacetoxybut-1-ynyl)-2,2'-bithiophene
C04608	Apigenin 7-O-beta-D-glucoside;Cosmetin;7-O-beta-D-Glucosyl-5,7,4'-trihydroxyflavone;Apigetrin;Apigenin 7-O-glucoside;Cosmosiin;7-(beta-D-Glucopyranosyloxy)-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one
C04611	Indol-3-ylacetyl-myo-inositol L-arabinoside
C04613	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose;UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hexos-4-ulose;UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose
C04614	3-(alpha-D-Mannosyl)-beta-D-mannosyl-R;alpha-D-Mannosyl-1,3-(R1)-beta-D-mannosyl-R2
C04615	alpha-D-Mannosylchitobiosyldiphosphodolichol
C04617	D-erythro-Isocitric acid;(1S,2S)-1-Hydroxypropane-1,2,3-tricarboxylate
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein];(R)-3-Hydroxybutanoyl-[acyl-carrier protein]
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein];(R)-3-Hydroxydecanoyl-[acyl-carrier protein]
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein];(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
C04621	(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide
C04622	(Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide
C04623	Clofenotane;Dichlorodiphenyltrichloroethane;1,1,1-Trichloro-2,2-bis-(4'-chlorophenyl)ethane;1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane;DDT
C04625	3,5-Dichloro-2,5-dihydro-2-oxofuran-5-acetate;2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate
C04627	D-Galactosyl-N-acetyl-alpha-D-galactosaminide
C04628	N-(7-Mercaptoheptanoyl)threonine O3-phosphate;N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate;HTP;CoB;Coenzyme B
C04630	UDP-N-acetylbacillosamine;UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine;UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose
C04631	UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine;UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine;UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine;UDP-N-acetylglucosamine-3-O-pyruvateether;UDP-N-acetylglucosamine enolpyruvate
C04632	[Hydroxymethylglutaryl-CoA reductase (NADPH)]
C04633	(3R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein];(R)-3-Hydroxypalmitoyl-[acyl-carrier protein];(R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein];(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]
C04634	1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate;1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C04635	1-Alkenylglycerophosphoethanolamine;1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine
C04636	1-Acyl-2-linoleoyl-sn-glycero-3-phosphocholine
C04637	Phosphatidyl-myo-inositol 4,5-bisphosphate;Phosphatidylinositol-4,5-bisphosphate;1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate;1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4',5'-bisphosphate);1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate
C04638	2,3-Digeranylgeranyl sn-glycerol 1-phosphate;2,3-Bis-O-(geranylgeranyl)-sn-glycerol-1-phosphate;2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate
C04639	2,4-Dioxotetrahydropyrimidine D-ribonucleotide
C04640	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine;5'-Phosphoribosyl-N-formylglycinamidine;5'-Phosphoribosylformylglycinamidine;2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine;1-(5'-Phosphoribosyl)-N-formylglycinamidine
C04641	2-(alpha-D-Galactosyl)-sn-glycerol 3-phosphate
C04642	2-Hydroxy-5-carboxymethylmuconate semialdehyde;5-Carboxymethyl-2-hydroxymuconic semialdehyde;5-Carboxymethyl-2-hydroxymuconate semialdehyde
C04643	7-Oxodeoxycholate;3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholan-24-oate;3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanoate;7-Ketocholate
C04644	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C04645	6-(D-Glucose-1-phospho)-D-mannosylglycoprotein;Glycoprotein 6-(D-glucose-1-phospho)-D-mannose
C04646	6-Thioinosine-5'-monophosphate;9-(5-Phospho-1-ribofuranosyl)-6-mercaptopurine
C04648	alpha-L-Fucosyl-(1->2)-D-galactosyl-R;Glycolipid alpha-L-fucosyl-1,2-beta-D-galactose;Glycoprotein alpha-L-fucosyl-(1,2)-D-galactose;alpha-L-Fucosyl-1,2-beta-D-galactoside
C04649	Heparan sulfate N-acetyl-alpha-D-glucosaminide
C04650	L-Glufosinate;L-Phosphinothricin;Phosphinothricin;L-2-Amino-4-(hydroxymethylphosphinyl)butanoate
C04652	UDP-2,3-bis(beta-hydroxymyristoyl)-D-glucosamine;UDP-2,3-bis[O-(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine;UDP-2,3-bis(3-hydroxytetradecanoyl)-D-glucosamine;UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine
C04654	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate
C04655	(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate
C04656	1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R;beta-D-Galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-R;beta-D-Galactosyl-(1->3)-N-acetyl-D-glucosaminyl-R
C04660	3'-Deoxydihydrostreptomycin 6,3''-bis-phosphate
C04661	3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate;3alpha,7alpha,12beta-Trihydroxy-5beta-cholanic acid
C04662	4-Deoxy-alpha-L-erythro-hex-4-enopyranuronoside
C04663	AICA riboside;5-Aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside;Acadesine;5-Amino-1-beta-D-ribofuranosylimidazole-4-carboxamide
C04665	Co-Methyl-5-hydroxybenzimidazolylcobamide
C04666	D-erythro-Imidazole-glycerol phosphate;D-erythro-Imidazole-glycerol 3-phosphate;D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C04667	N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)
C04670	(1S,4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate
C04671	(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate
C04672	12,13(S)-EOTrE;(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid;12,13(S)-EOT;(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate;(9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate
C04673	Amidino-3-keto-scyllo-inosamine;1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol
C04674	3-D-Glucuronosyl-N2,6-disulfo-beta-D-glucosamine
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA;3-Hydroxy-3-isohexeneylglutaryl-CoA
C04676	3-Oxo-13,17-secoandrost-4-ene-17,13alpha-lactone;Testololactone
C04677	5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole;AICAR;5-Aminoimidazole-4-carboxamide ribotide;1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide;5-Amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide;5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide;5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide;5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide
C04678	Archaeal dolichyl N-acetyl-alpha-D-glucosaminyl phosphate;Dolichyl N-acetyl-alpha-D-glucosaminyl phosphate
C04679	Protein N6-[(R)-4-amino-2-hydroxybutyl]-L-lysine;[eIF5A-precursor]-hypusine
C04680	Retinyl-ester-(cellular-retinol-binding-protein)
C04681	Biotin-[acetyl-CoA carboxylase];Holo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)];Biotin-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)];[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)];Holo-[acetyl-CoA carboxylase]
C04682	Holo-[methylmalonyl-CoA-carboxyltransferase];Holo-[methylmalonyl-CoA:pyruvate carboxytransferase];Biotin-[methylmalonyl-CoA:pyruvate carboxytransferase];Biotin-[methylmalonyl-CoA-carboxyltransferase];[Methylmalonyl-CoA:pyruvate carboxytransferase]
C04683	alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R
C04684	m-Carboxyphenyl phenylacetamidomethylphosphonate
C04685	PGA1;Prostaglandin A1;(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate
C04686	Prostaglandin C1;(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate
C04687	(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein];(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein];beta-Hydroxymyristyl-[acyl-carrier protein];HMA
C04690	2-(Acetamidomethylene)-3-(hydroxymethyl)succinate;2-(Hydroxymethyl)-3-(acetamidomethylene)succinate
C04691	2-Dahp;3-Deoxy-D-arabino-heptulosonic acid 7-phosphate;DAHP;3-Deoxy-D-arabino-hept-2-ulosonate 7-phosphate;3-Deoxy-arabino-heptulonate 7-phosphate;2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C04692	Elongation factor 2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine;2-[3-Carboxy-3-(methylammonio)propyl]-L-histidine;2-[(3S)-3-Carboxy-3-(methylamino)propyl]-L-histidine-[translation elongation factor 2];Peptide 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine;EF-2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine
C04695	5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside
C04696	7-Methylguanosine 5'-triphospho-5'-oligonucleotide;m7GpppX
C04698	Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside
C04700	UDP-N-acetylmuramoyl-L-alanyl-alpha-D-glutamyl-L-lysine
