hsa:7529	P31946;V9HWD6
hsa:286204	Q5IJ48
hsa:92359	Q9BUF7
hsa:1406	O43186
hsa:1407	Q16526;A2I2P0
hsa:1408	Q49AN0;A0A0D2X7Z3;A2I2P1
hsa:102724652	A0A140G945;P02489
hsa:1409	A0A140G945;P02489
hsa:1410	P02511;V9HW27
hsa:1427	P22914;A0A140CTX8
hsa:51084	Q9Y2S2;V9HWG2
hsa:1428	Q14894
hsa:83636	Q9NSK7
hsa:147685	Q8NEA5
hsa:148223	Q9UFG5
hsa:84167	Q9H6X5
hsa:126526	Q8N9M1
hsa:84798	Q6RUI8;A0A024R4G9
hsa:284325	Q5BKX5
hsa:79173	Q0VDD7
hsa:646457	A6NJJ6
hsa:100128569	A6NCJ1
hsa:55150	Q9NVV2
hsa:342918	C9J6K1
hsa:147646	I3L1E1
hsa:51380	Q9Y600;A0A024RAX7;Q86V02
hsa:158511	Q6PB30
hsa:389903	Q9Y5P2
hsa:57156	Q9P1W3;A0A024R6B3
hsa:9725	O94886
hsa:55362	Q5T3F8
hsa:27254	Q9Y534
hsa:7812	O75534;A0A024R0E2
hsa:30818	Q9Y2W7;A0A024RE22
hsa:1436	P07333
hsa:1435	P09603;A0A024R0A1
hsa:1438	P15509
hsa:1437	P04141
hsa:1441	Q99062
hsa:1440	P09919;Q8N4W3
hsa:1442	P0DML2;P0DML3;A8K6C2
hsa:1443	P0DML3;A0A0M6L0F6
hsa:1444	Q14406;I6L999
hsa:1457	P68400
hsa:1459	P19784
hsa:283106	Q8NEV1
hsa:1460	P67870;N0E4C7
hsa:57524	Q8WXD9
hsa:57513	Q8WXE0
hsa:751071	A8MUP2
hsa:8573	O14936
hsa:1445	P41240;B2R6Q4;A8K3B6
hsa:64478	Q96PZ7;Q59FF8
hsa:114784	Q7Z408
hsa:114788	Q7Z407
hsa:283951	Q4G0I0;A0A0A8K8N9
hsa:2873	Q13098
hsa:9318	P61201
hsa:8533	Q9UNS2
hsa:51138	Q9BT78;A0A0S2Z5H7;B3KM48
hsa:10987	Q92905;A0A024R7W9
hsa:10980	Q7L5N1
hsa:50813	Q9UBW8
hsa:64708	Q9H9Q2;A0A024R471
hsa:10920	Q99627;A0A024R4D1
hsa:150678	Q8WXC6
hsa:1462	P13611;A0A024RAQ9;Q59FG9
hsa:1464	Q6UVK1
hsa:10675	O95196
hsa:79848	Q1MSJ5
hsa:57325	Q9H8E8
hsa:64651	Q96S65
hsa:81566	Q9H175
hsa:80034	Q8WYN3
hsa:1465	P21291;A0A384P5K2
hsa:1466	Q16527;A0A024RBB5
hsa:8048	P50461;A2TDB8
hsa:140880	Q9H112;A0A384P5Z6
hsa:10047	O60676;A0A384MDQ4
hsa:128821	Q9H4G1;A0A140VJH1
hsa:128822	Q5W186
hsa:1477	Q05048
hsa:1478	P33240
hsa:1479	Q12996
hsa:23283	Q9H0L4
hsa:128817	Q9H114
hsa:22883	O94985
hsa:64084	Q9H4D0
hsa:9746	Q9BQT9
hsa:64897	Q96C57;B4DWJ9
hsa:54976	Q9GZN8
hsa:128602	Q9H1P6
hsa:140680	Q9NUD7
hsa:128653	Q9NUB4;B2R5K4
hsa:128864	Q9BQM9
hsa:140873	Q96LM9
hsa:25943	Q5TEA3;Q0IIP3
hsa:400831	A1L168
hsa:284805	Q8NBC4
hsa:284739	A0A1B0GTL2
hsa:55917	Q9P2B4
hsa:541466	Q5HYN5
hsa:102723680	Q5DJT8;P0DMV1;P0DMV2
hsa:102723737	Q5DJT8;P0DMV1;P0DMV2
hsa:728911	Q5DJT8;P0DMV1;P0DMV2
hsa:441519	Q8NHU0
hsa:101060211	P0DMU8;P0DMU7;P0DMV0
hsa:102723631	P0DMU8;P0DMU9
hsa:441521	P0DMU8;P0DMU7;P0DMV0
hsa:541465	P0DMU8;P0DMU7;P0DMV0
hsa:100507170	Q5JQC4
hsa:255313	Q5JQC4
hsa:653282	Q5JQC4
hsa:728036	Q5JQC4
hsa:728042	Q5JQC4
hsa:728049	Q5JQC4
hsa:728062	Q5JQC4
hsa:728072	Q5JQC4
hsa:728075	Q5JQC4
hsa:728082	Q5JQC4
hsa:728090	Q5JQC4
hsa:728096	Q5JQC4
hsa:643311	P0C2W7
hsa:54967	Q8WUE5
hsa:196993	P0C5K7
hsa:30848	O75638
hsa:56259	Q8WYA6
hsa:1487	Q13363;X5D8Y5
hsa:1488	P56545
hsa:80169	Q2NKJ3
hsa:140690	Q8NI51
hsa:10664	P49711
hsa:9150	Q9Y5B0
hsa:58190	Q9GZU7
hsa:10106	O14595;A0A024RBA6
hsa:10217	O15194
hsa:63922	Q8WVB6
hsa:1489	Q16619
hsa:54921	P0CG13
hsa:1485	P78358
hsa:246100	P78358
hsa:64693	Q96RT6;Q8NEG8
hsa:100128553	Q8IX94
hsa:100142659	Q8IX94;P0CG41
hsa:340307	Q86UF2
hsa:643854	A4FU28
hsa:441294	A4D2H0
hsa:115908	Q96CG8
hsa:9811	O43310;A0A024R259
hsa:5932	Q99708;A0A024RC34
hsa:23446	Q8WWI5;A0A024R151
hsa:57153	Q8IWA5
hsa:126969	Q8N4M1
hsa:80736	Q53GD3;A0A140VJH4
hsa:204962	Q8NCS7
hsa:1493	P16410
hsa:1495	P35221;A0A384MDY0
hsa:1496	P26232
hsa:29119	Q9UI47;Q8WW10;A8K141
hsa:1499	P35222;A0A024R2Q3
hsa:1500	O60716
hsa:1501	Q9UQB3
hsa:8727	Q9UBT7;B3KMX6
hsa:1497	O60931;A0A0S2Z3K3
hsa:6542	P52569
hsa:84889	Q8WY07
hsa:6545	O43246
hsa:9646	Q6PD62
hsa:1504	P17538
hsa:440387	Q6GPI1
hsa:11330	Q99895
hsa:1506	P40313;A0A024R6Z5
hsa:11113	O14578
hsa:51496	Q05D32;A0A024R5Q8
hsa:117144	Q8NEC5
hsa:117155	Q96P56
hsa:347732	Q86XQ3
hsa:378807	Q7RTX7
hsa:79820	Q9H7T0;B3KWW9
hsa:257062	Q86XM0
hsa:257044	Q5SY80
hsa:57828	Q6ZRH7;Q32MQ2
hsa:25858	Q9NTU4
hsa:83992	Q8WZ74;Q20BG9
hsa:90353	Q7Z7A3
hsa:348180	Q2VPK5
hsa:404217	P60606
hsa:399697	P0C2S0
hsa:613212	Q4LDR2
hsa:54058	P58505
hsa:56245	Q9NYP8
hsa:8029	O60494
hsa:404093	Q9NWM3
hsa:79004	Q9H467
hsa:8454	Q13616;A0A090N7U0;B3KTW0
hsa:8453	Q13617;A0A140VKB1
hsa:8452	Q13618;A0A024R475
hsa:8451	Q13619
hsa:8450	Q13620
hsa:8065	Q93034
hsa:9820	Q14999
hsa:23113	Q8IWT3
hsa:51596	O60888
hsa:51076	Q9NTM9
hsa:23316	O14529
hsa:50624	Q86UP6
hsa:150248	Q8WYQ4
hsa:25775	Q9Y442
hsa:25770	O95567
hsa:348645	Q6ZV56
hsa:128977	Q6P5X5
hsa:150297	Q6IC83
hsa:51503	Q9P013
hsa:57703	Q9HCG8
hsa:54883	Q9NXE8
hsa:10283	Q6UX04
hsa:80231	Q9HAI6
hsa:159013	Q8TB03
hsa:100130361	A8MYA2
hsa:100132994	A8MYA2
hsa:91966	Q8TE69
hsa:541578	Q96DE9
hsa:63932	Q9H5V9
hsa:254158	Q96LI9
hsa:100129239	A0A1B0GTR3;P0DPH9
hsa:100133053	A0A1B0GTR3;P0DPH9
hsa:158830	A6NEN9
hsa:347487	Q5JRM2
hsa:1524	P49238
hsa:1337	P12074;H6SG15
hsa:1339	Q02221
hsa:1340	P14854
hsa:125965	Q6YFQ2
hsa:1346	P24310;Q6FGI7
hsa:1347	P14406;H0UI06
hsa:170712	Q8TF08
hsa:84694	Q969M2
hsa:2697	P17302
hsa:2700	Q9Y6H8
hsa:2701	P35212
hsa:2702	P36382;X5D2H9
hsa:2703	P48165;X5D7G1
hsa:81025	P57773
hsa:1525	P78310
hsa:2705	P08034
hsa:2706	P29033;H9U1J4
hsa:2707	O75712
hsa:127534	Q9NTQ9
hsa:2709	O95377
hsa:10804	O95452;A0A024RDS4
hsa:375519	Q6PEY0
hsa:2920	P19875;A0A024RDD9
hsa:2921	P19876
hsa:6374	P42830;Q6I9S7
hsa:6372	P80162
hsa:5473	P02775
hsa:4283	Q07325
hsa:3577	P25024
hsa:3579	P25025;Q53PC4
hsa:2833	P49682
hsa:7852	P61073
hsa:643	P32302;A0N0R2;A8K647;Q2YD84
hsa:10663	O00574;A0N0N3
hsa:57369	Q9UKL4
hsa:125111	Q8N144
hsa:219770	Q96KN9
hsa:10052	P36383
hsa:57165	Q5T442
hsa:349149	Q8NFK1
hsa:3627	P02778
hsa:6373	O14625
hsa:10563	O43927;Q53X90
hsa:9547	O95715
hsa:58191	Q9H2A7
hsa:284340	Q6UXB2
hsa:30827	Q9P0U4
hsa:51523	Q7LFL8
hsa:1537	P08574
hsa:1535	P13498;B4DT46
hsa:1536	P04839;A0A0S2Z3S6
hsa:1534	P49447;B3KTA1
hsa:220002	Q8NBI2
hsa:80777	O43169
hsa:1528	P00167;A0A384ME44
hsa:79415	Q9BQA9;A0A024R8W9
hsa:27101	Q9HB71;A0A024R904
hsa:79901	Q53TN4
hsa:4519	P00156;Q0ZFD6
hsa:54205	P99999;G4XXL9
hsa:23191	Q7L576
hsa:26999	Q96F07
hsa:114757	Q8WWM9;A0A1K0FUB6
hsa:9267	Q15438
hsa:9266	Q99418
hsa:9265	O43739
hsa:27128	Q9UIA0
hsa:50626	Q6ZMK1
hsa:1538	P35663;Q6PEK4
hsa:1539	Q14093;A0A024R146;Q6PEJ5
hsa:1540	Q9NQC7
hsa:78996	Q9BWK5
hsa:192668	Q717R9
hsa:1475	P01040
hsa:1476	P04080;Q76LA1
hsa:1471	P01034;A0A0K0K1J1
hsa:1473	P28325
hsa:8530	O76096
hsa:9595	O60759
hsa:54360	Q9NRR1
hsa:84418	Q9H1C7
hsa:1474	Q15828
hsa:1469	P01037
hsa:23384	Q69YQ0;B2RMV2
hsa:92521	Q5M775;A0A024QYY9;B4E2A4;B4DW07
hsa:1472	P01036
hsa:1470	P09228
hsa:116159	Q96J86;D3DSD4
hsa:54987	Q9NWV4
hsa:414325	P81534
hsa:55894	P81534
hsa:140596	Q8WTQ1
hsa:503618	Q8WTQ1
hsa:245908	Q8NG35;A0A0K0K1I4
hsa:504180	Q8NG35;A0A0K0K1I4;B2RU30
hsa:245909	Q8N104
hsa:503841	Q8N104
hsa:245910	Q8IZN7
hsa:503614	Q8IZN7
hsa:245911	Q8NET1
hsa:100133267	P0DP74;P0DP73
hsa:245940	P0DP74;P0DP73
hsa:644414	P59861
hsa:100129216	A0A096LNP1
hsa:23333	Q2PZI1
hsa:283417	Q6NUT2
hsa:147991	Q6ZPD9
hsa:286148	Q7Z388;A0A024R9F2
hsa:728294	Q8N465;B4E3K7
hsa:56948	Q9NRG7;Q86TZ5
hsa:93517	Q8WUS8
hsa:123872	Q8NEP3;A0A140VJN4
hsa:352909	Q8N9W5
hsa:161582	Q8WXU2
hsa:54919	Q86Y56;B3KPE2
hsa:23002	Q9Y4D1
hsa:23500	Q86T65
hsa:1600	O75553
hsa:153090	Q5VWQ8
hsa:1601	P98082;A0A024R036;B2RAW0
hsa:1602	Q9UI36
hsa:117154	Q96NX9;A8K3I1
hsa:51339	Q9NYF0
hsa:168002	Q5SW24
hsa:147906	Q96B18
hsa:1603	P61803;Q53G02
hsa:1604	P08174
hsa:1605	Q14118;A0A024R2W4
hsa:55152	Q5D0E6
hsa:199699	Q8N907
hsa:267012	P59103
hsa:1611	P51397
hsa:1612	P53355
hsa:23604	Q9UIK4;A0A024R603
hsa:1613	O43293;B3KNJ3
hsa:92196	A0PJW8;M1E9T5
hsa:440193	Q9P219;B4DZB8
hsa:27071	Q9UN19
hsa:164781	Q8N136;A0A140VKH6
hsa:1616	Q9UER7;A0A024RCS3;Q53F85
hsa:1617	Q9NQZ3;A0A140VJH5
hsa:57055	Q13117;B4DZ07
hsa:57054	Q9NR90
hsa:57135	Q86SG3;Q658T2
hsa:1618	Q92904;A0A140VK77
hsa:26528	Q96EP5;A0A0S2Z569
hsa:9802	Q15038;A0A024R110
hsa:245913	Q30KQ9
hsa:245927	Q30KQ7
hsa:245928	Q30KQ6
hsa:245929	Q30KQ5
hsa:245930	Q30KQ4
hsa:117285	Q96PH6;A0A384MTK2
hsa:245932	Q8N690
hsa:245934	Q5J5C9;A0A384MDM0
hsa:245936	Q8N688
hsa:245937	Q8NES8
hsa:245938	Q8N687;B2R4E8
hsa:81623	Q9BYW3;A0A384MDP8
hsa:140850	Q9H1M4
hsa:245939	Q7Z7B8
hsa:140881	Q9H1M3;A0A384MEC8
hsa:400830	Q7Z7B7
hsa:613211	Q4QY38
hsa:613209	Q30KP9
hsa:613210	Q30KP8
hsa:10926	Q9UBU7
hsa:80174	Q8NFT6
hsa:56616	Q9NR28;A0A0S2Z5U7
hsa:79007	Q9H9R9
hsa:55861	Q9BQY9
hsa:28988	Q9UJU6
hsa:1628	Q10586
hsa:51163	Q9UK59
hsa:120237	A6NMT0
hsa:440097	Q6ZNG2
hsa:139170	Q5VU92
hsa:340578	Q5VW00
hsa:1780	O14576;A4D1I7;Q8N542
hsa:1781	Q13409;A0A140VKE9
hsa:51143	Q9Y6G9
hsa:1783	O43237;A0A024R6Z0;Q63HJ8
hsa:51626	Q8TCX1
hsa:285429	Q3SXM0
hsa:138009	Q8NA75
hsa:139425	A6NGE4
hsa:79269	Q5QP82
hsa:80344	Q8TEB1;Q59GN6;B3KSW2
hsa:25853	Q5T6F0
hsa:25879	Q9NV06;A0A087WT20
hsa:90379	Q66K64
hsa:54876	Q9NXF7
hsa:80067	Q5H9S7
hsa:9730	Q9Y4B6
hsa:26094	Q8WV16;B2RDD6
hsa:8816	Q96JK2
hsa:55827	Q58WW2
hsa:10238	P61962
hsa:50717	Q5TAQ9;B7Z8C9
hsa:79877	Q8WVC6
hsa:262	P17707;B4DZ60;A0A088AWN0;Q6N0B2
hsa:285761	Q8N8Z6
hsa:131566	Q96PD2
hsa:79075	Q9BVC3
hsa:1630	P43146;Q49AK4
hsa:149069	A2VCK2
hsa:341019	M0R2J8
hsa:51473	Q9UHG0
hsa:117159	P81605
hsa:2571	Q99259;A0A0S2Z3V5;Q8IVA8
hsa:2572	Q05329;Q5VZ30
hsa:3067	P19113
hsa:1633	P27707;F5CTF3
hsa:9201	O15075
hsa:166614	Q8N568
hsa:85443	Q9C098;B3KVM3
hsa:23417	O95822
hsa:54165	Q96GG9;B4DM76
hsa:55208	Q6PH85
hsa:123879	Q8IWE4
hsa:23142	Q92564
hsa:84259	Q9BTE7;A0A024R3A2
hsa:140947	Q8TF63
hsa:4953	P11926
hsa:55802	Q9NPI6
hsa:196513	Q8IZD4
hsa:167227	Q8IU60
hsa:28960	Q96C86;A0A384MTI8
hsa:9937	Q6PJP8
hsa:64858	Q9H816
hsa:64421	Q96SD1
hsa:149095	Q5T197;B4DXB8;B4DXE3
hsa:127579	Q5T1A1
hsa:81501	Q9H295
hsa:1635	P32321
hsa:1639	Q14203;Q6MZZ3
hsa:10540	Q13561;A0A384MDU9
hsa:11258	O75935
hsa:51164	Q9UJW0;A0A0S2Z5D4;Q9NSJ5
hsa:84516	Q9BTE1
hsa:10671	O00399
hsa:79077	Q9H773
hsa:7389	P06132
hsa:51181	Q7Z4W1;A0A384NY14
hsa:1641	O43602
hsa:55308	Q9NUU7
hsa:11269	Q9UMR2;A0A0U4B4U6
hsa:79016	Q9BW61;A0A024R7J7
hsa:23576	O94760
hsa:23564	O95865;V9HW53
hsa:1642	Q16531
hsa:1643	Q92466
hsa:1644	P20711;Q53Y41;A0A0S2Z3N4
hsa:80821	Q8NEL9
hsa:23259	O94830
hsa:414301	Q8WTU0
hsa:84301	Q5TDH0
hsa:220042	Q8IXT1
hsa:1649	P35638;Q53YD1
hsa:54541	Q9NX09;A0A024QZQ6
hsa:780	Q08345;A0A024RCL1
hsa:4921	Q16832;A0A024R906
hsa:65992	Q96HY6
hsa:115265	Q96D03
hsa:100037417	A6NHG4;A0A0F7RPW6
hsa:1662	Q13206
hsa:1663	Q96FC9
hsa:10521	Q92841
hsa:8886	Q9NVP1;Q8N254
hsa:1653	Q92499;A3RJH1
hsa:11218	Q9UHI6;Q9H4N4
hsa:9188	Q9NR30
hsa:9416	Q9BUQ8;B3KY11;A0A024R0Z3
hsa:57062	Q9GZR7
hsa:29118	Q9UHL0
hsa:55661	Q96GQ7
hsa:55794	Q9NUL7
hsa:64794	Q9H8H2
hsa:1654	O00571
hsa:8653	O15523;A0A024R9A4
hsa:51428	Q9UJV9
hsa:11325	Q86XP3
hsa:55510	Q9NXZ2
hsa:9879	Q7L014
hsa:51202	Q9H0S4;A0A024RAS3
hsa:54555	Q9Y6V7
hsa:54514	Q9NQI0
hsa:79009	Q9BQ39
hsa:317781	Q8N8A6
hsa:11056	Q9Y2R4;B3KM65
hsa:168400	Q86TM3
hsa:79039	Q8TDD1
hsa:57696	Q8NHQ9;A0A024RBS0
hsa:54606	Q9NY93
hsa:23586	O95786
hsa:83479	Q5T1V6
hsa:1655	P17844
hsa:55601	Q8IY21;A0A3G9HN97;Q9H616;Q9NXV7;Q6B0F7
hsa:91351	Q5H9U9
hsa:1656	P26196;B2R858
hsa:10522	O75398
hsa:26063	Q9NUI1
hsa:1666	Q16698;A0A024R9D7
hsa:162989	Q8WXF8
hsa:9191	O75618
hsa:1667	P59665
hsa:728358	P59665
hsa:1668	P59666;Q6EZE9
hsa:1669	P12838
hsa:1670	Q01523
hsa:1671	Q01524
hsa:1672	P60022
hsa:50619	Q9H4E7
hsa:54849	Q6ZN54
hsa:64146	Q9HBH1;A0A024R6Y3
hsa:8560	O15121;A0A024R3P1
hsa:123099	Q6QHC5
hsa:7913	P35659
hsa:9812	Q14154
hsa:2039	Q08495
hsa:404636	Q8TCE6
hsa:57189	A4D1U4
hsa:57706	Q8TEH3;Q9HCG4
hsa:163486	Q6P3S1
hsa:79958	Q8IV53
hsa:27147	Q9ULE3
hsa:6764	P78524
hsa:163259	Q68D51
hsa:79961	Q9H6A0
hsa:9909	O75064
hsa:55667	Q5VZ89
hsa:23258	Q6IQ26
hsa:160518	Q6ZUT9
hsa:201627	Q8IWF6
hsa:414918	Q8NEG7
hsa:22898	A2RUS2
hsa:23109	O94850
hsa:8562	O43583;A0A024RBR3
hsa:51071	Q9Y315
hsa:55635	Q5TB30
hsa:55789	Q8WUY9
hsa:120863	Q8N2C3;A0A024RBI9
hsa:9681	O75140
hsa:91614	Q96QD5
hsa:11067	Q9NTK1
hsa:79139	Q9BUN8;A0A024R9G3
hsa:51009	Q9GZP9
hsa:91319	Q96Q80
hsa:1805	Q07507
hsa:27351	Q6ICB0
hsa:51029	Q9BSY9;A0A024R5P6
hsa:1674	P17661;Q53SB5
hsa:1832	P15924;B4DKX6
hsa:11034	P60981;V9HWA6
hsa:55070	Q7L5Y6;A0A024RC56
hsa:159989	Q05D60
hsa:28955	O95424
hsa:100289462	O15263
hsa:1673	O15263
hsa:1676	O00273
hsa:1677	O76075;Q96P73
hsa:347516	Q6ZPD8
hsa:8694	O75907
hsa:84649	Q96PD7
hsa:85359	Q9BY27
hsa:8214	Q14129;X5D7D2
hsa:54487	Q8WYQ5
hsa:1606	P23743;A0A024RB23
hsa:1607	Q9Y6T7
hsa:8527	Q16760
hsa:8526	P52429;A1L4Q0
hsa:1608	P49619
hsa:160851	Q86XP1
hsa:9162	O75912
hsa:139189	Q5KSL6
hsa:1609	P52824;Q59FF7;A0A140VKC1
hsa:8525	Q13574
hsa:747	Q9Y4D2;A0A024R517
hsa:221955	Q8NCG7
hsa:1716	Q16854;E5KSL5
hsa:51170	Q8NBQ5
hsa:51144	Q53GQ0
hsa:345275	Q7Z5P4
hsa:51171	Q9BPX1;A0A140VJH8
hsa:3292	P14061
hsa:3294	P37059
hsa:3293	P37058;Q6FH62
hsa:3295	P51659;A0A0S2Z4J1;B2R659
hsa:51478	P56937;A0A024R913
hsa:7923	Q92506;A0A1U9X7U3
hsa:1718	Q15392
hsa:1717	Q9UBM7;A0A024R5F7
hsa:79947	Q86SQ9
hsa:27294	Q9UQ10
hsa:2746	P00367;E9KL48
hsa:2747	P49448;A0A140VK14
hsa:50846	O43323
hsa:374875	Q7Z5J1
hsa:3290	P28845;X5D2L1
hsa:3291	P80365
hsa:5860	P09417;A0A140VKA9
hsa:79154	Q6UWP2;A0A024R0T1
hsa:79758	A0PJE2
hsa:147015	Q6UX07
hsa:115817	Q96LJ7
hsa:10202	Q13268
hsa:9249	O75911
hsa:10901	Q9BTZ2
hsa:51635	Q9Y394
hsa:10170	Q9BPW9
hsa:207063	Q8N5I4
hsa:6392	O14521;A0A0S2Z4J3
hsa:6652	Q00796
hsa:55526	Q96HY7
hsa:1665	O43143
hsa:8449	O60231;Q5SQH4
hsa:54505	Q7Z478
hsa:22907	Q7L2E3
hsa:55760	Q7L7V1
hsa:56919	Q9H6R0;B4DIS6
hsa:9704	Q14147
hsa:60625	Q9H5Z1
hsa:170506	Q9H2U1
hsa:57647	Q8IY37
hsa:79665	Q8IX18
hsa:90957	Q6P158
hsa:79132	Q96C10;A0A024R1Y5
hsa:1659	Q14562;Q05CV4;Q86YB2
hsa:1660	Q08211;B3KU66
hsa:1725	P49366;A0A024R7D0
hsa:115752	Q8TF46
hsa:129563	Q8IYB7
hsa:1486	Q01459;Q8TC97
hsa:1729	O60610;Q6URC4
hsa:1730	O60879
hsa:81624	Q9NSV4;B4DPV3
hsa:23405	Q9UPY3
hsa:1468	Q9UBX3;A0A0S2Z382
hsa:11083	Q9BTC0
hsa:27042	Q68CQ4
hsa:388650	Q5T7M9
hsa:138311	Q5VUD6
hsa:125704	Q0P6D2
hsa:205428	Q8NDZ4;B3KTD4
hsa:79742	Q9H7Y0;Q8WZ11
hsa:27292	Q9UNQ2;A8K9K8
hsa:23181	Q14689
hsa:57609	Q9P265;Q96IB4;Q7Z3H2
hsa:22982	Q9Y2E4;Q86XV3
hsa:148252	O95057
hsa:54769	Q96HU8
hsa:9077	O95661
hsa:84925	Q96SL1
hsa:27185	Q9NRI5
hsa:84976	Q96F81
hsa:85455	A7MBM2
hsa:57540	Q9P2K9
hsa:85458	Q155Q3
hsa:51726	Q9UBS4
hsa:54788	Q9NXW2;J3KPS0
hsa:374407	P59910
hsa:79982	Q8TBM8
hsa:54431	Q8IXB1
hsa:55735	Q9NVH1
hsa:56521	Q9UKB3;Q6IAH1
hsa:23317	O75165
hsa:85406	Q6Y2X3;A0A024RB64
hsa:29103	Q9Y5T4
hsa:23341	Q9Y2G8
hsa:55192	Q9NVM6
hsa:202052	Q9H819
hsa:134218	Q5F1R6
hsa:79962	Q8N4W6;A0A024R0Z2
hsa:120526	Q6P3W2
hsa:548645	Q9H1X3
hsa:552891	Q9H1X3;A0A024R161
hsa:51277	Q9NZQ0
hsa:54943	Q9NX36
hsa:84277	Q96LL9;B3KSU4
hsa:1736	O60832
hsa:22943	O94907;I1W660
hsa:27123	Q9UBU2
hsa:27122	Q9UBP4
hsa:27121	Q9UBT3
hsa:27120	Q9UK85;A0A140VK15
hsa:1738	P09622;A0A024R713
hsa:9940	Q9Y238
hsa:1739	Q12959
hsa:1740	Q15700
hsa:1741	Q92796;Q59FY1
hsa:1742	P78352
hsa:9231	Q8TDM6
hsa:9229	O14490
hsa:58512	O95886
hsa:22839	Q9Y2H0
hsa:9787	Q15398
hsa:8788	P80370;A0A024R6L1;A8K019
hsa:65989	Q6UY11;A0A024RD55
hsa:28514	O00548;A0A384P5C6
hsa:10683	Q9NYJ7
hsa:54567	Q9NR61
hsa:57107	Q86YH6
hsa:83658	Q9NP97
hsa:83657	Q8TF09;A0A140VJH9
hsa:1745	P56177;X5D2F9
hsa:1746	Q07687;Q53QU7;X5D7D8
hsa:1747	O60479
hsa:1748	Q92988
hsa:1749	P56178;Q53Y73
hsa:1750	P56179
hsa:90871	Q96GE9
hsa:55101	Q9NW81;A0A024R0K4
hsa:55929	Q9NPF5
hsa:1755	Q9UGM3
hsa:127343	Q8NFW5
hsa:3109	P28068;A0A1V0E3P2
hsa:11144	Q14565
hsa:1756	P11532
hsa:93099	Q6E0U4
hsa:1758	Q13316
hsa:1760	Q09013;E5KR06
hsa:1761	Q9Y5R6
hsa:10655	Q9Y5R5;Q05C20
hsa:58524	Q9NQL9
hsa:63951	Q5VZB9
hsa:63948	Q96MA1;I6L9A0
hsa:63947	Q5HYR2;A0A024R4F7
hsa:728656	Q5HYR2;A0A024R4F7
hsa:63946	Q8IXT2
hsa:63950	Q96SC8
hsa:9988	Q9Y222;B3KMJ8
hsa:1762	Q09019;Q8WUW6
hsa:1657	Q9Y485;F1T0K4
hsa:23312	Q8TDJ6;A0A024R5V2
hsa:1763	P51530
hsa:27019	Q9UI46;A0A140VJI0
hsa:64446	Q9GZS0
hsa:83544	Q4LDG9
hsa:10126	O96015
hsa:1773	P24855
hsa:373863	Q8IYX4
hsa:92737	Q8NFT8
hsa:144132	Q96M86;B0I1S4
hsa:85479	Q9UF47;A0A024R7Z1
hsa:285126	Q8N7S2
hsa:3301	P31689
hsa:10294	O60884;A0A024R6S1
hsa:9093	Q96EY1;Q53G26;Q59E88
hsa:55466	Q8WW22;Q69YX3
hsa:3337	P25685;Q6FHS4
hsa:3300	P25686
hsa:414061	Q8WWF6
hsa:11080	Q9UDY4
hsa:25822	O75953
hsa:10049	O75190
hsa:150353	Q7Z6W7
hsa:165721	Q8NHS0;A0A140VJI2
hsa:4189	Q9UBS3;Q6FIF1
hsa:64215	Q96KC8
hsa:27000	Q99543
hsa:5611	Q13217;A8KA82
hsa:3338	Q9NNZ3
hsa:80331	Q9H3Z4;Q6AHX3
hsa:7266	Q99615
hsa:22826	O75937
hsa:23234	Q8WXX5;A0A024QZN2
hsa:3978	P18858
hsa:3980	P49916
hsa:3981	P49917;A0A024RE06
hsa:728489	Q5SXM8
hsa:10059	O00429;B4DYR6
hsa:1788	Q9Y6K1
hsa:1789	Q9UBC3
hsa:29947	Q9UJW3
hsa:23268	Q6XZF7
hsa:1786	P26358;I6L9H2
hsa:23549	Q9ULA0
hsa:10591	O43598
hsa:1777	O00115;A0A024R7F4
hsa:58511	Q8WZ79;Q66K39
hsa:1774	P49184
hsa:1775	Q92874
hsa:1776	Q13609;A0A024R365
hsa:3111	P06340;X5CF87;A0A1V0E3Q8;A0A1V0E3S6;A0A1V0E3R8;A0A1V0E3Q1;A0A1V0E3P3;A0A1V0E3N6;A0A1V0E3Q3;A0A1V0E3S4;A0A1V0E3Q4;A0A1V0E3P8;A0A1V0E3R4;A0A1V0E3N7;A0A1V0E3R3;A0A1V0E3R0;A0A1V0E3R6;A0A1V0E3Q7;A0A1V0E3N3;A0A1V0E3P0;A0A1V0E3N1;A0A1V0E3P9;A0A1V0E3P1;A0A1V0E3M7;A0A1V0E3Q5;A0A1V0E3P6;A0A1V0E3Q2;A0A1V0E3T1;A0A1V0E3Q6;A0A1V0E3S0;A0A1V0E3S7
hsa:3112	P13765;Q5QNS2
hsa:55619	Q96BY6
hsa:139818	Q5JSL3
hsa:8448	Q14183
hsa:8447	Q14184
hsa:1793	Q14185;B2RUU3;A0A2X0U2H5
hsa:1794	Q92608;Q5XG91
hsa:1795	Q8IZD9
hsa:9732	Q8N1I0
hsa:80005	Q9H7D0;Q68DL4
hsa:57572	Q96HP0;B7Z9U8
hsa:85440	Q96N67
hsa:81704	Q8NF50
hsa:23348	Q9BZ29;B3KXE2
hsa:83475	Q9BU89
hsa:1796	Q99704;B3KP83
hsa:9046	O60496
hsa:79930	Q7L591;A0A024R7M5
hsa:55715	Q8TEW6;A0A024R6S2
hsa:55816	Q9P104
hsa:220164	Q6PKX4
hsa:285489	Q18PE1
