dr:D00001	Water (JP17/USP)
dr:D01897	Rokitamycin (JAN/INN)
dr:D01898	Haloperidol decanoate (JAN/USP)
dr:D01899	Carbenoxolone sodium (JAN/USAN)
dr:D01900	Alacepril (JP17/INN)
dr:D01901	Xenon (JAN)
dr:D01902	Fonazine mesylate (USAN)
dr:D01903	Docarpamine (JAN/INN)
dr:D01904	Cefpiramide sodium (JP17/USAN)
dr:D01905	Mercuric chloride (JAN)
dr:D01906	Dilevalol hydrochloride (JAN/USAN)
dr:D01907	Fludarabine phosphate (JAN/USP)
dr:D01908	Nilvadipine (JP17/USAN/INN)
dr:D01909	Cefminox sodium hydrate (JP17)
dr:D01910	Iodoform (JP17/USP)
dr:D01911	Aclarubicin hydrochloride (JP17)
dr:D01912	Polidronium chloride (JAN/INN)
dr:D01913	Riboflavin butyrate (JP17)
dr:D01914	Piracetam (JAN/USAN/INN)
dr:D01915	Rosuvastatin calcium (JAN/USAN)
dr:D01916	Iodipamide meglumine (USP)
dr:D01918	Sivelestat sodium (USAN)
dr:D01919	Soblidotin (JAN/INN)
dr:D01920	Tenatoprazole (JAN/INN)
dr:D01921	Estradiol and testosterone
dr:D01922	Pratosartan (JAN/INN)
dr:D01923	Semduramicin sodium (JAN/USAN)
dr:D01924	Stearyl alcohol (JP17/NF)
dr:D01925	Taltirelin hydrate (JP17)
dr:D01926	Temiverine hydrochloride hydrate (JAN)
dr:D01927	Calcium diiodostearate (JAN)
dr:D01928	Calcium linoleate (JAN)
dr:D01929	Tiotropium bromide hydrate (JAN)
dr:D01930	Tirilazad mesilate (JAN)
dr:D01931	Titanium dioxide (USP)
dr:D01932	Transfluthrin (JAN)
dr:D01933	Vatanidipine hydrochloride (JAN)
dr:D01934	Colestilan chloride (USAN)
dr:D01935	Vinorelbine tartrate (USP)
dr:D01936	Gallium citrate Ga 67 (USP)
dr:D01937	Zanamivir hydrate (JAN)
dr:D01938	Pyrithione zinc (USAN/INN)
dr:D01939	Ziprasidone hydrochloride (USP)
dr:D01940	Meglumine sodium amidotrizoate (JP17)
dr:D01941	Poloxamer (NF)
dr:D01942	Chlorobutanol (JP17/NF/INN)
dr:D01943	Canrenoate potassium (USAN)
dr:D01944	Cinepazide maleate (JAN)
dr:D01945	Lead acetate (JAN)
dr:D01946	Oxitropium bromide (JAN/INN)
dr:D01947	Glyceryl monostearate (JP17/NF)
dr:D01948	Dexamethasone valerate (JAN)
dr:D01949	Cefaloglycin (JAN)
dr:D01950	Dimethylaminoethyl reserpilinate dihydrochloride (JAN)
dr:D01951	Todralazine hydrochloride
dr:D01952	L-Methylephedrine hydrochloride (JAN)
dr:D01953	Estradiol benzoate (JP17/USP)
dr:D01954	Sulfaphenazole (JAN/INN)
dr:D01955	Aclatonium napadisilate (JAN)
dr:D01956	Sofalcone (JAN)
dr:D01957	Bemegride (JAN/INN)
dr:D01958	Indenolol hydrochloride (JP17)
dr:D01959	Tannic acid (JP17/USP)
dr:D01960	Cresol (JP17/NF)
dr:D01961	Cefmatilen hydrochloride hydrate (JAN)
dr:D01962	Simetride (JAN)
dr:D01963	Ibufenac (JAN/USAN/INN)
dr:D01964	Travoprost (JAN/USP/INN)
dr:D01965	Silodosin (JP17/INN)
dr:D01966	Ezetimibe (JAN/USP/INN)
dr:D01967	p-Butylaminobenzoyldiethylaminoethyl hydrochloride (USAN)
dr:D01968	Zoledronic acid (USAN)
dr:D01969	Gallopamil hydrochloride (JAN)
dr:D01970	Omapatrilat (JAN/USAN/INN)
dr:D01971	Reglitazar (JAN/INN)
dr:D01972	Lanatoside C (JAN/INN)
dr:D01973	Eletriptan hydrobromide (JAN/USAN)
dr:D01974	Tilmacoxib (JAN/USAN/INN)
dr:D01975	Fentiazac (JAN/USAN/INN)
dr:D01976	N-Methylscopolamine methylsulfate (JAN)
dr:D01977	Gefitinib (JAN/USAN/INN)
dr:D01978	Trimetoquinol hydrochloride
dr:D01979	Iodamide meglumine (USAN)
dr:D01980	Luliconazole (JAN/USAN/INN)
dr:D01981	Ximelagatran (JAN/USAN/INN)
dr:D01982	Tenofovir disoproxil fumarate (JAN/USAN)
dr:D01983	Sevelamer hydrochloride (JAN/USAN)
dr:D01984	Esomeprazole magnesium (USP)
dr:D01985	Talaporfin sodium (JAN/USAN)
dr:D01986	Estriol tripropionate (JAN)
dr:D01987	Pipethanate ethobromide (JAN)
dr:D01988	Metofluthrin (JAN)
dr:D01989	Estriol diacetate benzoate (JAN)
dr:D01990	Clindamycin palmitate hydrochloride (JAN/USP)
dr:D01991	Ecabet sodium hydrate (JP17)
dr:D01992	Tandospirone citrate (JAN/USAN)
dr:D01993	Polidocanol (JAN)
dr:D01994	Mosapride citrate hydrate (JP17)
dr:D01995	Inosine pranobex (JAN)
dr:D01996	Tosufloxacin tosylate hydrate (JP17)
dr:D01997	Budralazine (JAN/INN)
dr:D01998	Prednisolone farnesylate (JAN)
dr:D01999	Iothalamate meglumine (USP)
dr:D02000	Kitasamycin tartrate (JP17)
dr:D02001	Sulfamonomethoxine sodium (JAN)
dr:D02002	Isoniazid sodium methanesulfonate hydrate (JAN)
dr:D02003	Nitroblue tetrazolium chloride (JAN)
dr:D02004	Apomorphine hydrochloride (USP)
dr:D02005	Cefsulodin sodium (JP17/USAN)
dr:D02006	Strontium chloride Sr 89 (USP)
dr:D02007	Protirelin tartrate hydrate (JP17)
dr:D02008	Tadalafil (JAN/USP/INN)
dr:D02009	Erythromycin lactobionate (JP17/USP)
dr:D02010	Ferric gluconate (JAN)
dr:D02011	Flavin adenine dinucleotide sodium (JP17)
dr:D02012	Dihydroxyaluminum aminoacetate (JAN/USP)
dr:D02013	Clemizole undecylate (JAN)
dr:D02014	Angiotensin II (USAN)
dr:D02015	Diatrizoate meglumine (USP)
dr:D02016	Ramosetron hydrochloride (JAN)
dr:D02017	Oxtriphylline (USP)
dr:D02018	Hexestrol diacetate (JAN)
dr:D02019	Magnesium sulfate hydrate and glucose
dr:D02020	Mitobronitol (JAN/INN)
dr:D02021	Secretin (JAN/USAN/INN)
dr:D02022	Prochlorperazine mesilate (JAN)
dr:D02023	Tipepidine citrate (JAN)
dr:D02024	Fluorescein sodium (JP17/USP)
dr:D02025	Technetium Tc 99m succimer (USP)
dr:D02026	Magnesium L-aspartate (JAN)
dr:D02027	Tranilast (JP17/USAN/INN)
dr:D02028	Diammonium glycyrrhizinate (JAN)
dr:D02029	Technetium Tc 99m medronate (USP)
dr:D02030	Levocarnitine chloride (JAN)
dr:D02031	Hydrocotarnine hydrochloride hydrate (JP17)
dr:D02032	Betamethasone butyrate propionate (JAN)
dr:D02033	Aldioxa (JP17/USAN/INN)
dr:D02034	Setiptiline maleate (JAN)
dr:D02035	Timiperone (JAN)
dr:D02036	Meglumine sodium iodamide
dr:D02037	Perphenazine maleate (JP17)
dr:D02038	Potassium carbonate (JP17/USP)
dr:D02039	Lactitol hydrate (JAN)
dr:D02040	Pralmorelin dihydrochloride (USAN)
dr:D02041	Tropisetron hydrochloride (JAN)
dr:D02042	Olprinone hydrochloride hydrate (JAN)
dr:D02043	Norcholestenol iodomethyl (131I) (JAN)
dr:D02045	Benidipine hydrochloride (JP17)
dr:D02046	Zinostatin (USAN/INN)
dr:D02047	Dextran sulfate sodium (JAN)
dr:D02048	Clinprost (JAN/INN)
dr:D02049	Colistimethate sodium (USP)
dr:D02050	Potassium phosphate, monobasic (JAN/NF)
dr:D02051	Potassium nitrate (JAN/USP)
dr:D02052	Barium sulfate (JP17/USP)
dr:D02053	Potassium permanganate (JP17/USP)
dr:D02054	Sodium pyrosulfite (JP17)
dr:D02055	Sodium bromide (JP17)
dr:D02056	Sodium chloride (JP17/USP)
dr:D02057	Hydrochloric acid (JP17/USP)
dr:D02058	Zinc chloride (JP17/USP)
dr:D02059	Sodium bisulfite (JP17)
dr:D02060	Potassium chloride (JP17/USP)
dr:D02061	Cyclopenthiazide (JAN/USAN/INN)
dr:D02062	Chromomycin A3 (JAN)
dr:D02063	Peplomycin sulfate (JP17/USAN)
dr:D02064	Pridinol mesilate (JAN)
dr:D02065	Ampicillin sodium and sulbactam sodium (JP17)
dr:D02066	Isoproterenol sulfate (USP)
dr:D02067	Diphenylimidazole (JAN)
dr:D02068	Tacrine hydrochloride (USP)
dr:D02069	Atropine sulfate (JP17/USP)
dr:D02070	Homatropine methylbromide (USP)
dr:D02071	Scopolamine hydrobromide (USP)
dr:D02072	L-Histidine hydrochloride hydrate (JP17)
dr:D02073	Gemeprost (JAN/USAN/INN)
dr:D02074	Amphetamine sulfate (USP)
dr:D02075	Sodium gualenate (INN)
dr:D02076	Brimonidine tartrate (JAN/USAN)
dr:D02077	Potassium bicarbonate (USP)
dr:D02078	Dextroamphetamine sulfate (USP)
dr:D02079	Codein phosphate and aspirin
dr:D02080	Phendimetrazine tartrate (USP)
dr:D02081	Metipranolol hydrochloride
dr:D02082	Eprosartan mesylate (USAN)
dr:D02084	Inamrinone ethylenelactate
dr:D02085	Milrinone lactate
dr:D02086	Lidocaine hydrochloride (JAN/USP)
dr:D02087	Moricizine hydrochloride (USP)
dr:D02088	Tocainide hydrochloride (USP)
dr:D02089	Buclizine hydrochloride (USAN)
dr:D02090	Cyclizine lactate (BAN)
dr:D02091	Tripelennamine hydrochloride (USP)
dr:D02092	Cisapride (JAN)
dr:D02093	Isoetharine hydrochloride (USP)
dr:D02094	Thiamine hydrochloride (USP)
dr:D02095	Naltrexone hydrochloride (USP)
dr:D02096	Fosphenytoin sodium (USP)
dr:D02097	Tiagabine hydrochloride (USP)
dr:D02098	Proparacaine hydrochloride (USP)
dr:D02099	Propoxycaine hydrochloride (USP)
dr:D02100	Ziprasidone mesylate (USAN)
dr:D02101	Codeine phosphate (USP)
dr:D02102	Methadone hydrochloride (JAN/USP)
dr:D02103	Phenytoin sodium (USP)
dr:D02104	Nalmefene hydrochloride
dr:D02105	Tetracosactide acetate (JAN)
dr:D02106	Arsenic trioxide (JP17/USAN)
dr:D02107	Indium In 111 chloride (USP)
dr:D02108	Indium In 111 pentetreotide (USP)
dr:D02109	dl-Methylephedrine hydrochloride (JP17)
dr:D02110	Indomethacin sodium (USP)
dr:D02111	Pentazocine lactate (USP)
dr:D02112	Heparin sodium (JP17/USP/INN)
dr:D02113	Colestipol hydrochloride (USP)
dr:D02114	Hydroxychloroquine sulfate (JAN/USP)
dr:D02115	Methotrexate sodium
dr:D02116	Histrelin acetate
dr:D02117	Sermorelin acetate (USAN)
dr:D02118	Glucagon hydrochloride
dr:D02119	Ampicillin sodium (JP17/USP)
dr:D02120	Citric acid monohydrate and potassium bicarbonate
dr:D02121	Ceftibuten hydrate (JP17)
dr:D02122	Tetracycline hydrochloride (JP17/USP)
dr:D02123	Trovafloxacin mesylate (USAN)
dr:D02124	Penciclovir sodium (USAN)
dr:D02125	Chloroquine phosphate (USP)
dr:D02126	Primaquine phosphate (JAN/USP)
dr:D02127	Piperazine citrate (USP)
dr:D02128	Difenoxin hydrochloride and atropine sulfate
dr:D02129	Doxycycline hyclate (USP)
dr:D02130	Tropisetron (INN)
dr:D02131	Tegafur and uracil
dr:D02132	Clindamycin hydrochloride (JP17/USP)
dr:D02133	Naphazoline hydrochloride and pheniramine maleate
dr:D02134	Azithromycin hydrate (JP17)
dr:D02135	Levodopa and benserazide hydrochloride
dr:D02136	Ampicillin and dicloxacillin sodium
dr:D02137	Dicloxacillin sodium (USP)
dr:D02138	Colistin sulfate (JP17/USP)
dr:D02139	Hydrocortisone acetate, neomycin sulfate, colistin sulfate and thonzonium bromide
dr:D02140	Thonzonium bromide (USAN)
dr:D02141	Iron dextran (USP)
dr:D02142	Teicoplanin (JP17/USAN/INN)
dr:D02143	Trichomycin (JP17)
dr:D02144	Oxytetracycline hydrochloride and polymixin B sulfate
dr:D02145	Piperazine adipate (JP17/USP)
dr:D02146	Acetaminophen and codeine phosphate
dr:D02147	Albuterol (USP)
dr:D02148	Phenindamine tartrate (USAN)
dr:D02149	Epinephrine bitartrate (JAN/USP)
dr:D02150	l-Isoprenaline hydrochloride (JP17)
dr:D02151	Tulobuterol (JP17/INN)
dr:D02152	Hydrocodone bitartrate and ibuprofen
dr:D02153	Acetaminophen and oxycodone hydrochloride
dr:D02154	Aspirin, oxycodone hydrochloride and oxycodone terephthalate
dr:D02155	Aspirin, caffeine and propoxyphene hydrochloride
dr:D02156	Prednisolone hemisuccinate (USP)
dr:D02157	Penicillin G benzathine (USP)
dr:D02158	Menopafant (JAN)
dr:D02159	Undecylenic acid (JAN/USP)
dr:D02160	Pyrithioxine (JAN)
dr:D02161	Ioxilan (JAN/USP/INN)
dr:D02162	Chlorprothixene hydrochloride (JAN)
dr:D02163	Fluphenazine maleate (JAN)
dr:D02164	Cetrimide (JAN)
dr:D02165	Docetaxel (USP)
dr:D02166	Mitoxantrone hydrochloride (JAN/USP)
dr:D02167	Prenylamine lactate (JAN)
dr:D02168	Topotecan hydrochloride (USAN)
dr:D02169	Croconazole hydrochloride (JP17)
dr:D02170	Indeloxazine hydrochloride (JAN/USAN)
dr:D02171	Sennosides (USP)
dr:D02172	Noscapine hydrochloride hydrate (JP17)
dr:D02173	Galantamine hydrobromide (JAN/USP)
dr:D02174	Dexamethasone acetate (JAN/USP)
dr:D02175	Compound oxycodone (JP17)
dr:D02176	Levocarnitine (JAN/USP/INN)
dr:D02177	Bleomycin sulfate (JP17/USP)
dr:D02178	Grepafloxacin hydrochloride (JAN/USAN)
dr:D02179	Pyridoxine hydrochloride (JP17/USP)
dr:D02181	Sisomicin sulfate (JAN/USP)
dr:D02182	Cocaine hydrochloride (JP17/USP)
dr:D02183	Sodium lactate (JAN/USP)
dr:D02184	Erythromycin stearate (JP17/USP)
dr:D02185	Chloramphenicol sodium succinate (JP17/USP)
dr:D02186	Oleandomycin phosphate (JAN)
dr:D02187	Fosfomycin calcium hydrate (JP17)
dr:D02188	Fosfomycin sodium (JP17)
dr:D02189	Magnesium stearate (JP17/NF)
dr:D02190	Carbenicillin disodium (USP)
dr:D02191	Cefamandole sodium (JAN)
dr:D02192	Saccharin sodium (USP)
dr:D02193	Echothiophate iodide (USP)
dr:D02194	Cilastatin sodium (JP17/USP)
dr:D02195	Mupirocin calcium (USP)
dr:D02196	Methicillin sodium (USAN)
dr:D02197	Vincristine sulfate (JP17/USP)
dr:D02198	Moxalactam disodium (USAN)
dr:D02199	Carbenicillin phenyl sodium (USAN)
dr:D02200	Pilocarpine hydrochloride (JP17/USP)
dr:D02201	Talampicillin hydrochloride (JP17/USAN)
dr:D02202	Lobeline hydrochloride (JAN)
dr:D02203	Hetacillin potassium (JAN/USAN)
dr:D02204	Hexamethonium bromide (JAN/INN)
dr:D02205	Ethylmorphine hydrochloride hydrate (JP17)
dr:D02206	Buformin hydrochloride (JP17)
dr:D02207	Tubocurarine chloride (USP)
dr:D02208	Sultopride hydrochloride (JAN)
dr:D02209	Ribostamycin sulfate (JP17)
dr:D02210	Sulfobromophthalein sodium (JP17)
dr:D02211	Dihydroergotamine mesylate (USP)
dr:D02212	Ipratropium bromide (USP)
dr:D02213	Metoclopramide hydrochloride (JAN)
dr:D02214	Epirubicin hydrochloride (JP17/USP)
dr:D02216	Ciprofloxacin hydrochloride (USP)
dr:D02217	Raloxifene hydrochloride (JAN/USP)
dr:D02218	Papaverine hydrochloride (JP17/USP)
dr:D02219	Terbinafine hydrochloride (JP17/USP)
dr:D02220	Dibucaine hydrochloride (JP17/USP)
dr:D02221	Mezlocillin sodium (JAN)
dr:D02222	Meropenem (USP)
dr:D02223	Sulbactam sodium (JP17/USP)
dr:D02224	Protamine sulfate (JP17/USP/INN)
dr:D02226	Cefazolin sodium hydrate (JP17)
dr:D02227	Pentazocine hydrochloride (JAN/USP)
dr:D02228	Cefotetan disodium (USP)
dr:D02229	Sildenafil citrate (JAN/USP)
dr:D02230	Gramicidin S hydrochloride (JAN)
dr:D02231	Cloxacillin sodium (USP)
dr:D02232	Cefoselis sulfate (JAN)
dr:D02233	Cefozopran hydrochloride (JP17)
dr:D02234	Cyproheptadine hydrochloride (JP17/USP)
dr:D02235	Desmopressin acetate (USP)
dr:D02236	Flupentixol dihydrochloride (JAN)
dr:D02237	Guanethidine sulfate (USAN)
dr:D02238	Levallorphan tartrate (JP17)
dr:D02239	Sparteine sulfate (JAN/USAN)
dr:D02240	Diatrizoic acid (USP)
dr:D02241	Ticarcillin disodium (USP)
dr:D02242	Methamphetamine hydrochloride (JP17/USP)
dr:D02243	Meclofenoxate hydrochloride (JP17)
dr:D02245	Trimeprazine tartrate (USP)
dr:D02246	Biperiden hydrochloride (JP17/USP)
dr:D02247	Biperiden lactate (JAN/USP)
dr:D02248	Levomepromazine maleate (JP17/USAN)
dr:D02249	Emedastine difumarate (JP17/USP)
dr:D02250	Octreotide acetate (JAN)
dr:D02251	Piperacillin (USP)
dr:D02252	Amobarbital sodium (JAN/USP)
dr:D02253	Pentobarbital calcium (JP17)
dr:D02254	Calcium lactate hydrate (JP17)
dr:D02255	Chlortetracycline hydrochloride (JAN/USP)
dr:D02256	Calcium chloride (USP)
dr:D02257	Calcium acetate (JAN)
dr:D02258	Atorvastatin calcium (USP)
dr:D02259	Sodium iodide I 131 (JP17/USP)
dr:D02260	Paroxetine hydrochloride hemihydrate (USP)
dr:D02261	Quinine hydrochloride hydrate (JP17)
dr:D02262	Quinine sulfate (USP)
dr:D02263	Codein phosphate and guaifenesin
dr:D02264	Dipotassium glycyrrhizinate (JAN)
dr:D02265	Protoporphyrin disodium (JAN)
dr:D02266	Cetraxate hydrochloride (JP17/USAN)
dr:D02267	Foscarnet sodium hydrate (JAN)
dr:D02268	Ergoloid mesylates (USP)
dr:D02269	Kitasamycin (JP17/USAN)
dr:D02270	Viomycin sulfate (JAN)
dr:D02271	Morphine hydrochloride hydrate (JP17)
dr:D02272	Quinidine sulfate (USP)
dr:D02273	Isoproterenol sulfate, dexamethasone and atropine methybromide
dr:D02274	Dantrolene sodium (USP)
dr:D02275	Suxamethonium chloride hydrate (JP17)
dr:D02276	Ethanolamine oleate (USAN)
dr:D02277	Sodium benzoate (JP17/NF)
dr:D02278	Lysine acetate (USP)
dr:D02279	Lysine hydrochloride (USP)
dr:D02280	Sodium L-glutamate hydrate (JAN)
dr:D02281	Levalbuterol hydrochloride (USP)
dr:D02282	Rolitetracycline (JAN/USAN/INN)
dr:D02283	Iomazenil (123I) (JAN/INN)
dr:D02284	Technetium Tc 99m exametazime (USP)
dr:D02285	Tiludronate disodium (USAN)
dr:D02286	Betamethasone benzoate (USP)
dr:D02287	Clocortolone pivalate (USP)
dr:D02288	Hydrocortisone valerate (USP)
dr:D02289	Medrysone (USAN)
dr:D02290	Flurbiprofen sodium (USP)
dr:D02291	Levmetamfetamine (USP/INN)
dr:D02292	Gallamine triethiodide (USP)
dr:D02293	Calcium ascorbate (USP)
dr:D02294	Denatonium benzoate (NF)
dr:D02295	Povidone (JP17/USP/INN)
dr:D02296	Isopropyl myristate (NF)
dr:D02297	Emtricitabine and tenofovir disoproxil
dr:D02298	Dimethisterone (JAN/USAN)
dr:D02299	Cefazolin (USP)
dr:D02300	Adenosine triphosphate disodium hydrate (JAN)
dr:D02301	Oxolinic acid (USAN/INN)
dr:D02302	Flumequine (USAN/INN)
dr:D02303	Miloxacin (INN)
dr:D02304	Lysine (USAN/INN)
dr:D02305	Rosoxacin (USAN/INN)
dr:D02306	Pefloxacin (USAN/INN)
dr:D02307	Pefloxacin mesylate (USAN)
dr:D02308	Fumaric acid (NF)
dr:D02309	Methyl alcohol (NF)
dr:D02310	Propionic acid (NF)
dr:D02311	Acetone (NF)
dr:D02312	Methylene blue (USP)
dr:D02313	Nitric acid (NF)
dr:D02314	Benzaldehyde (NF)
dr:D02315	Oleic acid (NF)
dr:D02316	Pectin (USP)
dr:D02317	Tosufloxacin (USAN)
dr:D02318	Lomefloxacin (USAN)
dr:D02319	Ethyl acetate (NF)
dr:D02320	Polyvinyl alcohol (USP)
dr:D02321	Amsacrine (USAN/INN)
dr:D02322	Apramycin (USAN/INN)
dr:D02323	Tolrestat (USAN/INN)
dr:D02324	Alginic acid (NF)
dr:D02325	Dextrose (USP)
dr:D02326	Cysteine hydrochloride (USP)
dr:D02327	Doxylamine succinate (USP)
dr:D02328	Zopolrestat (USAN/INN)
dr:D02329	Maltodextrin (NF)
dr:D02330	Methylene chloride (NF)
dr:D02331	Vitamin E (USP)
dr:D02332	Tocopherol (JP17)
dr:D02333	Coumermycin (USAN)
dr:D02334	Hypophosphorous acid (NF)
dr:D02335	Menadione (USP)
dr:D02336	Benzylpenicillin (INN)
dr:D02337	Diethanolamine (NF)
dr:D02338	Acebutolol (USAN/INN)
dr:D02339	Azlocillin (USAN/INN)
dr:D02340	Loxapine (USAN/INN)
dr:D02341	Meclofenamic acid (USAN/INN)
dr:D02342	Bisoprolol (JAN/USAN/INN)
dr:D02343	Carboprost (USAN/INN)
dr:D02344	Cefamandole (USAN/INN)
dr:D02345	Cefoxitin (USAN/INN)
dr:D02346	Lincomycin hydrochloride hydrate (JP17/USP)
dr:D02347	Dantrolene (USAN/INN)
dr:D02348	Dicloxacillin (USAN/INN)
dr:D02349	Dipivefrin (USAN)
dr:D02350	Fenoprofen (USAN/INN)
dr:D02351	Mafenide (USAN/INN)
dr:D02352	Cefaclor (USP)
dr:D02353	Cefadroxil (USP)
dr:D02354	Thiethylperazine (USAN/INN)
dr:D02355	Tolmetin (USAN/INN)
dr:D02356	Verapamil (USAN/INN)
dr:D02357	Methysergide (USAN/INN)
dr:D02358	Metoprolol (USAN/INN)
dr:D02359	Ritodrine (USAN/INN)
dr:D02360	Sertraline (INN)
dr:D02361	Propiomazine (USAN/INN)
dr:D02362	Paroxetine (USP/INN)
dr:D02363	Ketanserin (USAN/INN)
dr:D02364	Lobeline (INN)
dr:D02365	Oxypurinol (USAN)
dr:D02366	Chloroquine (USP/INN)
dr:D02367	Desogestrel (USAN/INN)
dr:D02368	Gemcitabine (USAN/INN)
dr:D02369	Histrelin (USAN/INN)
dr:D02370	Clavulanate potassium (JP17/USP)
dr:D02371	Clocapramine hydrochloride hydrate (JP17)
dr:D02372	Perospirone hydrochloride hydrate (JAN)
dr:D02373	Etidronic acid (USAN/INN)
dr:D02374	Metipranolol (USAN/INN)
dr:D02375	Terbinafine (USAN/INN)
dr:D02376	Cefepime (USAN/INN)
dr:D02377	Anethole (NF)
dr:D02378	Acronine (USAN/INN)
dr:D02379	Diethyltoluamide (USP/INN)
dr:D02380	Amitraz (USP/INN)
dr:D02381	Aspartame (NF/INN)
dr:D02382	Propyl gallate (NF)
dr:D02383	Prenylamine (USAN/INN)
dr:D02384	Verlukast (USAN/INN)
dr:D02385	Levcromakalim (USAN/INN)
dr:D02386	Ticrynafen (USAN)
dr:D02387	Cycloguanil pamoate (USAN)
dr:D02388	Levonordefrin (USP)
dr:D02389	Primidolol (USAN/INN)
dr:D02390	Zinc gluconate (USP)
dr:D02391	Cethromycin (USAN/INN)
dr:D02392	Nosiheptide (USAN/INN)
dr:D02393	Resorcinol monoacetate (USP)
dr:D02394	Ferrous gluconate (USP)
dr:D02395	Copper gluconate (USP)
dr:D02396	Hexoprenaline sulfate (USAN)
dr:D02397	Arginine glutamate (USAN)
dr:D02398	Estramustine phosphate sodium (USAN)
dr:D02401	Betadex (NF/INN)
dr:D02402	Thallous chloride Tl 201 (USP)
dr:D02403	Potassium phosphate, dibasic (JAN/USP)
dr:D02404	Procaterol hydrochloride (USAN)
dr:D02405	Penicillin V benzathine (USP)
dr:D02406	Cefatrizine (USAN)
dr:D02407	Lidamidine hydrochloride (USAN)
dr:D02408	Trimipramine maleate (JAN/USP)
dr:D02409	Caffeine and sodium benzoate (JP17)
dr:D02410	Selfotel (USAN/INN)
dr:D02411	Potassium sorbate (NF)
dr:D02412	Ascorbyl palmitate (NF)
dr:D02413	Butylated hydroxytoluene (NF)
dr:D02414	Oxyquinoline sulfate (NF)
dr:D02415	Apalcillin sodium (USAN)
dr:D02416	Aluminum hydroxide (USP)
dr:D02417	Flutropium bromide (JAN)
dr:D02418	Physostigmine salicylate (JAN/USP)
dr:D02419	Diphenhydramine salicylate (JAN)
dr:D02420	Acetylspiramycin (JP17)
dr:D02423	Sodium trimetaphosphate (USAN)
dr:D02424	Glyprothiazol (INN)
dr:D02425	Carbutamide (INN)
dr:D02426	Glycyclamide (INN)
dr:D02427	Glibornuride (USAN/INN)
dr:D02428	Glisentide (INN)
dr:D02429	Glisolamide (INN)
dr:D02430	Gliquidone (INN)
dr:D02431	Gliflumide (USAN)
dr:D02432	Glicetanile sodium (USAN)
dr:D02433	Optochin hydrochloride
dr:D02434	Sulfapyridine (USP/INN)
dr:D02435	Sulfamerazine (INN)
dr:D02436	Sulfamethazine (USP)
dr:D02437	Sulfaguanidine (INN)
dr:D02438	Xyloylsulfamine
dr:D02439	Sulfamethoxypyridazine (INN)
dr:D02440	Phthalylsulfathiazole (INN)
dr:D02441	Ethoxzolamide
dr:D02442	Cyclamic acid (USAN)
dr:D02443	Sodium cyclamate (INN)
dr:D02444	Calcium cyclamate
dr:D02445	Tosylchloramide sodium (INN)
dr:D02446	Halazone (USP/INN)
dr:D02447	Succinylsulfathiazole
dr:D02448	Pyrimethamine and sulfadoxine
dr:D02449	Sulfaethidole (INN)
dr:D02450	Sulfametomidine (JAN)
dr:D02451	Fadrozole hydrochloride (USAN)
dr:D02452	Benexate hydrochloride betadex (JAN)
dr:D02453	Flumethiazide (INN)
dr:D02454	Hexylcaine hydrochloride
dr:D02455	Piperocaine hydrochloride
dr:D02456	Aminobenzoic acid (USP)
dr:D02457	Acetrizoic acid
dr:D02458	Methylparaben sodium (NF)
dr:D02459	Propylparaben sodium (NF)
dr:D02460	Clopamide (USAN/INN)
dr:D02461	Penicillin G procaine (USP)
dr:D02462	Glybuthiazol (INN)
dr:D02463	Balofloxacin hydrate (JAN)
dr:D02464	Ferric citrate (59 Fe)
dr:D02465	Micafungin sodium (JAN/USAN)
dr:D02466	Amodiaquine hydrochloride (USP)
dr:D02467	Droxacin sodium (USAN)
dr:D02468	Tioxacin (INN)
dr:D02469	Temafloxacin hydrochloride (JAN/USAN)
dr:D02470	Alatrofloxacin mesylate (USAN)
dr:D02471	Gemifloxacin mesylate (USAN)
dr:D02472	Atovaquone and proguanil hydrochloride
dr:D02473	Enrofloxacin (USP/INN)
dr:D02474	Rufloxacin (INN)
dr:D02475	Sitafloxacin (USAN)
dr:D02476	Meclocycline (USAN/INN)
dr:D02477	Meclocycline sulfosalicylate (USP)
dr:D02478	Disulfamide (BAN)
dr:D02479	Aminothiazole (INN)
dr:D02480	Diloxanide furoate (USP)
dr:D02481	Artemisinin (INN)
dr:D02482	Artesunate (USAN)
dr:D02483	Artemether (JAN/USAN/INN)
dr:D02484	Artemether and lumefantrine
dr:D02485	Halofantrine hydrochloride (USAN)
dr:D02486	Nitazoxanide (USAN/INN)
dr:D02487	Proguanil hydrochloride (JAN/USP)
dr:D02489	Benznidazole (USAN/INN)
dr:D02490	Tylosin (USP/INN)
dr:D02491	Meglumine antimonate
dr:D02492	Tilmicosin (USP/INN)
dr:D02493	Tilmicosin phosphate (USAN)
dr:D02494	Miltefosine (INN)
dr:D02495	Valganciclovir (INN)
dr:D02496	Methisazone (USAN)
dr:D02497	Fosamprenavir (INN)
dr:D02498	Lopinavir and ritonavir
dr:D02499	Enfuvirtide (USAN/INN)
dr:D02500	Imiquimod (JAN/USP/INN)
dr:D02501	Caspofungin acetate (JAN/USAN)
dr:D02502	Ampicillin hydrate and cloxacillin sodium
dr:D02503	Clavulanic acid and ticarcillin
dr:D02504	Aspoxicillin hydrate (JP17)
dr:D02505	Tazobactam and piperacillin (JP17)
dr:D02506	Phenoxymethylpenicillin benzathine (JAN)
