carnitine	CID100000085
Colimycin	CID100216258
lenalidomide	CID100216326
lasofoxifene	CID100216416
regadenoson	CID100219024
lacosamide	CID100219078
Gd-EOB-DTPA	CID100219084
fosaprepitant	CID100219090;CID106918366
cortisone	CID100222786
18F-FDG	CID100315411
trimethoprim-sulfamethoxazole	CID100358641
carboprost	CID100441332
natamycin	CID100441382
cefditoren	CID100444006
gadoversetamide	CID100444013
ciclesonide	CID100444033
roflumilast	CID100449193
hemin	CID100455658
FK463	CID100477468
maraviroc	CID100483407
efinaconazole	CID100489129
nilotinib	CID100644241
silodosin	CID100656628
TMC207	CID100656892
propylthiouracil	CID100657298
6-mercaptopurine	CID100667490
methimazole	CID101349907
6-thioguanine	CID102723601
ethionamide	CID102761171
rilpivirine	CID103006171
d-telaprevir	CID103010818
fospropofol	CID103038497
prucalopride	CID103052762
pimecrolimus	CID103055172
dasatinib	CID103062316
Estrofem	CID103080904
fluticasone/salmeterol	CID103081276
vandetanib	CID103081361
telavancin	CID103081362
copolymer	CID103081884
axitinib	CID103086685
sunitinib	CID103086686
ALX	CID103325225
sitagliptin	CID104369359
2-hydroxysuccinaldehyde	CID104474778
doxercalciferol	CID104479094
hydroxocobalamin	CID104479097
alclometasone	CID104630253
entacapone	CID104659568
tolcapone	CID104659569
warfarin	CID105001396
vildagliptin	CID105251896
abacavir-lamivudine	CID105273759
elvitegravir	CID105277135
dacarbazine	CID105281007
acipimox	CID105310993
halobetasol	CID105311167
polyoxyethylene	CID105327147
bosutinib	CID105328940
pralidoxime	CID105353894
sulfasalazine	CID105353980
Paroven	CID105360237
rifabutin	CID105361912
methylnaltrexone	CID105361917
balsalazide	CID105362070
verteporfin	CID105362420
rifampicin	CID105381226
olsalazine	CID105462337
ramiprilat	CID105464096
CGP	CID105479141
Mersyndol	CID105487068
tegaserod	CID105487301
ofatumumab	CID105488383
alvimopan	CID105488547
deferasirox	CID105493381
gadobutrol	CID106102852
rifapentine	CID106323497
radium	CID106328144
AC1O3HA7	CID106328526
eribulin	CID106331630
auranofin	CID106333887
cefdinir	CID106398970
hexaminolevulinate	CID106433082
tapentadol	CID106433091
tafluprost	CID106433101
indacaterol	CID106433117
rivaroxaban	CID106433119
ivermectin	CID106435110
Timentin	CID106437075
fidaxomicin	CID106440191
everolimus	CID106442177
ixabepilone	CID106445540
Locorten	CID106452749
Sativex	CID106453361
delamanid	CID106477186
iron	CID106850789
leuprorelin	CID106850791
vilazodone	CID106918313
ceftobiprole	CID106918430
prasugrel	CID106918456
retapamulin	CID106918462
fesoterodine	CID106918558
sugammadex	CID106918584
belinostat	CID106918638
PEP005	CID106918670
tasimelteon	CID109794842
olodaterol	CID109800339
ceftaroline	CID109810131
cabazitaxel	CID109811221
dalteparin	CID109812414
trans	CID109815559
tofacitinib	CID109818231
azilsartan	CID109825285;CID111238823
Lovaza	CID109831414
irbesartan-hydrochlorothiazide	CID109831761
Stalevo	CID109831783
eltrombopag	CID109846180
lomitapide	CID109853053
mirabegron	CID109865528
avanafil	CID109869929
ticagrelor	CID109871419
dapagliflozin	CID109887712
Depreotide	CID109898619
apremilast	CID109912092
perampanel	CID109924495
vernakalant	CID109930048
Benicar-HCT	CID109940864
SOM230	CID109941444
Lu	CID109966051
vorapaxar	CID110028615
linagliptin	CID110096344
18F-flutemetamol	CID110107393
pazopanib	CID110113978
afatinib	CID110163178
besifloxacin	CID110178705
apixaban	CID110182969
boceprevir	CID110324367
lorcaserin	CID110465263
tafamidis	CID111001318
ascorbate	CID111020241
alogliptin	CID111163584
regorafenib	CID111167602
aclidinium	CID111228026
TR-700	CID111234049
Saxagliptin	CID111235728
riociguat	CID111304743
AN2690	CID111499245
florbetaben	CID111501341
Zyprexa	CID111505907
umeclidinium	CID111519069
eliglustat	CID111531537
Carfilzomib	CID111556711
crizotinib	CID111597571
lisdexamfetamine	CID111597697
gadofosveset	CID111672461
trametinib	CID111707110
spinosad	CID111722286
nitroprusside	CID111947681
empagliflozin	CID111949646
vasopressin	CID111979316
ulipristal	CID113559279
MDV3100	CID115951529
macitentan	CID116004692
TMC435	CID116065945
PCI-32765	CID116126651
salmon	CID116129616
cosyntropin	CID116129617
LY146032	CID116129629
Nuvocid	CID116129632
Vitrum	CID116129665
Insulin	CID116129672
Forteo	CID116129682
ziconotide	CID116129690
T-A2-3	CID116129701
Revasc	CID116129703
Bivalirudin	CID116129704
Enfuvirtide	CID116130199
BPTI	CID116130295
Org	CID116130957
Abarelix	CID116131215
hepatitis	CID116131310
ACTH(1-39	CID116132265
glucagon	CID124838347;CID116132283
oCRH	CID116132344
NovoLog	CID116132418
Humalog	CID116132438
Refludan	CID116132441
Symlin	CID116132446
liraglutide	CID116134956
degarelix	CID116136245
insulin	CID116137271
Lyxumia	CID116139342
teduglutide	CID116139605
exenatide	CID116156130
linaclotide	CID116158207
o291	CID116158473
pentastarch	CID116213095
ivacaftor	CID116220172
ruxolitinib	CID117754772
alcaftadine	CID119371515
nesiritide	CID122834577
raltegravir	CID123668479
pertechnetate	CID123689036
piroxicam	CID123690938
Azarga	CID124762228
vismodegib	CID124776445
canagliflozin	CID124812758
florbetapir	CID124822371
ponatinib	CID124826799
hetastarch	CID124846132
cobicistat	CID124950485
suvorexant	CID124965990
Triptorelin	CID125074470
cetrorelix	CID125074886
Nafarelin	CID125077405
Histrelin	CID125077993
sofosbuvir	CID125094462
cabozantinib	CID125102847
tetracycline	CID125880664
minocycline	CID126275995
acenocoumarol	CID140468184
vemurafenib	CID142611257
oxytetracycline	CID144134877
Lantus	CID144146714
tesamorelin	CID144201342
ecallantide	CID144201343
dabrafenib	CID144462760
mipomersen	CID144564107
Promacta	CID144564722
dalbavancin	CID144567678
Signifor	CID146181941
dolutegravir	CID146216142
tenoxicam	CID151508717
demeclocycline	CID151601240
heparin	CID153477714
hydroxypropyl	CID153627505
A77	CID154677977
tigecycline	CID154681041
lymecycline	CID154687131
n-3	CID156842239
x	CID170683024
colestyramine	CID170695640
K779	CID171306834
